index: 0
( 6.51204705307411799E-03 , -9.05509003697332893E-02 )
( 9.44024451038398688E-02 , 3.97877727978489526E-02 )
( 1.34084999406581459E-02 , 7.07110963008883708E-02 )
( -4.96957913589549591E-02 , -2.76203670897212095E-02 )
( -7.33609315418071520E-03 , 2.30170953585601551E-02 )
( 1.15372229973038601E-01 , -5.86988387848848409E-02 )
( -4.83926518681982928E-02 , -3.07331190247469611E-02 )
( 1.68315419460305787E-02 , -4.53976536846777134E-03 )
( -5.19948002660312741E-02 , -7.15257974593900281E-02 )
( -1.25659163146250499E-02 , -6.57709939131605192E-03 )
( 4.47535493486456437E-02 , 1.07242409377255998E-02 )
( 8.88980527962574540E-02 , -3.62726427670406609E-02 )
index: 1
( -2.98300929501860157E-03 , 1.62296396101296592E-01 )
( 5.62109588559647003E-02 , 3.89431499149404600E-02 )
( 5.09649576085262693E-03 , 6.60458595670054688E-02 )
( 6.56564695078884764E-02 , 5.26345695273283676E-02 )
( -7.25478338420378413E-03 , 7.56711752906915613E-02 )
( -5.75240037263002324E-02 , -1.65887608146298472E-02 )
( -7.59589082083767658E-02 , -8.36718709034372093E-02 )
( -1.30016914085371582E-02 , -1.62590718121360389E-02 )
( 7.59271567117556778E-02 , -1.88335438070361058E-02 )
( 8.99257003044814096E-02 , 2.02698756532127614E-02 )
( 9.38624525079950200E-02 , -6.39185976182271715E-02 )
( 7.21604691013950916E-03 , -2.17783768463321245E-02 )
index: 2
( -4.31261731507143892E-03 , -1.12673179501722287E-01 )
( 3.78975799506286459E-02 , 4.10926378659517214E-02 )
( -1.80514478691859367E-02 , -1.08505014005350398E-01 )
( -1.07160807319223617E-01 , 7.32779848356276825E-02 )
( -4.80089482834818379E-02 , -1.22562046043655490E-01 )
( -4.05313240865133387E-02 , -8.89292893694225602E-03 )
( -2.01841218996702751E-02 , 1.58598446041137986E-02 )
( -8.15512350679946235E-02 , 7.82912565156673040E-02 )
( 1.65736403188582251E-02 , 8.85642070780592178E-02 )
( 1.55930010591093030E-02 , -1.11567408969931031E-01 )
( 2.71394328279517573E-02 , 4.56681686851698708E-03 )
( 2.01537457368932554E-02 , -7.52816363355368195E-02 )
index: 3
( -3.17491714293638427E-02 , -4.61865876881734985E-02 )
( -6.14898264220511206E-02 , -4.55311335613629020E-02 )
( 6.64222081108778589E-02 , -2.41735969928709134E-03 )
( -3.63745218458510766E-02 , 7.91137297899693337E-02 )
( -6.07375745497221384E-02 , 4.53116688398642747E-02 )
( 8.47169154531862700E-03 , 9.58151444049155920E-02 )
( 1.78448082985510278E-02 , -5.72501262594646843E-02 )
( -1.57035168648965370E-02 , -1.28756877079200804E-02 )
( 4.65331318328044835E-02 , -4.71509426817098426E-02 )
( 1.57244413599012811E-03 , -1.43615163473227551E-03 )
( 5.34376031256310891E-02 , -3.83421250639333910E-02 )
( -6.59998960189818878E-02 , 9.46697503687332770E-02 )
index: 4
( -1.25380769194045810E-01 , 1.51269475858761604E-01 )
( 1.31022663888673258E-01 , -1.21669680765590510E-02 )
( -5.45106304519270835E-02 , -7.20148679820308418E-02 )
( -1.87057978905983135E-01 , 4.86130107028408046E-02 )
( 1.89214806609467379E-01 , 1.49119608645856161E-01 )
( 1.33387907757227475E-01 , -4.61603526404040926E-02 )
( -4.51633254751240693E-02 , -8.42531220949383486E-02 )
( -5.65229406441838250E-03 , -8.77515982152983487E-02 )
( -7.27960310115708387E-02 , -2.76112291065371482E-02 )
( -4.80672722922377976E-02 , -1.78041810127907429E-03 )
( 4.70043304882249435E-02 , -1.35719508216300577E-01 )
( 1.26592908712072377E-01 , 3.54356641848788123E-02 )
index: 5
( 2.11583115958700857E-01 , -1.12709776695265038E-01 )
( 1.83708199978864922E-02 , -7.10797132709680979E-02 )
( -3.93156503870787655E-02 , 2.02470933136135942E-02 )
( 4.46079603192682250E-02 , 2.57919658548778491E-02 )
( -2.72457457833671125E-02 , 5.82267699068539299E-02 )
( 7.00041181427009385E-02 , 6.07315790718642931E-02 )
( 7.84286447310665602E-02 , 6.23497008164236588E-02 )
( -3.08883612428918278E-02 , 2.12638630854540961E-02 )
( -3.54775115167209540E-02 , -8.08541773964920191E-02 )
( -1.89792991803030761E-02 , 9.65651216459820910E-02 )
( 6.07249682460187096E-02 , -9.51804150196802062E-03 )
( -1.92223297208129862E-01 , -1.10833943203853501E-02 )
index: 6
( 5.54148622096289380E-03 , -3.94211822817108759E-02 )
( 3.15123089403663431E-02 , 2.08059738001451604E-02 )
( 1.18365385400791862E-01 , -5.01446941543361308E-02 )
( 2.22901639807694757E-01 , -1.02341700618425943E-01 )
( -1.42148550086932474E-01 , -4.93152734671613857E-02 )
( -2.25795971610322881E-02 , -8.39457702142536316E-02 )
( -1.18540100705804965E-01 , 7.10963685571874698E-02 )
( 1.05821007543711626E-01 , 3.54526050251993893E-02 )
( 8.02673771116312572E-03 , -7.83424134261478944E-03 )
( -1.18150719723127809E-01 , 4.10766085881184018E-02 )
( -1.27315695872293327E-01 , -1.07614631030779895E-01 )
( 7.35000214339223829E-02 , 4.96046127833302958E-02 )
index: 7
( 2.84497606393285390E-02 , 6.94699529476941191E-02 )
( -2.41009292729499752E-02 , -8.85078046961912668E-02 )
( 9.74772862641795079E-02 , -3.23712400257892136E-02 )
( 3.29118796987589932E-02 , 4.99225378634674255E-02 )
( 3.42204328842647121E-02 , 2.45186525396259916E-02 )
( -4.58831604430124662E-02 , -1.55029931414132002E-02 )
( -9.55664872010512645E-02 , -1.50745291924566129E-02 )
( -4.78445524544288195E-02 , 3.92325528203990581E-02 )
( -1.21461258946615303E-01 , -2.19083135613351215E-01 )
( -9.43293720998084062E-03 , -6.94527412056162446E-02 )
( -4.81423970508471910E-02 , -4.20512169376830516E-02 )
( 6.73114471845916162E-02 , 9.39589025068680583E-02 )
index: 8
( 7.47915274501320115E-02 , -1.98205502580326098E-01 )
( 1.32953891944906755E-01 , 1.52547911863498125E-02 )
( 5.44905519149178411E-02 , 5.72121259528587042E-02 )
( -4.60609821536994701E-02 , 1.26281934938638984E-01 )
( -1.54677646455694290E-01 , -1.36490315448781679E-01 )
( -1.42393302101240016E-01 , -1.44697487289698223E-01 )
( -5.14720647222725591E-02 , 4.57409774056659960E-02 )
( 5.71874260419842628E-02 , -7.38081358373201823E-02 )
( 7.63744540181077736E-02 , -6.61473890160452632E-02 )
( 7.74249678221723137E-02 , 4.12014116894920540E-02 )
( 1.03310782792201933E-01 , -1.81729739120577855E-02 )
( 3.35431034543795803E-02 , -1.67918024841076291E-01 )
index: 9
( -8.41782523939967747E-03 , -6.25585694247278029E-02 )
( -7.89985598552870594E-02 , -3.61441006508506843E-02 )
( 4.42523635964707091E-02 , 1.40433305494886085E-01 )
( -2.68849626747628620E-02 , -1.24296386669868975E-01 )
( -2.66213816628233652E-02 , 1.31872323777141504E-01 )
( 2.32373462273485418E-03 , -6.85301255937874193E-02 )
( -6.12966245754418132E-02 , -2.43258534923886521E-02 )
( -2.87395097650189023E-02 , -6.83501828854498478E-02 )
( 6.51054943421526117E-02 , 6.50872497416398951E-03 )
( -1.42966422065186963E-02 , 1.10839122468631535E-01 )
( 6.34804002277385149E-02 , -3.97787622288354181E-02 )
( 2.24555151045537194E-01 , 1.91138893875816451E-01 )
index: 10
( -5.90369433741814303E-02 , -7.73862603477106781E-02 )
( -6.16792210867198459E-02 , 9.19493680636678523E-02 )
( -1.37188867714143958E-01 , -4.35366425310851415E-02 )
( -1.12971954349421033E-01 , -9.55519081032142337E-02 )
( -2.20543456020693723E-01 , -5.87025485233195893E-02 )
( 5.43737637439740198E-02 , 6.65303216404472125E-02 )
( -6.09018427899883849E-02 , 2.43330058948512291E-02 )
( 5.34661187477524572E-02 , -1.10118883703409942E-01 )
( -6.40165326930461076E-02 , -1.51395513988749897E-01 )
( -1.33873253471558130E-02 , -4.91687858103641504E-02 )
( -1.81379079353907430E-01 , 6.27183882695383915E-02 )
( 1.88611281041225654E-01 , 2.25734155341491896E-02 )
index: 11
( 1.37314558365945971E-01 , -1.94130116204491339E-02 )
( -3.84388086021887065E-02 , -1.42717703170298804E-01 )
( 6.29801101142555830E-02 , -2.10195539215882299E-01 )
( 6.33516464897652398E-02 , 2.91647347553546411E-02 )
( 6.12667457988032571E-02 , 7.82073795458235188E-04 )
( 6.37640071248002371E-03 , 8.17135256421001599E-02 )
( 9.31069571809284846E-02 , 4.39013020188040101E-02 )
( 1.41666434910301037E-01 , 4.57808273852613468E-02 )
( -9.82796947248611302E-02 , 6.00138092810338641E-03 )
( 2.88934411308264319E-02 , 5.09163678064853270E-02 )
( 7.11138062094763823E-02 , 4.36243402123912688E-02 )
( 3.38345756767003195E-02 , 4.85039171253025744E-02 )
index: 12
( -1.73333940949409487E-01 , 7.76392306894462120E-02 )
( 1.41438818709631625E-01 , 7.68502102413295418E-02 )
( -1.12829841490708391E-01 , 1.17750715508654666E-01 )
( -5.06554756883151533E-02 , 2.35134475028213087E-02 )
( -3.34730585386284335E-03 , 3.78248550486850466E-02 )
( -1.19493414891976471E-01 , -9.57881713762221698E-02 )
( -6.19291981034734845E-02 , 1.02698643310868004E-01 )
( -8.96840067892558240E-02 , -6.01156987713135013E-02 )
( -8.37693974866473429E-03 , 3.27927582235253839E-02 )
( 6.76964113643879623E-02 , -7.25232784550083054E-02 )
( -4.99869068066928490E-02 , -2.53015356191541863E-02 )
( 7.69702995564308656E-05 , 1.23575551031744307E-01 )
index: 13
( 8.87307562028412516E-02 , -1.12144146767585301E-02 )
( -4.63924962018685549E-02 , -4.18721728899169102E-02 )
( 6.45604446765193490E-02 , 6.75923553104285924E-02 )
( 6.18578226739910433E-02 , 6.60188826420657349E-02 )
( -4.89921050355312596E-02 , 1.67772858100099509E-02 )
( -7.57223427551758921E-02 , -3.67018710876408916E-02 )
( -5.83447628004301264E-02 , 8.41015258977352714E-02 )
( -1.11375116347722833E-01 , -7.59799612371968164E-02 )
( -2.89460957507603270E-02 , -4.59251215035709481E-02 )
( 7.52532999560347471E-02 , -1.43288824752315025E-01 )
( -6.74162478887232741E-02 , -7.52139531740545209E-02 )
( 2.58485738412359695E-03 , 2.66226072626356558E-02 )
index: 14
( 2.90503674715350442E-02 , -6.43720620581242353E-02 )
( 6.34292545966779753E-02 , 2.22698323076683871E-02 )
( -2.93073948243035079E-02 , -5.00236321142333712E-02 )
( 6.28799076319231931E-02 , -4.83160379179951791E-02 )
( 5.49421708680251433E-02 , 1.37321303758562961E-02 )
( -1.11122408406135201E-01 , -2.39118384401749776E-02 )
( -3.57075009946317551E-02 , -1.11456146913209361E-02 )
( 5.48870876990455309E-02 , 1.68907832013835024E-01 )
( 5.18510217060988224E-02 , -6.51214888508216128E-02 )
( -1.67900897306498230E-02 , 4.09876806202619723E-02 )
( -1.29714987627903622E-01 , -1.34763139265422008E-02 )
( -1.08198393935449583E-01 , -5.57384832413237996E-02 )
index: 15
( -6.18559885746425148E-02 , 1.28418943917764178E-01 )
( 7.87047636489581343E-02 , -4.77336132813745567E-02 )
( -1.47910007151886569E-02 , -2.09015981017974459E-02 )
( -3.61483559377155095E-02 , 1.37965991557927534E-02 )
( 2.81813458535407138E-02 , 4.30943747622887369E-02 )
( -7.86210586356481250E-02 , -1.41569755138303277E-02 )
( 1.58056739770416704E-01 , 7.22688467103657639E-03 )
( 2.90971762637589754E-02 , -1.55910611358285267E-01 )
( 8.48865488890509501E-02 , 1.59146890915826789E-01 )
( 5.40855886366030519E-02 , 9.40143256429231966E-02 )
( -2.25520922346642734E-02 , 8.13675471473147421E-02 )
( -5.58645835318509407E-02 , -6.66616231100274070E-03 )
index: 16
( 1.59716642568690448E-01 , 9.59136592104941621E-02 )
( -1.12193332699642961E-01 , 7.39099098709505437E-02 )
( -4.77214448198516744E-02 , -1.66584023253625202E-01 )
( -1.13200396783164736E-01 , 2.79796566259854947E-02 )
( -1.16089216106649851E-02 , 2.98374757873041720E-02 )
( -1.23271386119382528E-01 , -1.73821634892875228E-02 )
( 8.86343981099358275E-02 , 8.35110948211060730E-03 )
( 2.01170844964367740E-03 , -8.14937657955742273E-02 )
( -2.20765334873077090E-01 , 4.42527625268841415E-03 )
( 1.06671761143513677E-01 , 5.44965626204919895E-02 )
( 9.61513611776366461E-02 , 5.49931980010114341E-02 )
( -3.18436655201913763E-02 , 1.06120852573148031E-01 )
index: 17
( -1.22164307814405598E-01 , 2.61001036084692085E-02 )
( 1.07347264031984226E-02 , 4.24124504104624669E-02 )
( 8.84111558061297098E-02 , 1.85834294593903993E-02 )
( 1.09646476870232865E-01 , -7.49194837366438382E-02 )
( -1.17873065224674070E-02 , 8.87236902646890147E-02 )
( 1.93632232845705354E-01 , 1.21476672641727845E-01 )
( -5.64026793413131416E-02 , -6.25092310750386404E-02 )
( -2.09996087339821197E-01 , -6.99798180640383849E-02 )
( -6.03261997584667031E-02 , -6.23418327353967711E-02 )
( -1.39376692669176371E-02 , 1.09440299522529094E-02 )
( -6.27516996852825470E-02 , -8.85965158485562398E-02 )
( 6.18272751493291195E-02 , -2.28817302538188334E-03 )
index: 18
( -8.85450015026184589E-02 , 6.34088301114739405E-02 )
( -3.77561977591535508E-02 , -2.53131403753439413E-02 )
( -1.53705058757518831E-01 , 8.15280526753364987E-02 )
( -1.05468100236742690E-01 , 7.50563016803571237E-02 )
( -6.85011543452439947E-03 , -1.77708031365658020E-03 )
( -1.97061419956063751E-02 , 2.02810166243793527E-01 )
( 8.32130044436712735E-02 , -6.36425145313896379E-02 )
( 1.11635413989446236E-01 , -1.09697853817714505E-02 )
( -5.55838883986836466E-02 , 6.23635297887794871E-02 )
( 2.76157632012338713E-02 , 1.32744266894146562E-02 )
( 4.01787806307806472E-02 , -6.40288309786427035E-02 )
( 3.73582501104535794E-02 , 3.80726513460003455E-02 )
index: 19
( 3.74742028389982995E-02 , 1.13801635705090762E-01 )
( 6.19406577014324847E-02 , 1.32737406706210842E-01 )
( 2.64411787110909943E-02 , -9.94947107719970358E-02 )
( 3.69273823522809283E-02 , -3.00605751825616524E-02 )
( 1.41469687587059023E-01 , -1.53682448056632059E-02 )
( 6.49048949992032803E-02 , 2.59474310548191214E-02 )
( -1.47248001903709902E-01 , 4.17138327539715234E-02 )
( -6.43346968621927445E-02 , -1.06209655395568300E-01 )
( 5.25378189664362921E-02 , 9.79748313340487453E-02 )
( -2.48656191542640820E-01 , -5.08048020790096561E-02 )
( 1.25337975121360662E-01 , -3.90222237527182020E-02 )
( -1.25317456971704884E-02 , -6.72288208073608951E-02 )
index: 20
( 4.55702179264278195E-02 , -2.85756581221650388E-02 )
( -5.62824546982636717E-02 , 3.63290899655648175E-02 )
( 1.51480150586288498E-01 , -1.43916414846805008E-01 )
( -8.57110394590115954E-02 , 1.86401346603551149E-01 )
( -4.86713768956768683E-02 , 8.31523296966029946E-02 )
( -7.07963272191532017E-02 , 1.49563934168412543E-01 )
( 5.19512317451665401E-04 , -1.45088151479165605E-02 )
( -3.51669986667777559E-02 , -2.98434732138462937E-02 )
( -2.97683226461614749E-02 , 8.58288149490192276E-02 )
( 9.10002854191409583E-02 , 1.62645936059365115E-01 )
( 4.78496930748980240E-02 , 7.70890155163891228E-02 )
( 8.12091817032625507E-02 , -9.31360819669701245E-02 )
index: 21
( -3.31522080193395186E-02 , 2.39343571123436238E-03 )
( -3.43128966673110769E-02 , 4.84147535215235375E-02 )
( -1.94683846062726207E-01 , -1.75679450742834073E-02 )
( -7.40737715834715593E-02 , -8.19336256540402486E-02 )
( -6.18902482598879602E-02 , 2.71640658648506575E-02 )
( 4.35374801695381022E-02 , -1.10536760705753037E-01 )
( 6.86865550453885920E-02 , -9.37472094525130042E-03 )
( 8.61415283046464975E-02 , -8.54922400366984747E-02 )
( 3.17798007552815176E-01 , -4.37778865185847049E-03 )
( 8.43077110577843680E-02 , -3.45642191330896575E-02 )
( 2.59888972211317557E-02 , 6.44350359883080759E-02 )
( -7.66084165693906444E-02 , -1.10543747617139226E-01 )
index: 22
( -1.22494493985674455E-01 , 3.93689082380788563E-02 )
( -1.12932383705525580E-02 , -1.14312687471121409E-02 )
( 1.46608552433092731E-01 , 9.87616220476505158E-02 )
( 1.13653023096059458E-01 , 9.23944681067521145E-02 )
( 9.33385114400104160E-02 , -4.12471956382390106E-02 )
