index: 0
( 3.75496341885857149E-02 , -1.24768076827308963E-01 )
( 1.30557240492720578E-01 , -3.39917281531102039E-02 )
( -6.38188018748503047E-03 , 1.28245053638407019E-01 )
( -7.40852934096628522E-03 , 4.22017420641431704E-02 )
( 4.00602979892081407E-02 , -2.83299126693103559E-02 )
( 1.73269260281746357E-01 , -8.51327739759471652E-02 )
( -5.11254425813948213E-02 , -9.72163054974847091E-03 )
( 1.70133152507962737E-02 , -4.67652090457101252E-02 )
( -3.50992049327942257E-02 , -9.10385066720573732E-02 )
( -2.76950268803968086E-02 , 5.56954058105917915E-02 )
( 5.09564024009927785E-02 , 6.07307920810045559E-03 )
( 9.00451177906536199E-02 , -8.26078913036658313E-02 )
index: 1
( -7.42309412557949494E-02 , 1.01190435056435102E-01 )
( 2.94542796390900481E-02 , -3.21661227195377541E-02 )
( -6.49259655036894421E-05 , 1.67354875601440113E-02 )
( 9.83266665254756700E-02 , -1.15562987649737679E-02 )
( -5.96084163440761469E-03 , 6.57097785965694153E-02 )
( -7.68998885435580870E-02 , -6.82627032362100872E-02 )
( -9.09965925004814491E-02 , 7.82924396267799250E-03 )
( -4.77053552879796103E-02 , -5.24933201548354045E-02 )
( 3.99998940366480399E-02 , -3.80666193525204394E-02 )
( 8.99749397251882188E-02 , -5.83486767449240863E-03 )
( 6.68589707889395701E-02 , -2.67206725802827672E-02 )
( 2.59831928413947130E-02 , -8.10486761817683504E-02 )
index: 2
( 1.11727033044156238E-02 , -9.43018173417875527E-02 )
( 1.15006149183431872E-02 , 1.95996847405732495E-03 )
( 1.92825767138761379E-02 , -9.55559749873858832E-02 )
( -5.45479317561513161E-02 , 1.45730522734875134E-01 )
( -1.14715842534960644E-01 , -1.01359018163985098E-01 )
( 2.30171891359032613E-03 , 1.38519251633542687E-02 )
( -3.82494569057894238E-02 , -4.34832296149691849E-02 )
( -1.09877254853934139E-01 , 6.52086712738125240E-02 )
( 6.29778700269951058E-02 , 8.73547071220490134E-04 )
( 9.17572757788198343E-03 , -7.75080626988644550E-02 )
( -3.28078058916481605E-02 , -1.11128205838582489E-02 )
( 8.92061775619226727E-03 , -5.51753382036505938E-02 )
index: 3
( 4.07276607482981307E-02 , -4.43868108680705309E-02 )
( -3.85546629460079074E-02 , -3.20425646343684770E-02 )
( 9.72055626944498818E-02 , -1.74997128981589992E-03 )
( -4.03848899662453686E-02 , 9.74307130437641888E-02 )
( -4.99958437859519683E-02 , 6.17664662179436622E-02 )
( -1.55070711480952243E-02 , 5.62529931650004450E-02 )
( -8.26062301596049292E-02 , -7.49474031967434090E-02 )
( -4.07189683238054836E-02 , 5.16748120424939048E-02 )
( 4.47504578632137370E-02 , -5.12693151339868800E-02 )
( -3.73721869688890956E-02 , 4.92678776474194807E-02 )
( -1.65422317741603549E-02 , -4.13258945237114997E-03 )
( -7.80909638219202951E-02 , 6.13376374805344460E-02 )
index: 4
( -3.73382589931797737E-02 , -6.84365781882839003E-03 )
( 7.79606890788428347E-02 , -9.14877411204718244E-02 )
( -1.05451986779966478E-01 , -1.15569374074184564E-01 )
( -2.06386024189087275E-01 , -1.32248940985821850E-02 )
( 1.72016793400198847E-01 , 6.70029624988019434E-02 )
( 1.69242509521386003E-01 , 1.93838281231166754E-02 )
( -8.86452370829184655E-02 , -6.21782912311363706E-02 )
( 4.89353480752381664E-02 , -7.17620851380972868E-02 )
( -4.29337185929969875E-02 , 1.11234249658924839E-02 )
( -9.85860381301226774E-02 , 6.65903771259778177E-02 )
( 2.77557311588901637E-02 , -1.42889722984543777E-01 )
( 6.59655541217104291E-02 , 5.58082062463181525E-02 )
index: 5
( 1.26470397462850437E-01 , -1.13140080410795971E-01 )
( 6.20522526013741194E-02 , -5.18981897227045186E-02 )
( -1.20582801238161758E-01 , 6.57702332834393232E-03 )
( 1.80735009082082093E-02 , 5.82382958614264049E-02 )
( 1.25131320992823286E-02 , 5.40699760074382640E-02 )
( 1.04863348860879169E-01 , 1.06252856516371161E-01 )
( 8.47556931128617963E-02 , 7.04292504237397643E-02 )
( -6.20803405696138955E-02 , -1.14082564095822851E-02 )
( -3.24123303034303534E-02 , -4.45502583618774123E-02 )
( -1.81067357795777345E-02 , 5.34684000711122889E-02 )
( 7.71426830486029308E-02 , 2.55798790073301849E-02 )
( -2.06621974486253718E-01 , 3.00875115767278850E-03 )
index: 6
( 1.08281765849120564E-02 , -9.09976318140905474E-03 )
( 2.90341172465495671E-02 , 1.88515426125937732E-02 )
( 9.08379805551428054E-02 , -5.32006915917251841E-02 )
( 1.70304512516242346E-01 , -5.51326170778858454E-02 )
( -9.61072489967062238E-02 , -2.77400710358471081E-02 )
( -5.21622854461292196E-02 , -8.14161997649250485E-02 )
( -3.91206327004314028E-02 , 6.82061130645494895E-02 )
( 7.31658059677456618E-02 , -3.14567384524450239E-02 )
( -8.24726207105957315E-03 , 1.12331768845895397E-02 )
( -1.75834843493770376E-01 , 6.11168504018958711E-02 )
( -1.37805935838018312E-01 , -1.11904019131626301E-01 )
( 5.72724959251907084E-02 , -2.67515613087031361E-02 )
index: 7
( 7.52700711908591280E-02 , 1.02333490441680372E-01 )
( -4.66123199691938772E-02 , -8.72496193374009410E-02 )
( 1.26537777449182653E-01 , -1.21264804911119781E-01 )
( 9.75337994002833664E-02 , 4.85138227607260705E-02 )
( -7.64412656283327413E-03 , 9.72453242889773778E-03 )
( -1.36456625931208303E-01 , 3.33530604712145139E-03 )
( -5.29282498612895363E-02 , -4.70103432132446195E-02 )
( -1.44569150919365910E-02 , -3.80740803420248353E-02 )
( -9.56436750913084721E-02 , -1.80081832397446989E-01 )
( -9.95671599436669802E-02 , -6.86780692876579058E-02 )
( 4.81430732692563618E-03 , -4.38041336483330837E-02 )
( 8.76043147483976936E-02 , 1.58373673543378418E-02 )
index: 8
( 1.80774275975480542E-01 , -2.67174757041037103E-01 )
( 1.69757467589835592E-01 , 1.08779588950669304E-04 )
( 6.06590097621487814E-02 , -3.15514192284036404E-02 )
( -1.47879416714962797E-01 , 7.70587966957662213E-02 )
( -8.44008268997758770E-02 , -9.01851082709097668E-02 )
( -1.17642374101270819E-01 , -1.25725777176487696E-01 )
( 7.45293572784307828E-03 , 1.42163072288796904E-02 )
( 1.97698938885572717E-01 , 5.51793060092500842E-02 )
( 1.17846254033360104E-01 , -9.22082571732045497E-02 )
( 6.75188884473718609E-02 , 5.24417561495197637E-02 )
( 1.59181286233165603E-01 , 3.73388391569172418E-03 )
( 4.71780738372884617E-02 , -8.17573681701425498E-02 )
index: 9
( 2.84233627766572600E-02 , -1.02505033893088363E-01 )
( -5.68774739844054716E-02 , -2.30005829981505053E-02 )
( -1.15100357676137938E-02 , 2.76826329197255583E-01 )
( -8.42354132783046106E-02 , -1.50457639523167624E-01 )
( -1.28211460207855732E-01 , 5.19803225646612299E-02 )
( 2.21766083135278534E-02 , -1.13083073367872350E-01 )
( -7.40511613705267940E-02 , -2.48326665780238091E-02 )
( -2.05366244216140109E-02 , -6.53703057584134745E-02 )
( 6.49998396614257512E-02 , 4.87857255254324426E-02 )
( -6.31126559839768064E-02 , 9.95828974020037810E-02 )
( 7.71102496467464399E-02 , -2.26223330203358768E-02 )
( 2.71626300755138217E-01 , 2.03711445808846175E-01 )
index: 10
( -6.54180290549962323E-02 , -6.79338852188649117E-02 )
( -1.03382457244194897E-01 , 6.43707647747053247E-02 )
( -1.14522430327919450E-01 , -9.41274241256680466E-02 )
( 5.03866558365305417E-03 , -4.40551873033796712E-02 )
( -1.76688363025789247E-01 , -1.04137098483779472E-01 )
( -3.92692074958624418E-02 , -2.10091757371924648E-04 )
( -1.12002328423569456E-01 , 1.32879022803139499E-02 )
( 7.96168087271696273E-02 , -9.65990077841466233E-02 )
( -2.12508721903544931E-02 , -1.34755664289015975E-01 )
( 3.92144374880047941E-02 , 1.00650047994974377E-02 )
( -2.27695545957465134E-01 , 6.21734295913536905E-02 )
( 1.55120758087543831E-01 , -9.30703540507561711E-02 )
index: 11
( 1.17500820527686733E-01 , -7.75607646488862129E-02 )
( -4.05011626673340980E-02 , -1.41106877731414698E-01 )
( 7.39729849679125889E-02 , -1.66619698458502191E-01 )
( 1.14502017710500476E-01 , 1.81903951612145467E-02 )
( 1.10868692665963414E-02 , -3.17654448812616855E-02 )
( -4.79336890542529648E-03 , 7.07479459142787426E-02 )
( 9.65603823134569550E-02 , 8.38042991963178496E-02 )
( 1.68743426291639187E-01 , 1.96808622955672932E-02 )
( -8.60855013138678710E-02 , -1.28037314719239188E-02 )
( 2.41045455838260619E-02 , 3.08866956683965244E-02 )
( 8.95816169789092620E-02 , 1.26879476670742897E-02 )
( 6.30444046210278247E-02 , 1.73771352051845379E-02 )
index: 12
( -1.94369651675407373E-01 , 1.62781217751450380E-01 )
( 1.18169981248136935E-01 , -6.65867002923362181E-03 )
( -1.53423460564681063E-01 , 8.13178364637038714E-02 )
( -4.77688911567417177E-02 , 7.52764624815741024E-02 )
( 8.75663709861041611E-03 , 1.13624591501121572E-02 )
( -1.20102250728331111E-01 , -1.04003489290922679E-01 )
( -1.32320536337227346E-01 , 1.08638516167594623E-01 )
( -1.99641251247520385E-01 , -6.11371524863514454E-02 )
( 3.47603811166059956E-02 , 2.83326546819117273E-02 )
( 3.39799670247675559E-02 , -3.67320635119251782E-02 )
( -3.37979609140016124E-02 , 1.43024025749693279E-03 )
( -3.75755610086194874E-02 , 2.70412339384461520E-02 )
index: 13
( 1.50883818873101649E-01 , -6.63511542341149174E-02 )
( -5.33888879411305028E-02 , -9.03003212839441627E-02 )
( -2.70650679558126755E-03 , 1.32549105070225021E-01 )
