index: 0
( 3.66646856109603680E-02 , -1.45898244729623316E-01 )
( 1.22579472697765313E-01 , 3.50685459836412305E-02 )
( -2.09070949882696477E-01 , 1.01613941483668979E-01 )
( 7.33176334647701322E-02 , 9.76501958478712684E-02 )
( -2.50317707776252174E-01 , -6.54477214594061940E-02 )
( 2.41050199493600237E-01 , 7.89189740286039831E-02 )
( 5.00359456836223515E-02 , 3.06121351942337028E-01 )
( 8.93498245777764044E-02 , 2.94983291275030979E-01 )
( 1.56805485724915261E-01 , -9.10211886405343229E-03 )
( -1.19385531913758225E-01 , 3.60597519292892965E-01 )
( -7.58360441296815069E-02 , 1.70346155147815148E-01 )
( -7.28329099828066706E-02 , -4.42348310412363777E-01 )
index: 1
( -2.43574007402871384E-01 , -4.57302362180131816E-01 )
( 3.43217320990768515E-02 , 1.43623054460537913E-01 )
( -7.74308423225933407E-03 , 3.89778605031790848E-02 )
( 9.74014203111484012E-02 , 3.99018040312220101E-02 )
( -2.17263002195009686E-01 , 5.31682489362466093E-02 )
( -1.78508458337688886E-01 , -2.76870523552237291E-01 )
( 5.44385163900917846E-02 , 4.25648749774483859E-01 )
( 3.73872638956059822E-02 , 2.13938506874197520E-01 )
( -2.06300054076407058E-02 , 1.44996904300718155E-01 )
( 1.32144057009342730E-01 , -1.04111606518102362E-01 )
( -1.20488735135695801E-01 , 2.59144423483648301E-01 )
( 4.44786127643295393E-01 , 2.35089342690497305E-01 )
index: 2
( 1.54813466759431306E-01 , -1.96482376102900647E-01 )
( -9.18183690329759106E-02 , -5.17984891590121954E-02 )
( 1.21921900795957106E-02 , -8.84610361070987672E-02 )
( -7.89504542883379123E-02 , 4.86384500337599945E-01 )
( -4.05105544618886426E-01 , 1.99428829006136343E-01 )
( -6.05813089385595083E-02 , 4.01119299504934412E-01 )
( -2.51392880872919333E-02 , 1.72547472656318646E-02 )
( 1.36681531021506375E-02 , -4.96518398308062880E-02 )
( -5.95738931512898029E-02 , -3.24940049364095707E-01 )
( 8.63174114075118126E-02 , -1.06294068349944038E-01 )
( -4.24159105917064239E-01 , -3.48842490613580081E-02 )
( 1.65008883696050129E-01 , -1.93767307710801528E-03 )
index: 3
( 2.45211069736598702E-01 , -9.33536503399671758E-02 )
( 1.13521535400030252E-01 , -1.76934642136899661E-01 )
( 4.08708838880981751E-01 , -4.12581731267032126E-02 )
( -3.90456218035322156E-02 , 7.50881321430999504E-02 )
( 2.29634043776057561E-01 , -7.70565982761707291E-02 )
( -1.36941634075691265E-02 , 1.15269249455608902E-01 )
( -6.09247319252323866E-02 , 4.31938475144622025E-03 )
( -1.69824590700665828E-03 , 2.84244755899209889E-01 )
( -3.11488439063789979E-01 , -2.36976808930296379E-01 )
( 1.13926332877475667E-01 , 1.71840746550836199E-01 )
( -1.88199706395007549E-01 , -7.53213792775111468E-02 )
( 3.24404114308514263E-02 , -1.81298995435116073E-01 )
index: 4
( 1.20528145622461835E-01 , -3.67184034323612241E-01 )
( -1.29448096908064914E-01 , 3.82009758428258905E-02 )
( 1.00414351625392029E-01 , -2.25848302325875605E-01 )
( -7.23389932197258390E-02 , -1.68989602636651637E-01 )
( 1.60506741111028861E-01 , -2.94608087874682623E-01 )
( 5.25304243578628149E-02 , 5.07791600027921231E-01 )
( -3.33999152092652740E-02 , 2.33020486509962321E-01 )
( 4.09720734747204440E-01 , 1.80943163013581376E-01 )
( 4.52577216028275942E-01 , -4.27672452189213959E-01 )
( -3.05130109535989291E-03 , 2.78637083468784574E-02 )
( 4.81531481478232770E-01 , -1.97333782163849142E-01 )
( 4.01375303435490438E-01 , 3.25965285927760196E-01 )
index: 5
( -1.34637282719066054E-01 , 7.36852588261800445E-02 )
( -8.96094894436406664E-02 , -2.44190032285192649E-01 )
( -1.89104468556358984E-01 , 2.70459610624105284E-02 )
( 1.79977811413676969E-01 , 2.02144587876934567E-01 )
( 1.43616923783511985E-01 , -3.56591352176280019E-01 )
( 5.18433749560865520E-01 , 3.68403157780764934E-01 )
( 1.62289641917097549E-01 , -1.49039428445511490E-01 )
( 2.37368205024890644E-01 , 8.87595517189379013E-02 )
( -2.21988424560590425E-01 , 8.94546967070450894E-02 )
( -3.19628279534992343E-01 , -2.71468098705833105E-01 )
( 6.88445126692502907E-02 , 2.59628480090960734E-01 )
( -8.83434472801303272E-02 , 1.57180215693278003E-01 )
index: 6
( 1.16225845643320225E-01 , -2.11508056805491840E-01 )
( 2.30023624775363977E-01 , 2.19600395383773517E-01 )
( 9.63687159095161228E-03 , -7.73701455877101596E-02 )
( -4.06852278231877307E-02 , 5.04230650759747157E-02 )
( 2.67692784767845304E-01 , -4.10510974191722999E-01 )
( 1.29815460131597060E-01 , -5.26775025481582837E-02 )
( 2.09891108159161899E-01 , -2.27835706059508536E-01 )
( 1.38234815706185121E-01 , -3.69718702639226793E-03 )
( -2.39774916216627387E-01 , 2.40067222111839396E-03 )
( -2.12007277281609174E-01 , 2.96407723950792013E-01 )
( -2.69318139467126627E-01 , -1.78002858865008162E-02 )
( -5.27598264108507520E-02 , -1.91941926810387575E-01 )
index: 7
( 1.04944544021506103E-01 , 1.28686580396180639E-01 )
( -2.20273811341272108E-01 , 6.07464848957819242E-03 )
( -1.59010772621080321E-01 , 4.19339021453219996E-02 )
( -1.15964226939335724E-02 , 3.94851426003583139E-01 )
( -3.36919039025324940E-01 , -2.91028771380799300E-01 )
( 1.02071732505881974E-01 , -5.63505762470644656E-02 )
( 9.00897441676088429E-02 , -2.98707556865596580E-01 )
( 1.48306943915154532E-01 , -1.89844810551400345E-01 )
( -1.47763382818442368E-01 , -3.65697324239778188E-02 )
( -4.74469444483212044E-02 , -1.51985388755935286E-01 )
( -4.87758798159609874E-03 , -2.76200689273897737E-03 )
( -1.41919286476792639E-01 , -2.68189378923899380E-01 )
index: 8
( 3.08396264810765430E-01 , -3.78622536962541334E-01 )
( 2.15172951649847066E-01 , -2.50884453513990413E-01 )
( 3.65778989149944667E-01 , -2.24526305614126009E-01 )
( -5.06139242037336956E-01 , -1.03809357612613118E-02 )
( 3.01973801163533118E-01 , -1.25059004386341543E-01 )
( -7.63437748740301014E-02 , 3.25768122946044958E-01 )
( 2.68341074322186790E-01 , 2.23911665045942732E-02 )
( 3.65999450018080097E-01 , 1.24582078078792513E-01 )
( -2.43219442606759984E-01 , 3.30916205154474063E-01 )
( 1.03330879568558465E-01 , -3.98220695594764251E-03 )
( 8.98901915689022113E-02 , 1.51643454418102036E-01 )
( 2.35777612352688959E-01 , -3.02943496974693305E-02 )
index: 9
( 4.29077797736402089E-01 , -2.84627497220238945E-02 )
( 2.17752130816515121E-01 , 3.42762756604262919E-01 )
( -5.60146776745571451E-01 , 3.24969485342245124E-01 )
( -1.48700663313344861E-01 , -7.20543551461713894E-01 )
( -4.06628033484811857E-01 , -2.44270193719026668E-01 )
( 1.51338676647548132E-01 , -9.00358901976149040E-02 )
( -1.14973469342876999E-01 , -2.51572208889126125E-01 )
( -1.31588205989210172E-01 , 6.07795216808706407E-02 )
( -4.41188210951600768E-02 , 7.12196212040477894E-02 )
( -2.07585410702916584E-01 , 2.18450827674297132E-01 )
( 4.21135472680547629E-01 , -1.83043055779925523E-01 )
( 3.90324340991440755E-01 , 9.29017722090974551E-02 )
index: 10
( 1.23072758949936301E-01 , -1.73844810956901297E-01 )
( -3.09768378421214408E-01 , 7.20934652117790620E-02 )
( 2.05066130380186007E-01 , -2.86922558912618086E-01 )
