index: 0
( 3.21989464602669487E-02 , -1.05916863370237646E-01 )
( 1.26951264535250463E-01 , -5.14692917389432056E-03 )
( 2.23170266067449323E-02 , 1.22406608791576998E-01 )
( -3.29915077922091973E-02 , 2.80569872302504353E-02 )
( 2.64546710356351501E-02 , -9.92846930941158196E-03 )
( 1.04041332770027570E-01 , -6.28250266628312820E-02 )
( -8.88046619984816238E-03 , -4.92491118218778903E-02 )
( -6.06203161680599067E-04 , -3.73147954558703601E-02 )
( -3.14634816510092410E-02 , -7.29267033550020649E-02 )
( -1.95773851967272657E-02 , 2.28962355019073915E-02 )
( 5.15679802757729108E-02 , -8.47221091076565645E-03 )
( 7.75640189229797328E-02 , -1.40339618723569481E-02 )
index: 1
( -3.28710512381041736E-02 , 1.15259717889584751E-01 )
( 4.55592816705401443E-02 , 3.39817425820679309E-03 )
( 2.41538190641316132E-02 , 1.74650963384367502E-02 )
( 1.00321729162407808E-01 , 2.60991343195192786E-02 )
( -4.39964891048319050E-03 , 5.52898066193013987E-02 )
( -3.05065385430662098E-02 , -1.74889026578993606E-02 )
( -1.51109103059657524E-01 , -4.92456840103653939E-02 )
( -7.95096717825530264E-02 , -4.99762792376541379E-02 )
( 4.32986665322102199E-02 , -3.01132858644759284E-02 )
( 5.59842117340481130E-02 , 2.18709556303440661E-02 )
( 6.92912338826450064E-02 , -7.07390629875308263E-02 )
( -1.24786520340474730E-02 , -2.91464294718411024E-02 )
index: 2
( 2.17388874256119954E-02 , -8.66467197177075155E-02 )
( 4.67517446852005678E-02 , 2.21254555884368292E-02 )
( -1.85572896974992747E-02 , -9.11526403957892417E-02 )
( -7.67763763122341902E-02 , 7.35740526960702440E-02 )
( -4.68820820045256076E-02 , -1.09598935059589203E-01 )
( -6.21702135449332151E-03 , -2.09612173501770305E-02 )
( -2.97720890027251203E-02 , 1.21669531621120680E-03 )
( -7.00602522149606360E-02 , 8.04838646567184735E-02 )
( 2.88983917227207537E-02 , 8.89925856575617819E-02 )
( -3.28561370877753223E-02 , -1.01836914152413124E-01 )
( 3.67252486710902687E-03 , -5.65581885480694047E-03 )
( 1.22652669949221207E-02 , -6.40828704023806012E-02 )
index: 3
( -7.22404242693037296E-03 , -2.45367308713187286E-02 )
( -4.98555302108746878E-02 , -3.71738225761173782E-02 )
( 9.26378247070777233E-02 , 1.65498102616055661E-03 )
( -5.85008504186306649E-02 , 9.29991976397600284E-02 )
( -6.28380014468108844E-02 , 3.62622059699952010E-02 )
( -3.29847799376487352E-02 , 1.06568703621420777E-01 )
( -2.03824299812009127E-02 , -4.70896235868113883E-02 )
( -8.89197172483191522E-03 , -5.34571670352438494E-03 )
( 4.43870581233291386E-02 , -5.01360066662403375E-03 )
( -9.25170951932950403E-02 , 7.35972531458769369E-03 )
( 2.69038388910035342E-05 , -4.53555696374753070E-02 )
( -7.38740797433158625E-02 , 8.54680101864485203E-02 )
index: 4
( -4.67301428865250362E-02 , 5.41110597949563121E-02 )
( 1.07264103189586610E-01 , -4.54592266249285448E-02 )
( -7.46341871915268823E-02 , -7.15260560827789826E-02 )
( -1.79872634131030079E-01 , 6.04705379209694860E-02 )
( 1.80641704266108649E-01 , 1.20637936943683313E-01 )
( 1.59980701905994782E-01 , -1.32485606766275313E-02 )
( -6.65494820472348064E-02 , -6.16902789954503969E-02 )
( 1.89834933895578206E-02 , -8.74925180399918068E-02 )
( -8.26239164281623167E-02 , 3.12932121456130502E-02 )
( -8.79492850595506998E-02 , 7.44666631959445546E-02 )
( -1.00083548917897641E-02 , -1.19717900996066440E-01 )
( 6.81332210979254393E-02 , 3.92158855368172909E-02 )
index: 5
( 1.93551989456555523E-01 , -8.56607217561201617E-02 )
( 6.36094749794720998E-02 , -1.31045740621229534E-02 )
( -4.70678354304456814E-02 , 2.91303841279705635E-02 )
( 2.88830096915636478E-02 , 4.11626937023902087E-02 )
( -3.09655567308106464E-02 , 9.78215883185437063E-02 )
( 4.82114294293456494E-02 , 4.32909959575100006E-02 )
( 5.13580394099686158E-02 , 7.94952047152027025E-02 )
( -5.03616927884035018E-02 , -2.66188035819848526E-02 )
( -2.95096433782426580E-02 , -6.94728553049501207E-02 )
( -1.26905103227466128E-02 , 7.35137503331688563E-02 )
( 8.68520516986944213E-02 , 5.15118204635641591E-03 )
( -1.73257981289161284E-01 , 2.21008619364235319E-02 )
index: 6
( 1.14706212446401210E-02 , -2.62103899117488125E-02 )
( 2.68869959429655289E-02 , -4.41506102477452408E-03 )
( 8.57149929121236859E-02 , -5.15287558242294857E-02 )
( 1.65116956537262022E-01 , -7.29824606646953117E-02 )
( -1.32751994166249054E-01 , -2.53471347116269903E-02 )
( -4.86087689406167617E-02 , -9.57585893952770661E-02 )
( -7.80787584102295984E-02 , 6.93017404054463021E-02 )
( 7.37781363139035362E-02 , 1.26764558910662239E-03 )
( 9.01317234876367404E-03 , 3.98958187780115159E-02 )
( -1.50796871130041588E-01 , 4.46725827837666511E-02 )
( -1.07107890759268354E-01 , -1.05142835721852179E-01 )
( 4.69665306320540127E-02 , 1.46984373081176199E-02 )
index: 7
( 6.04304914043352556E-02 , 7.35855205595871142E-02 )
( 1.65813588620024599E-02 , -9.92249827446390065E-02 )
( 1.36128046209532255E-01 , -8.55217685102011432E-02 )
( 6.19008273605551815E-02 , 5.38360346478070559E-02 )
( 6.64674883604951527E-03 , 2.25102545632191661E-02 )
( -1.09025092713371019E-01 , -2.04566112594428626E-02 )
( -7.85320391132771634E-02 , -6.87411948220723740E-03 )
( -4.91732788409893901E-02 , 1.10505068022226857E-02 )
( -6.93398268692499709E-02 , -2.04616003263507151E-01 )
( -7.49600284835875846E-02 , -6.14273672693173289E-02 )
( -3.95909450973131738E-02 , -8.50976723640455290E-02 )
( 1.05944552633918485E-01 , 6.90600335389471576E-02 )
index: 8
( 1.20439587219852179E-01 , -2.03549575099363333E-01 )
( 1.25407736414833521E-01 , 4.42457463977335291E-03 )
( 4.49982824617408683E-02 , 2.84549931955851848E-02 )
( -1.01151980634797384E-01 , 8.60207977831864562E-02 )
( -1.17876993097125779E-01 , -7.81502027195714183E-02 )
( -9.33691741095737660E-02 , -1.41021881823991529E-01 )
( -1.02492712867437198E-02 , 4.28527437728011829E-02 )
( 1.09644999295555379E-01 , 2.04544216782085939E-02 )
( 1.11050370786051358E-01 , -6.49872611173494125E-02 )
( 6.48899818234924403E-02 , 4.44523192044674192E-02 )
( 1.41667733074713059E-01 , -3.29529648794172764E-02 )
( 5.03598290675683485E-02 , -1.13883310584429409E-01 )
index: 9
( 2.11221500399983234E-03 , -7.27251152226029013E-02 )
( -6.76118380104231975E-02 , -2.13995942579482817E-02 )
( 3.80435883667488775E-02 , 2.10161731058837287E-01 )
( -2.92317141299399050E-02 , -8.77916198249568819E-02 )
( -5.34023743178244498E-02 , 8.29764651340625103E-02 )
( 1.27699566148078893E-02 , -9.07892314767742570E-02 )
( -7.03159818087693289E-02 , -3.75801026209686903E-02 )
( -3.05572557433466188E-02 , -6.95118904943070742E-02 )
( 5.88161063259508288E-02 , 5.56626920882422049E-03 )
( -1.09085390613128178E-02 , 9.49251893907340494E-02 )
( 4.97625981377701337E-02 , 2.61218886744542939E-04 )
( 2.58871151886079620E-01 , 2.08948377832256116E-01 )
index: 10
( -6.13176004905282498E-02 , -2.90322891661235552E-02 )
( -5.28941130208276308E-02 , 5.18796845816783259E-02 )
( -1.17065468443368834E-01 , -7.54470757874037834E-02 )
( -5.18168865763574543E-02 , -8.14151830813701349E-02 )
( -2.11396672597380986E-01 , -6.94521207989682032E-02 )
( -7.69712210419305765E-04 , 4.31805014305542134E-02 )
( -6.45327956248268608E-02 , 1.38242404287068146E-02 )
( 5.35211255370575123E-02 , -6.98840107044762515E-02 )
( -3.75533287878430794E-02 , -8.68515925597551086E-02 )
( 4.09340377283324425E-03 , 5.89658734198114133E-03 )
( -1.97229983790404850E-01 , 8.61596354120392899E-02 )
( 1.55257734634240224E-01 , -1.30462461916343031E-02 )
index: 11
( 1.08591586782148322E-01 , -4.96650937051646563E-02 )
( -3.22932612483747133E-02 , -9.22938401428455291E-02 )
( 1.25530163816349821E-01 , -1.61478527367821867E-01 )
( 7.94348501468876145E-02 , 3.77743563906419166E-02 )
( 1.64343224287834544E-02 , -2.07736277813721608E-02 )
( 1.00281843901153713E-02 , 3.20514755258177741E-02 )
( 7.30548773178037597E-02 , 1.24497170128068102E-02 )
( 1.63834663874392522E-01 , 1.35328926169730780E-02 )
( -8.54962581463588334E-02 , 1.86168158404979821E-02 )
( 4.22745567978690812E-02 , 3.62991010588765498E-02 )
( 6.66804572159570424E-02 , 1.55784341007498151E-02 )
( 2.10844775960407071E-02 , 7.90727605873975392E-02 )
index: 12
( -1.77249892570329221E-01 , 9.17954441051924558E-02 )
( 1.01521762053948930E-01 , 3.35392942533133190E-02 )
( -1.14921896193855941E-01 , 9.07267501602171955E-02 )
( -3.47208830628298326E-02 , 1.77927543056839027E-02 )
( -2.39640706529179251E-02 , 2.39171997029093211E-02 )
( -1.28279486586109104E-01 , -9.53177771940323937E-02 )
( -1.06630883283911015E-01 , 9.53335355669353152E-02 )
( -1.28075002066800281E-01 , -6.50386157508576479E-02 )
( -2.34584102000469988E-02 , 1.18674853030505782E-02 )
( 3.25970693185517815E-02 , -8.94540731331061600E-02 )
( -4.66420497875535967E-02 , 4.53231518067330821E-03 )
( 9.19251129144638829E-03 , 6.75719934483909601E-02 )
index: 13
( 9.83693355282036497E-02 , -1.68916685219778137E-02 )
( 1.84550463319967661E-02 , -9.06752059360250856E-02 )
( -3.44800740152192541E-03 , 6.98061544375679494E-02 )
( 7.12931259294200814E-02 , 7.31301434416750801E-02 )
( -1.82165362577099005E-02 , 1.65828136137203264E-02 )
( -1.28819126141468343E-01 , -3.87965370542508736E-02 )
( -1.02115823970678726E-01 , 5.16361607248732243E-02 )
( -9.55564140020331299E-02 , -6.82911120746853423E-02 )
( 4.88623549787481140E-02 , -4.93202598791947708E-02 )
( 1.02152984072876984E-01 , -1.03389705760012163E-01 )
( -7.60437177653223439E-02 , -5.98713039892991988E-02 )
( -3.53799778278734989E-02 , -1.09825383379454702E-02 )
index: 14
( 4.64892196927428475E-02 , -4.72507261887780278E-02 )
( 8.21788769661831453E-02 , 5.87115511550174857E-02 )
( -3.66443220149402071E-03 , -1.71055977580134022E-02 )
( 8.50058535884397753E-02 , -3.62863938421005769E-02 )
( 3.96037933424865304E-02 , 4.18153215282331056E-02 )
( -1.30460372908261873E-01 , 3.42715300168286996E-02 )
( -3.36133675750042576E-02 , -1.00940995432390462E-02 )
( 3.02455905703753990E-02 , 1.48828704106534565E-01 )
( 8.90384591808287829E-02 , -6.74438451442315179E-02 )
( -1.91545586465695292E-02 , 2.80918765340824536E-02 )
( -7.13623642963101268E-02 , -3.78426671358303088E-03 )
( -1.06886489416309682E-01 , -2.08280785168036379E-02 )
index: 15
( -7.05959837833349674E-02 , 5.85170843930250470E-02 )
( 8.17844327917846975E-02 , -1.74686603958850023E-02 )
( -4.83742168303097839E-02 , -5.26716214030460844E-02 )
( -1.21349250479703547E-02 , -2.36619857087060903E-02 )
( 8.72478374058671124E-02 , 1.50260201204132152E-03 )
( -6.26907197282116080E-02 , 3.98616862015303830E-02 )
( 1.42795758904586817E-01 , -1.82092664251474884E-02 )
( 3.84997285179890444E-02 , -1.08640256207771124E-01 )
( 6.61870776608132899E-02 , 1.49522021167817987E-01 )
( 5.35083325795251696E-02 , 6.48400128820302291E-02 )
( -5.15075128300848673E-02 , 6.98463562774009339E-02 )
( -5.36269655506996373E-02 , 4.55885730468980205E-02 )
index: 16
( 1.28656490604968171E-01 , 1.01783950937166259E-01 )
( -9.82898508009363847E-02 , 7.53746484833415636E-02 )
( -7.83351912813328582E-02 , -1.17871812654324351E-01 )
( -1.27793901953714484E-01 , 4.24306318718549458E-02 )
( -5.57731390904862706E-02 , 3.80022499733498054E-02 )
( -1.23795173488261356E-01 , 1.35948578448760529E-02 )
( 8.66818523494389953E-02 , -2.02033314324327196E-02 )
( -3.73386810131707825E-02 , -6.03942935908060724E-02 )
