x=0,y=0,z=0,t=0
( 1.70061303888093072E-07 , -1.02734259063366580E-04 )
( -1.45977774616684396E-04 , 6.87356242262443149E-05 )
( 2.86538457311950759E-05 , 2.02757628007240365E-04 )
( -2.36649573040294161E-04 , -2.20584661880465896E-04 )
( 1.20104918625674661E-04 , 3.22661634347931570E-04 )
( 4.00397178294219892E-05 , -6.46852470633370823E-05 )
( -2.27118371501213191E-05 , 1.56061143996079230E-05 )
( -7.94253796039028287E-05 , 1.21267602739955131E-04 )
( 2.81303566165545815E-04 , 1.25063671037113562E-04 )
( -2.25757265653531061E-04 , -2.04395529320219312E-05 )
( 2.61365459842801209E-04 , 1.15852229264064928E-04 )
( 1.78067247338330658E-04 , -1.02587695262930519E-05 )
x=1,y=0,z=0,t=0
( -1.83417966731540098E-04 , 3.49498008548948286E-04 )
( 1.68929193265228536E-05 , -7.11209944996776334E-05 )
( 3.30763169774733366E-04 , 1.11517102539315305E-05 )
( -4.92747431154321952E-05 , 1.85194979538195960E-04 )
( 5.97457999049189861E-05 , -2.39435557857870711E-04 )
( 3.09802845349079338E-04 , -1.54953222771360459E-04 )
( -6.70120205279621577E-05 , -1.01125767666767412E-04 )
( -1.23179915524847781E-04 , 3.60535015490157920E-04 )
( 3.91736334409277997E-04 , 4.37270888389277798E-04 )
( -4.06743864713714632E-04 , -8.05572799769063893E-06 )
( -4.99975373768192554E-04 , -6.20329506053000749E-05 )
( -4.01527112917960023E-05 , 1.90741209057965867E-04 )
x=2,y=0,z=0,t=0
( -2.00122284906648843E-04 , 2.43632561235765572E-04 )
( -1.14688981033397934E-04 , -8.79939839111256925E-05 )
( -3.87895112608978429E-04 , -1.84135529059511002E-04 )
( -2.63220527254338541E-04 , 1.08724825258071296E-04 )
( 4.40100239212898694E-05 , 8.80627008198744143E-06 )
( 8.42072662070595041E-06 , 7.92274671964827190E-05 )
( -4.13683451368299375E-05 , -9.27560006385294491E-05 )
( -2.76031201858793502E-04 , 4.66131311699813854E-04 )
( -1.45957443675775967E-04 , 2.40356476294481124E-05 )
( -1.21120241654861207E-04 , 1.34276409078304068E-04 )
( -8.23342710702387802E-05 , -1.07171516350836052E-04 )
( -4.64397395622641654E-05 , 1.44532039072983569E-04 )
x=3,y=0,z=0,t=0
( -3.99769383831399946E-04 , 2.78467579098764983E-05 )
( -7.60649525074115495E-05 , -1.39722845488272928E-04 )
( 9.56052299666570625E-05 , 3.03715160038324798E-04 )
( -3.77987470300839571E-05 , -9.21014021653929519E-05 )
( -8.27324088214951778E-05 , 4.14152229575581081E-04 )
( 4.07874062050986980E-04 , -3.54587306777353424E-05 )
( 1.69161827834758428E-04 , -9.87008449671091534E-05 )
( 3.58846612037478328E-04 , 2.34757879372733637E-04 )
( 2.23371879813078823E-04 , -3.46217392532913897E-04 )
( 2.70031001085766897E-04 , 6.00557849050168771E-06 )
( -2.46899662575377561E-04 , -1.42213030049812521E-04 )
( 1.54406367029729985E-04 , -3.29559615059894068E-04 )
x=0,y=1,z=0,t=0
( 1.36674235446860481E-04 , -5.30329037809184993E-04 )
( 2.52995282840478983E-05 , -1.05860464694670703E-04 )
( -2.19149335484848586E-04 , 2.17406972263648021E-04 )
( 1.61126724455193469E-04 , -2.16812133929554550E-04 )
( 2.65077981894355899E-05 , -1.84270596071477885E-05 )
( -8.94338819226751433E-06 , 1.54697116507519398E-04 )
( -6.29708260628495547E-05 , 2.86642081783126642E-05 )
( 6.56117073357500636E-05 , 7.62014958217447838E-05 )
( -2.18292246442929787E-04 , -2.19920821351695989E-05 )
( -2.64562357567770618E-04 , -4.41735465956697053E-05 )
( -1.17287400023620040E-04 , -2.82228213788077989E-04 )
( 1.54866771670835932E-04 , -1.70873816326602576E-04 )
x=1,y=1,z=0,t=0
( 2.09503772888084116E-05 , -1.04576725955994682E-04 )
( 1.37579618363054607E-05 , -1.36503994110122838E-04 )
( 3.18343559356017191E-04 , 1.17262780681181623E-04 )
( 4.04792928678632757E-04 , -3.05416044641710336E-04 )
( -7.71264562922121372E-05 , 3.32320318974350340E-05 )
( 4.89478397955235502E-04 , 3.56877393279055554E-04 )
( 4.21874535053691165E-05 , -4.95128560611205468E-05 )
( 6.44462273702744223E-05 , 3.89357691408828309E-04 )
( -1.46422178892545690E-04 , -3.79166739010963760E-04 )
( -3.37213275894427691E-04 , 1.39444151033282982E-05 )
( 3.89325280185365811E-05 , 2.40562094077070886E-04 )
( 6.54958962313004998E-05 , -1.28883768333765825E-04 )
x=2,y=1,z=0,t=0
( -8.01890382228676480E-05 , -9.35880892850399860E-05 )
( -1.96186848067520501E-04 , -1.76704780224339178E-04 )
( -1.80238112956330072E-04 , -9.28516593254923917E-06 )
( -1.28704502266429964E-04 , -2.62064483061769029E-04 )
( -2.92578578609616535E-04 , -9.05464316468479003E-05 )
( -2.81946319174979510E-06 , -2.08209929816995207E-04 )
( 1.56206443068353723E-04 , -1.55306669595958128E-04 )
( 1.71283170951510997E-04 , -2.61831224621062223E-04 )
( 7.85163273935812175E-05 , 2.05892074188217879E-04 )
( -4.60046206245957981E-05 , 4.40350922134752289E-04 )
( 1.14201823321576605E-04 , -7.35324341622928550E-05 )
( 2.34913137024563847E-04 , -1.81635332591378298E-04 )
x=3,y=1,z=0,t=0
( -6.08719337104318348E-05 , 1.86100350494055949E-04 )
( 4.23368424936365639E-05 , -7.50379453309950903E-05 )
( -9.13155020821730944E-05 , 2.62609266138762469E-04 )
( -8.76246712751238522E-05 , -2.37950769785792845E-05 )
( 2.75844990374094878E-04 , 1.25869046859951057E-04 )
( -1.46102460116012651E-04 , 1.06026932567267540E-04 )
( 9.34274795172044658E-05 , 5.37056395561448887E-04 )
( -4.44665851710001340E-05 , -1.78334607109780353E-04 )
( 1.83298602829401990E-04 , -1.79090900700432283E-04 )
( -2.57917823375254781E-04 , -1.45473318898685909E-04 )
( 4.36020177953505247E-04 , 3.08706171748822367E-04 )
( 7.04449995195455725E-05 , 2.86056172475065453E-04 )
x=0,y=2,z=0,t=0
( -6.60983112005426605E-06 , -5.52652553830217303E-05 )
( 2.23536490407301149E-04 , -4.35942140469488724E-04 )
( -6.13064517705314379E-05 , 9.10326184425156012E-06 )
( -1.03749912565345798E-04 , -7.91574571213507153E-05 )
( -1.05196471844452169E-04 , -1.94226687516383891E-04 )
( 1.23012006296778861E-04 , 1.61613114972015319E-04 )
( 2.20130095800671102E-04 , -4.07104133050728865E-05 )
( 1.00385139293254864E-04 , 4.52831205139419342E-04 )
( -1.48947537454227413E-04 , -1.51958674974895418E-04 )
( 7.02996265355260961E-05 , 1.43457686549204063E-04 )
( 2.60533384422362399E-04 , -4.50127825492298590E-05 )
( -2.13453369652588410E-04 , -1.22809662740049102E-04 )
x=1,y=2,z=0,t=0
( 4.09499563018449046E-04 , -3.06034090008706588E-05 )
( -4.93993465727116674E-04 , -4.48233239196487950E-06 )
( 2.61016568586320173E-05 , 2.43901481753345693E-04 )
( 8.87949924640580836E-05 , 2.77862756675695602E-04 )
( 1.26575000855468284E-04 , -2.33285481047787772E-04 )
( 1.35170043564571108E-04 , -7.62860176977532372E-05 )
( 5.04516543099225699E-05 , -3.17042352425274745E-04 )
( -3.92425683899791139E-05 , -3.50747047640835417E-05 )
( -2.74960312170023863E-04 , -8.86699092306066452E-05 )
( -4.55057643501332343E-05 , -5.47890513879006690E-05 )
( 5.15696779850682678E-04 , -2.90899691937852346E-04 )
( 2.99067673287738579E-04 , 1.23583331309391948E-04 )
x=2,y=2,z=0,t=0
( 1.70231998254424940E-04 , -1.06237246310610139E-04 )
( -3.87392796899052735E-04 , 4.42236317720080211E-04 )
( -3.06988721046953382E-04 , -3.94542269873514599E-04 )
( -1.27449258135812929E-04 , 5.41153920978649410E-04 )
( -7.82572898095937016E-05 , -1.97878997790049144E-04 )
( 3.99703433248857720E-05 , -3.53971265853066141E-04 )
( 1.61867374068965555E-05 , -8.75650537750840419E-05 )
( 4.33808131604899170E-04 , 8.61374100645505042E-05 )
( 1.11260066011334137E-04 , 2.22473200990723897E-05 )
( -5.91668275340536884E-06 , 3.74248192906714080E-04 )
( 2.53180761966471403E-04 , -3.08569600526756218E-04 )
( 1.97599658944733329E-05 , -6.39247983426649997E-05 )
x=3,y=2,z=0,t=0
( -1.58523059418215587E-04 , -1.99613942174930374E-04 )
( -2.04620914984819061E-04 , 1.90340660907270694E-04 )
( 2.75822062170513857E-04 , 3.75741170184885301E-06 )
( 4.59060374768010745E-04 , 2.86847136422282365E-05 )
( 1.59202685318396864E-04 , -7.45309094852523204E-05 )
( 2.28426362642692403E-05 , -4.18297941508352438E-05 )
( 1.31915371034797098E-04 , 9.24210683505616759E-05 )
( -4.60653913865536138E-04 , 6.83965690919592130E-05 )
( -3.64444475343364722E-04 , 4.98874289386105310E-04 )
( 2.41798391886442234E-04 , 1.00404853619535445E-04 )
( 3.27007121656794158E-04 , 1.37269446908848934E-04 )
( -3.28249134568488874E-05 , 2.68543144261653452E-04 )
x=0,y=3,z=0,t=0
( -3.64969310500906868E-04 , -3.69240024099600416E-04 )
( -2.51611926269631418E-04 , 4.29589232174167854E-05 )
( 1.76144749943070439E-04 , -2.27086822299898164E-04 )
( 3.49306930078932890E-04 , 1.72221117148924367E-04 )
( 4.82880121421128250E-05 , 3.86597406718265077E-05 )
( 2.31344290019661471E-04 , 1.28041919667814033E-04 )
( 6.32091993019999498E-05 , 1.76484267754912317E-04 )
( 2.21322034994837953E-04 , 1.61106440512628869E-04 )
( 5.73114131959928162E-05 , 9.65496337417937300E-06 )
( 4.06835519380197301E-04 , -4.67870942984952593E-05 )
( 3.72279528702811448E-04 , 3.67788429613384225E-04 )
( -1.53546995520423784E-04 , -1.37149980967963961E-04 )
x=1,y=3,z=0,t=0
( 8.31281119619481704E-05 , -3.85857112577058165E-04 )
( 2.77259168633687082E-05 , 8.60612235167718110E-05 )
( 2.10266637201307746E-05 , -2.30521623197031981E-04 )
( -1.68005865249076558E-04 , -1.30644332357066176E-04 )
( -5.38809234330781895E-04 , -3.60942373243885778E-04 )
( 1.56327621088058312E-04 , 3.81442272605577500E-04 )
( 3.08640843432432077E-04 , 1.44365571792695011E-04 )
( -8.54752584982543544E-05 , -1.59980370920434419E-04 )
( -7.16011826267978340E-05 , 3.23805221625283590E-04 )
( 1.07872431741024842E-05 , 3.93111758829912776E-04 )
( 1.87895207950677337E-04 , -2.20903120495072845E-04 )
( 2.32688914442311239E-05 , 3.03896116859792139E-04 )
x=2,y=3,z=0,t=0
( 2.14578936244894591E-04 , -3.91733923292153193E-04 )
( -2.42469505600852512E-04 , 5.24315023137024222E-04 )
( 4.57520174104215525E-05 , 1.74435208963605337E-04 )
( 1.82313472469788825E-04 , -1.17147387808182806E-04 )
( 3.39091831831550387E-04 , -4.34424582335234111E-04 )
( 2.39785740103554460E-04 , -2.09759305427808731E-06 )
( -8.30362678110631709E-06 , 8.32262818653864447E-06 )
( -2.17579421758059681E-04 , 1.22704475036306010E-04 )
( 1.44430523891288693E-04 , -3.48640285498012976E-04 )
( 2.92621884819319067E-04 , 2.18160094844020399E-04 )
( 1.47986371044100734E-04 , 7.82128591668038392E-05 )
( 4.77750166350247364E-04 , 1.92694464455545999E-04 )
x=3,y=3,z=0,t=0
( 4.44242284564717405E-04 , -3.95897017455148039E-04 )
( -9.38975198277462497E-05 , -5.99231211097534671E-05 )
( 3.03937979304197306E-04 , -2.01889592438995693E-04 )
( -4.18667486884306847E-05 , 3.23673802288343740E-04 )
( 1.10002668511958676E-05 , -2.97961151660915071E-04 )
( 3.08771772132336532E-05 , -2.25922725063811870E-04 )
( -2.33197694104390104E-04 , -1.21331653880151136E-04 )
( -1.85571409167932056E-04 , 1.69401506883280696E-04 )
( -6.96275056064053787E-05 , -1.84319392438331894E-04 )
( -1.03436454461547351E-04 , -1.71629534391348033E-04 )
( 5.72424531923440089E-05 , 6.63021996402810894E-05 )
( 1.81108524206376062E-04 , 2.38572272585998633E-04 )
x=0,y=0,z=1,t=0
( -1.87241836131383171E-04 , 4.17748959167394394E-04 )
( 3.15693179460863841E-04 , 5.52126917531968716E-05 )
( -1.57691270425491657E-04 , 4.34869834703673761E-05 )
( -3.44746275832990450E-04 , -3.97921567183729156E-04 )
( -3.67135222301974667E-04 , -2.15894134270015249E-04 )
( -3.41670041217742950E-04 , 8.18807954039236293E-05 )
( 1.30231876048400483E-04 , -3.87099693175232832E-04 )
( -4.05310129252391214E-05 , 1.88576637279205838E-04 )
( 2.61068533193911916E-04 , -8.74117710047266365E-05 )
( 4.31333230546222194E-04 , -8.94856649970469996E-05 )
( -2.11429854755532397E-04 , -2.42339819568341603E-04 )
( 9.01770781363008835E-05 , -1.52641347920085501E-07 )
x=1,y=0,z=1,t=0
( -1.10358024878545285E-04 , 2.13297493553583000E-04 )
( -6.33020299943887660E-05 , -4.73053983970914959E-05 )
( -2.91352639504153773E-04 , -3.10834818143275959E-04 )
( -2.18839675381875232E-04 , 3.43540824347118162E-04 )
( 4.16919498852149663E-04 , -3.74218162109350250E-04 )
( 3.28962962880875821E-05 , -2.53917077647167330E-04 )
( -3.65116437042114594E-04 , -2.42169060536978078E-04 )
( -4.35992016343515905E-04 , -3.71253200623990773E-05 )
( -2.85303479757167413E-04 , 3.95210822962313590E-04 )
( 1.64344055192706929E-04 , -3.85777128303270477E-04 )
( -1.94986436390392755E-04 , -3.37621424986030795E-06 )
( -1.80616574113465515E-04 , 1.03588498693249617E-04 )
x=2,y=0,z=1,t=0
( 2.98105227058034490E-04 , 4.00837465156425013E-04 )
( -4.93951064698632642E-06 , -2.33322555010452608E-05 )
( 4.53900373479058309E-04 , 1.61961491462144218E-04 )
( -3.75699558401956790E-04 , -1.23924569731818419E-04 )
( 2.21586068325289941E-04 , -2.07854606023880973E-05 )
( -1.57297111486684829E-04 , -2.25772635600178967E-04 )
( 1.58609563202178727E-04 , -1.77124339522148860E-04 )
( -8.83502827427408205E-05 , 1.82787701987198686E-04 )
( -1.14912717616490483E-05 , -4.49975266514330489E-04 )
( 6.80515913278989624E-05 , 2.78419702741510185E-04 )
( -1.04517290702684759E-04 , 2.05193846261724541E-04 )
( 2.42892896182662400E-04 , -9.20536052280919486E-06 )
x=3,y=0,z=1,t=0
( 1.72977749344898084E-05 , -1.84203552654384222E-05 )
( -3.82134382286105072E-04 , -5.76514422101928351E-05 )
( -2.95535947242136381E-04 , 7.19012374547345470E-05 )
( 7.21286398780831618E-05 , -1.65625108749536571E-05 )
( -9.65995686968549764E-05 , -7.69968149748634931E-05 )
( -1.46697759819551076E-04 , 1.05185796265761298E-05 )
( 8.74851520026297417E-05 , 1.84683753446231044E-04 )
( -1.03672385715588368E-04 , -8.70975917009050794E-05 )
( -2.16893913025716567E-04 , 5.06412450659381831E-05 )
( -1.55378545896392342E-04 , 1.26028075256708749E-04 )
( 1.04506985043746338E-04 , 8.23628646581384458E-05 )
( 1.04596924859866954E-04 , -1.08901401624039723E-04 )
x=0,y=1,z=1,t=0
( 2.18022895987837534E-04 , -1.40240835108535817E-04 )
( -6.54932262193140785E-05 , 4.48134839055431026E-04 )
( -2.79072723723943514E-04 , -2.43140125237265470E-05 )
( -7.97248971740857805E-05 , -8.18502213544432630E-05 )
( 1.73645495703794224E-04 , 5.05633945027528795E-04 )
( -2.74426188309532631E-05 , 1.11758217917123890E-04 )
( 3.26124575467016768E-04 , -2.83044395726173112E-04 )
( 8.78420413994014616E-05 , -2.57168693820246375E-04 )
( 2.01463099465280649E-05 , -2.03130838315364922E-04 )
( 7.75038785768138465E-05 , 2.04632907026938395E-04 )
( -4.56681672762697846E-05 , 1.34825222958674673E-04 )
( 9.40550260708952459E-05 , -3.91463306283367310E-04 )
x=1,y=1,z=1,t=0
( -1.01383476957912972E-04 , 2.78309766909281761E-04 )
( 4.92067482322376595E-05 , 1.80016661739819075E-04 )
( 1.58634013756032608E-04 , 1.57785074042684494E-04 )
( -3.56164214429709544E-05 , -2.40853140795497324E-04 )
( 1.57312170859980516E-04 , 1.03917929367880913E-07 )
( -3.27866539419706935E-04 , -3.18283435521756722E-04 )
( 1.26960410830209930E-04 , -5.25671538223570979E-04 )
( -1.40802037654667183E-04 , 2.13697195455177431E-04 )
( 2.00292248611885066E-04 , 2.57030249919053982E-04 )
( -1.04227087724926434E-04 , 2.94804400739180140E-04 )
( -3.24675392818624543E-04 , 2.77397114775057148E-05 )
( -2.16062004211769841E-04 , 1.13551246125564602E-04 )
x=2,y=1,z=1,t=0
( 3.36767749624907121E-05 , 1.10735932692565856E-04 )
( -2.69256207900162037E-04 , -4.01191478268258061E-05 )
( 2.08962921065782383E-04 , -4.82227911103102905E-07 )
( 3.54996926716511960E-04 , 1.66828252424592672E-04 )
( 2.65232043463447750E-04 , -1.86387482546394813E-04 )
( -3.34256150520713521E-04 , -2.49092551788948158E-04 )
