x=0,y=0,z=0,t=0
( 2.28464772472525724E-05 , 2.82600223976755726E-05 )
( 2.35877914496193796E-06 , -1.46187722606666559E-05 )
( -3.29547990296073342E-05 , -3.89476577937526120E-05 )
( 3.54675916625144373E-05 , 3.14000463470393427E-05 )
( -4.70628724434279377E-05 , -3.12855751611460284E-05 )
( -1.08999356678921293E-05 , -2.38759526830930154E-05 )
( -5.00640616501210438E-05 , -1.28333189663779940E-04 )
( -4.95455745743352954E-05 , -9.53084289373990981E-05 )
( -4.53606305656534093E-05 , 1.95166106055097953E-04 )
( -6.47411316821107813E-05 , -4.91493477038077218E-05 )
( -4.40830621023192363E-06 , -4.90038093013593314E-05 )
( 3.47764783874334474E-05 , 5.59124680875964911E-05 )
x=1,y=0,z=0,t=0
( -1.22938974342971276E-04 , 3.42032694581762556E-05 )
( 1.49376662559142534E-04 , 4.34391757168336434E-05 )
( 3.07026923677873145E-05 , 4.55354564530180799E-05 )
( 8.47952831575008142E-05 , 1.46201481787628074E-05 )
( 3.21019937453403124E-05 , -3.36182214046598603E-05 )
( 3.25966940322079156E-05 , -7.85387215839098649E-05 )
( 4.89492695532050013E-05 , -7.74215521683434813E-05 )
( 3.76233561661533757E-05 , 1.27511119237754157E-04 )
( 7.36086027833454860E-05 , 1.65970167260263465E-05 )
( -2.12599082992042087E-05 , -3.97731116054894309E-05 )
( -6.07833158038753165E-05 , -5.51522273331688943E-05 )
( 7.84650570912562170E-05 , 6.08915159138743084E-05 )
x=2,y=0,z=0,t=0
( 6.35655666742560412E-05 , -4.36556404535089806E-05 )
( -1.09300307975200898E-04 , -3.65330023806697757E-05 )
( -3.16231874754299203E-05 , -8.10432619825063435E-05 )
( 8.70332101414164258E-05 , 3.58885521715433445E-05 )
( 1.05937315666737350E-04 , -4.96492588454367146E-07 )
( -1.07049150267965996E-04 , -3.69723048460575271E-05 )
( 1.35868638891226742E-05 , 8.20718413644412192E-05 )
( -5.72881565750292797E-05 , 8.90120746048768223E-05 )
( 1.12160670324537939E-04 , -4.79058704832082571E-05 )
( 8.03757098241901507E-05 , 1.05971656992374978E-04 )
( -9.22364093133880769E-05 , 9.94569102346258907E-05 )
( -9.10628077062956896E-06 , 5.05507948868055428E-05 )
x=3,y=0,z=0,t=0
( 3.64017905477351635E-07 , -3.96066084836286161E-05 )
( 3.05374539117602049E-05 , 2.94281797982497785E-05 )
( 9.15211440561623779E-05 , -1.13230106417987705E-05 )
( -8.73756909723882841E-05 , -1.48210500507461830E-04 )
( -6.41315588457546249E-05 , -3.17661531522471578E-05 )
( -1.95548169093918974E-06 , -3.93232343687661777E-05 )
( 5.68037315162639228E-06 , -1.72760170476647169E-04 )
( -8.21426488077991806E-05 , 7.43792328635729242E-06 )
( -4.63043396249543287E-06 , 1.23533720298089862E-05 )
( 4.40534385962329880E-05 , -1.47732764099080819E-05 )
( -5.34539889078564052E-05 , -3.05182369048673341E-05 )
( -1.71121766401966457E-05 , -9.57156420822640673E-05 )
x=0,y=1,z=0,t=0
( -7.58598503487619249E-05 , -1.68813293412275512E-04 )
( -3.90271720245158928E-05 , -1.22496667341465380E-05 )
( -4.39752049200120961E-06 , 6.94430429460510723E-05 )
( -9.65375507314837335E-05 , -6.35809265177027401E-05 )
( -7.60560289525766422E-05 , -1.21545639258931505E-04 )
( 5.31165035705291995E-05 , 2.67168499821787976E-05 )
( -6.24173656223097673E-05 , -1.38932267567379176E-05 )
( 1.64117046016754359E-06 , 2.72316047405349353E-05 )
( 7.39796036984647850E-05 , 7.60838779101938111E-05 )
( -1.08124518334126024E-04 , -4.18340569352489514E-06 )
( 6.60091652675463499E-08 , 4.81412651954102742E-05 )
( -5.43154483354640612E-05 , -1.33950579380754693E-04 )
x=1,y=1,z=0,t=0
( 2.55869345437652725E-05 , 3.16439068727312528E-06 )
( -2.65933812130739736E-06 , 2.93443572864552150E-06 )
( 6.80576629713815310E-05 , 4.81149212479756036E-05 )
( 1.52450844694803001E-04 , 9.07866941760757606E-05 )
( 6.38396604313379507E-05 , 1.72579845465089095E-04 )
( -1.07474591500878098E-04 , -1.35190739907403032E-05 )
( -6.78369672664651583E-05 , -8.95211971791127988E-05 )
( 2.61533440489863035E-05 , 5.17425382082607890E-05 )
( 1.06006959048659364E-04 , 5.01499901252686837E-05 )
( 3.33566151235902719E-05 , -9.75915571125083692E-05 )
( 2.32302067478291834E-05 , 5.41808192300615007E-05 )
( 7.42878583183721080E-05 , -1.83078915743857437E-04 )
x=2,y=1,z=0,t=0
( 2.16005205244629861E-05 , -1.01110394673815425E-04 )
( 3.21920214361880156E-05 , -1.07921051408387447E-04 )
( -2.42227312374926893E-05 , 1.36651951899969225E-04 )
( -6.32458055041647477E-05 , -8.55034679580486651E-05 )
( 2.91540658576530160E-06 , 3.65990294005544666E-05 )
( -2.73914744720899735E-06 , -8.11050595480757974E-05 )
( -4.72705806588997871E-05 , -1.13935444808839507E-05 )
( 1.05961319331463843E-04 , 1.95204260023560744E-05 )
( 3.37259416672785160E-05 , -4.49670258731550910E-05 )
( -3.56930530508444099E-05 , 4.07161149418223169E-05 )
( 9.22190592665709862E-05 , 2.85811660049422919E-05 )
( 1.98856010556125860E-05 , -1.94991744953965448E-04 )
x=3,y=1,z=0,t=0
( -7.15470011688473789E-05 , 1.35515536705414411E-05 )
( 2.12569122735069480E-05 , 4.28501257105229626E-05 )
( 4.45368443747079658E-07 , -9.62977373430835387E-05 )
( -5.16781771204192179E-05 , -5.43367840268406047E-05 )
( -3.59027835565126926E-05 , -5.75662236741602591E-05 )
