x=0,y=0,z=0,t=0
( -1.26477409012667392E-05 , -8.49676772682543079E-07 )
( -8.62205447610037810E-06 , -7.15864755912529290E-07 )
( -3.47872392815791470E-05 , 7.76994228144845851E-06 )
( 3.22387097959873755E-06 , 5.13234763856912587E-06 )
( 4.51099906551151725E-07 , -6.76297139643399034E-06 )
( -4.31356056791222175E-06 , -2.05719813769788507E-05 )
( -2.07567817460002114E-05 , -1.37367647011466808E-05 )
( -1.83633883296344875E-05 , 2.89670712052207017E-06 )
( -4.10388096108867723E-06 , 1.54840768042400202E-05 )
( -1.22270884333623311E-05 , -5.10142442053166569E-06 )
( 5.10436536310155970E-06 , -3.79366489250299729E-07 )
( 7.93623728650477094E-06 , -3.80619210355785878E-06 )
x=1,y=0,z=0,t=0
( 3.11791494104574076E-06 , 1.93985461974418891E-05 )
( -6.04499747070974592E-06 , -2.41894157284959296E-07 )
( 3.01485617125418873E-05 , -6.23515167833959359E-06 )
( -1.16139469214370395E-05 , 3.68312370063042750E-06 )
( 3.18054412091019729E-06 , -3.92672999284004702E-07 )
( -6.30657682424743156E-06 , 3.00343110917097359E-06 )
( -6.71702981928091263E-06 , -8.78172890802501920E-07 )
( 7.30239045083376972E-06 , -1.61765002815958628E-05 )
( -7.97725810232433707E-06 , 1.23665372003792102E-05 )
( 1.33844200695019619E-05 , 5.78498302449088177E-06 )
( 2.54570592344903210E-06 , 2.90108981296386686E-05 )
( 9.70356316735711211E-06 , 5.74772101576558029E-06 )
x=2,y=0,z=0,t=0
( 1.09182228722406936E-05 , -6.96445093293672301E-06 )
( -1.33701941768825926E-06 , -1.67101571419658157E-05 )
( -1.97101117940908364E-05 , -3.71344232732308611E-06 )
( 7.80562449940575451E-06 , 1.76169830672099580E-05 )
( -7.23176179702589397E-06 , -3.94941212676778707E-06 )
( 7.29317460067356238E-06 , 1.66671618673935376E-05 )
( 1.04483225501587478E-05 , -1.25794005913983464E-05 )
( 1.41976069833908429E-05 , 1.10455279864110279E-06 )
( -2.08735624131467123E-05 , 8.56964699800949153E-06 )
( 2.68934989038085328E-05 , 1.90524515381337468E-05 )
( 2.23012473499940386E-05 , -1.52357950969941057E-05 )
( 7.73004025350869401E-06 , 5.18355939230477335E-06 )
x=3,y=0,z=0,t=0
( -1.84597893583040971E-05 , -1.99688762798124337E-05 )
( -1.28948114386381063E-05 , -1.13182552091674374E-05 )
( 1.41231647790968328E-06 , -1.31397273325458172E-05 )
( -2.98793780084116373E-05 , 1.09570504584835560E-05 )
( -1.42450809807427753E-05 , 8.03209611947973462E-06 )
( 1.03764899340912608E-05 , -3.59935971271941152E-06 )
( -5.57175489990269036E-06 , 4.44683845400211364E-06 )
( -2.42124216264158431E-05 , -1.64055916656307107E-05 )
( -5.31375645029380190E-06 , -7.65571652859347284E-06 )
( 1.65641244777238092E-05 , -2.16603185634586646E-06 )
( 6.88768425545159338E-06 , -7.79775566183779277E-07 )
( -5.09118726810753892E-06 , 1.27449699501523469E-05 )
x=0,y=1,z=0,t=0
( 2.01940108157524940E-06 , -2.54991945364550272E-07 )
( 7.65475820023710650E-06 , 2.52557936009295172E-05 )
( -2.01988783670361360E-06 , 2.34232424056084111E-06 )
( 1.44969990735001668E-05 , -7.39180032558041611E-06 )
( -3.63254537189832449E-06 , -1.46865098597712186E-05 )
( 8.43110522629440637E-06 , -1.06429981281357366E-05 )
( 5.47768040383988086E-06 , -3.96541211101358955E-06 )
( -3.05972068397741956E-06 , -2.09091763437341022E-07 )
( 4.94778935670528475E-06 , -1.39934156878925681E-05 )
( 1.60735069230292965E-05 , 1.12980474266735851E-05 )
( 2.96429530739516518E-06 , 2.11628407630511953E-05 )
( 2.50397502363778680E-06 , -1.28797555946685017E-05 )
x=1,y=1,z=0,t=0
( -2.09889290757580687E-05 , 3.21500313536182241E-05 )
( 4.12256673425972990E-06 , 3.49331313609846567E-05 )
( 1.51623159856653761E-06 , 6.51368561381859403E-06 )
( -3.47956274012100082E-06 , 1.42170871638166303E-05 )
( -1.45850726304356150E-05 , -9.61110705111856305E-06 )
( -1.92684335310846404E-05 , 8.97255791978803435E-06 )
( -2.82211990705041162E-05 , -5.56324025624781460E-06 )
( -1.31096552854599909E-05 , -5.36590159923056166E-06 )
( 2.94700017476022502E-05 , 5.89939244404670700E-06 )
( 1.03707356798893312E-05 , 1.01331682969502041E-05 )
( 1.34322095841235829E-05 , -1.25753455730719171E-05 )
( 7.68643601904740770E-06 , -5.50615322358034986E-06 )
x=2,y=1,z=0,t=0
( -4.64571618150429587E-07 , 5.87387738218778139E-06 )
( -2.89409346107582454E-06 , 3.90115666966663130E-06 )
( -1.85227512943267282E-05 , -1.51452240842671347E-05 )
( -2.21564152756081838E-07 , 3.98934918236069286E-06 )
( -1.44328546522431600E-05 , -1.59861619260111559E-05 )
( -2.39223115684804262E-05 , -2.29514662198732655E-05 )
( -1.40236912615361418E-05 , -5.13923961058211510E-06 )
( -5.22399250874578859E-06 , -1.85560130847988320E-05 )
( -9.45451906419727861E-06 , 1.84897351124560439E-05 )
( 2.92279949193395478E-06 , -1.07221047020516755E-05 )
( -1.48672901712317439E-05 , 5.25153356095724317E-06 )
( -1.17145484410086856E-05 , 8.38457426192544391E-07 )
x=3,y=1,z=0,t=0
( -5.98661043305242672E-06 , 1.44326052051030194E-05 )
( -9.58028687245801889E-06 , -1.94351924979493529E-06 )
