x=0,y=0,z=0,t=0
( -1.10796517203080522E-02 , 1.35028754233337631E-02 )
( -4.76515944682602208E-02 , -1.67711433270706645E-02 )
( -5.11417722549543027E-02 , 2.57147999541252163E-02 )
( 7.27615902048737717E-02 , 1.88230758214033636E-02 )
( 2.18664206342029342E-02 , 9.57204677420477566E-03 )
( 7.52571502479468246E-04 , 5.97028382434244553E-02 )
( -3.21582544740713072E-02 , 5.46315785223808401E-02 )
( -2.89612068006797965E-02 , 2.23500222376767817E-02 )
( 1.09279504565469116E-01 , -1.59889132431286010E-02 )
( -5.60464404028048063E-02 , -2.93927639498079013E-02 )
( 6.80762511494230615E-02 , -8.30678783439406654E-02 )
( 1.88490636403332058E-02 , -7.46278627369297842E-02 )
x=1,y=0,z=0,t=0
( -3.02846008507003661E-02 , 8.15016240357421297E-03 )
( -8.77387469438977163E-02 , -7.80208618033188285E-03 )
( -6.89939507164121918E-02 , 5.05692239210049702E-02 )
( -2.65246694168360733E-02 , -1.50177161143039417E-02 )
( 7.85960338311057771E-03 , 6.97928435580313922E-02 )
( -2.85342324502051679E-02 , 3.21105408197442585E-02 )
( 1.72089226991730196E-02 , 2.45513908389561747E-02 )
( -3.69076656257715172E-02 , 3.91738641927317013E-02 )
( -1.61446636390636528E-02 , 5.34377754031725993E-02 )
( -1.29408961260703975E-03 , 1.51453122732634407E-02 )
( 1.45702995755930376E-01 , 5.75933573838077958E-02 )
( -2.06866020111665418E-02 , 7.94924965549243488E-03 )
x=2,y=0,z=0,t=0
( 1.11493908134710218E-02 , -4.40287773283431355E-03 )
( -2.33467384105733380E-02 , -2.33567815782069546E-02 )
( -8.05977042781939879E-03 , 6.10889477468443826E-03 )
( -9.63434143273227822E-02 , -4.61079065918198194E-02 )
( -4.38721012074842834E-02 , -1.83543727393002502E-02 )
( 1.85220452206982036E-02 , -5.40491084983161021E-03 )
( 4.51644884562735077E-02 , -2.42716459467567890E-02 )
( 1.96028278296479647E-02 , 2.65515698522720625E-02 )
( 1.94720076599602387E-02 , 2.32090683643998777E-02 )
( -1.64920915357280769E-02 , -4.23377406571103787E-02 )
( -2.26327469253123463E-04 , -5.78928007815892320E-02 )
( -3.92784964448597354E-02 , 2.66935370645860932E-02 )
x=3,y=0,z=0,t=0
( 5.47240701063589352E-03 , 5.65341864917437292E-02 )
( -4.66379959692768825E-02 , -1.89258446402835803E-02 )
( -4.35884226700052058E-03 , -1.13026050285905504E-02 )
( -1.51179185571909160E-02 , -1.44335629928989736E-02 )
( -5.88075069723732833E-03 , -4.04241052196906148E-02 )
( 2.38261297360795252E-02 , 5.53251126574942353E-02 )
( -4.49317928521870691E-02 , -6.89061507235758097E-03 )
( -3.79816820076051345E-02 , -5.64489406894207804E-02 )
( -3.62874536143464876E-02 , 2.32659975906171108E-02 )
( 1.34112611932732922E-02 , 5.43802352831906227E-03 )
( 5.29723417865491097E-02 , 3.32572200593988510E-02 )
( -1.91344737247525071E-02 , 9.83271345884090264E-02 )
x=0,y=1,z=0,t=0
( -6.83015603073720418E-02 , 5.74697762153818376E-02 )
( -7.59038585839728192E-03 , -3.54621304085558364E-02 )
( -2.65019893917381628E-02 , -5.97118482488959712E-02 )
( 2.73502420666661278E-02 , 5.90619588924057581E-02 )
( -1.23848197557680367E-02 , 3.86550342076380504E-02 )
( -5.04096140780576490E-02 , -2.96382304934438151E-02 )
( 1.77090084040292736E-02 , -2.09142643270386515E-02 )
( -7.03776952663591054E-02 , 5.90947001778025713E-02 )
( -4.49882152891852849E-02 , -2.00502701473555256E-03 )
( -3.33105107468189970E-02 , 3.92632506461866593E-02 )
( 7.13096404771596526E-02 , 5.45238948547394839E-02 )
( -8.23989451714614851E-02 , 1.11380799495639018E-01 )
x=1,y=1,z=0,t=0
( 4.20273236451109353E-02 , 4.71192178409088822E-02 )
( 6.73388815635641291E-02 , 4.39051895302158823E-02 )
( 1.49413087179028736E-01 , 1.61734853761715570E-02 )
( -7.43816793611142002E-02 , 1.07452969242103138E-03 )
( -2.61985705490261969E-02 , -3.01415541620064543E-02 )
( 5.52222990978993439E-02 , 8.37069241893137195E-02 )
( 8.65360026088234091E-03 , -6.98863188119868035E-03 )
( -5.22698811392589766E-02 , 4.11044072692426377E-03 )
( 1.60344212483904507E-02 , -2.64623769698694132E-02 )
( -1.21850837416605171E-02 , -1.04632791627989104E-03 )
( -3.97050908199288871E-02 , -3.93846376882555083E-02 )
( -2.30629379734273096E-02 , -2.92314820753248120E-02 )
x=2,y=1,z=0,t=0
( -3.70288516298225567E-02 , 5.17094837912164540E-02 )
( -2.94985510085247378E-02 , -2.17759866184725932E-02 )
( 3.65965929920273290E-03 , -2.49647891223209392E-02 )
( -5.38964966744353846E-02 , -2.23767904638288197E-02 )
( 4.77278275290306392E-02 , -2.26661012299579495E-02 )
( -4.89678349711095418E-02 , -2.95228142389985931E-02 )
( 1.26945567782501267E-02 , 4.46931896305712284E-02 )
( 6.26704557091402742E-02 , -6.33555710161159275E-02 )
( -1.12485505183443746E-01 , 2.12145946877939683E-03 )
( 2.58422142486640638E-02 , 3.39862800770839996E-02 )
( -5.60418164561927654E-02 , -2.12263116758213653E-02 )
( 5.41150849227613751E-02 , 5.60319954001450293E-02 )
x=3,y=1,z=0,t=0
( 7.01764509461577368E-02 , -3.80388465326971098E-02 )
( -2.68946884181760562E-03 , 8.51414854050153505E-04 )
( -4.95843496876319442E-02 , 4.22607309337990761E-02 )
( -2.86744337734022477E-02 , -4.59550569799083986E-02 )
( -1.91265017667765283E-02 , 5.54221804230544332E-02 )
( -9.28471960280664865E-03 , -5.69694474048590346E-02 )
( -8.22054524180724500E-02 , -1.65069858842697564E-02 )
( 4.86152162822308248E-02 , -3.58231345211207294E-02 )
( -4.47561700111782021E-02 , -2.37121075852922414E-03 )
( -3.96535904934666172E-02 , -5.76442123262774359E-02 )
( -1.60745684667227967E-02 , -3.32104775289627785E-02 )
( -2.15749239861346837E-02 , 1.00900512409217609E-02 )
x=0,y=2,z=0,t=0
( -1.13157488893878538E-02 , 5.37033795898486377E-02 )
( -9.55358269014395384E-03 , -5.63290833182361703E-03 )
( -1.88727043594573429E-03 , -6.97584765636927590E-02 )
( 2.82101037211074587E-02 , -8.36958558560861043E-02 )
( 2.81486449604440025E-02 , 6.36641685157590537E-02 )
( 3.03042160859517511E-02 , 2.95701212165353187E-02 )
( 3.26653988671252796E-02 , -7.68571666854149516E-02 )
( -8.44722381551860496E-02 , 9.24965257366372473E-03 )
( 5.25976174226219610E-03 , -4.29550219479556961E-02 )
( 3.65799027284421374E-02 , 4.05641860865306979E-03 )
( -4.32406624624881442E-02 , 8.09278908026681704E-02 )
( -1.76390748909013538E-02 , 6.37562717128692391E-02 )
x=1,y=2,z=0,t=0
( -5.27967730327318224E-02 , -4.73216658177106481E-02 )
( 9.90951127468451057E-03 , 1.29985163957637706E-01 )
( 6.68019220406846775E-02 , -9.10293198819658173E-04 )
( 4.93418682068527195E-02 , -3.79541379294924472E-02 )
( -6.18953502001639150E-02 , 6.56875083527190817E-02 )
( 5.05919245177427479E-05 , -7.42324475359933816E-02 )
( 4.09376874002136473E-02 , -3.04559153016420898E-02 )
( -5.57716322107209284E-02 , -1.11995898856322822E-02 )
( 8.36708088665717581E-02 , 5.96128136061279679E-02 )
( 5.15505954229493121E-03 , -1.05448233968074810E-02 )
( -2.66049363435715003E-02 , -5.54852205120100681E-02 )
( 8.59917406737185919E-02 , 5.28839217910798340E-02 )
x=2,y=2,z=0,t=0
( 3.89848731015375732E-02 , -3.91377425536518636E-02 )
( 2.00198162896190329E-03 , 5.96308128415116850E-02 )
( -7.02385420601938232E-02 , 7.75676757867420075E-02 )
( 1.83238124265501026E-02 , -2.39479497488306881E-03 )
( 4.83999324710442519E-02 , -2.01314318645406110E-02 )
( -1.14072805051799314E-03 , -4.79403970248838615E-02 )
( -4.06343495406135714E-03 , 5.56416071155924272E-02 )
( 1.20046652464986230E-02 , 6.17958777501593226E-02 )
( -7.78230624583293312E-02 , -3.14277530205443884E-02 )
( 4.53280788090808760E-03 , 1.97046092088211840E-02 )
( -9.75828385809289905E-02 , -1.18753027069135424E-02 )
( 2.00937965824549356E-02 , -5.39945680098154260E-02 )
x=3,y=2,z=0,t=0
( 3.79258629212366333E-02 , -2.63319742126118320E-02 )
( -4.65441895950715612E-02 , 4.96906852497599055E-02 )
( -5.92792294414530296E-02 , -5.53979547418766843E-02 )
( -5.58710354734748976E-02 , 2.13942759721502326E-03 )
( -6.58892515701412981E-03 , -9.07944369650870581E-02 )
( -5.26898556518249662E-03 , 1.28678138110603114E-02 )
( -9.28359473977559066E-03 , -1.36893052588160681E-02 )
( -1.94839024604258337E-03 , 2.18380104740650421E-02 )
( -1.43063146192707949E-02 , -1.10386922206247046E-01 )
( -9.78631187771608207E-02 , 1.53403430828848181E-02 )
