index: 0
( -3.25443447592671659E-02 , 3.90179357858360665E-02 )
( -4.16723389435798286E-03 , -9.21637306265505468E-03 )
( 2.05126284639349718E-02 , 1.31267337603082901E-02 )
( -4.92317790599185387E-02 , 8.57047106169958051E-02 )
( 4.80395811913267023E-02 , 1.43680730007636759E-02 )
( 2.20311900020511361E-02 , -3.10512582358189355E-02 )
( -1.17690858726352075E-02 , -3.85805596261013049E-03 )
( -2.38925438346290799E-02 , -1.60505973190311693E-02 )
( 1.36683039969846959E-02 , -7.90317055398659027E-03 )
( -4.68232221334478685E-02 , -8.42611579103899784E-03 )
( -3.30769261602348041E-02 , -4.68869739617588065E-03 )
( -2.89182528180516561E-02 , -4.34852681222322110E-02 )
index: 1
( -4.51298774901808253E-02 , 1.12520073254209780E-02 )
( -3.10354042660918664E-02 , -3.39573109731626660E-02 )
( -1.78031234915984708E-02 , -1.49254337603282293E-02 )
( 2.93583540313062906E-02 , -5.64870194161997963E-02 )
( -1.32402883913435923E-02 , -1.15456419111891976E-02 )
( -4.90846461667198350E-02 , -2.77430454237465943E-02 )
( -2.17953674925501426E-02 , 1.80049476608325765E-02 )
( -1.85307071514994627E-02 , -2.55774689532304346E-02 )
( -4.08327982329743759E-03 , -1.92019423481274917E-02 )
( -1.82592938153435381E-03 , -1.66346277078198226E-02 )
( 3.73615573953890853E-03 , -4.71437085655775599E-03 )
( -8.10157067163081758E-03 , -3.72101111695482892E-02 )
index: 2
( 6.15019252786128037E-03 , 5.94206025862939816E-03 )
( 1.19098630747586573E-02 , -3.55938932358553298E-02 )
( 4.16696850262104138E-02 , 5.30146772186394846E-02 )
( 7.48169794887942191E-02 , 2.32769641211470063E-04 )
( -1.28730106853587670E-02 , -3.05120335583582564E-02 )
( 2.72704439204011530E-02 , -6.12405531562860376E-03 )
( 1.98377994598873258E-02 , -4.45730167309528677E-02 )
( -2.26989335239002783E-02 , -8.72502036904074414E-03 )
( 5.90047401271450236E-03 , -4.81760190065031388E-02 )
( 2.35319198603998123E-02 , 5.58927262633183569E-02 )
( -8.13959941604869633E-03 , 5.87719496438187609E-03 )
( -4.54102573269137832E-02 , -1.37378821577652573E-02 )
index: 3
( 4.77996272965592814E-02 , 5.03621534212759202E-03 )
( 1.85085719257940540E-02 , 4.57913096605244013E-02 )
( -1.21689431239733158E-03 , 3.13146626091082014E-02 )
( 4.69955057809122445E-03 , -1.34323837408495527E-02 )
( -3.95383350131675443E-02 , -1.45419208760878150E-02 )
( 9.79963123099453562E-03 , -4.45271473329842959E-02 )
( -6.64156144388791669E-02 , 5.85629624318502115E-04 )
( 7.02367625570056789E-03 , -1.31379610348267319E-02 )
( -3.36036321577878466E-02 , 3.31392851972268504E-02 )
( -4.33916417562034279E-02 , 2.42589999172009262E-02 )
( -1.84869347899372372E-02 , 5.96829773792192236E-03 )
( -2.81001108954928511E-02 , -4.98992244339790600E-02 )
index: 4
( 2.09392551334329317E-02 , -2.86967357352009983E-02 )
( 3.25158419736243307E-02 , -1.13718681691758125E-02 )
( -3.46660399825908863E-02 , -3.52207910505352023E-02 )
( -2.82127167187847076E-02 , -3.09415043767588445E-02 )
( -3.15339707719468759E-02 , 1.62325348986369355E-02 )
( 3.46125643057780610E-02 , 1.53742660879543080E-02 )
( 2.36737934535896227E-02 , -1.92445329391065408E-02 )
( 1.02463893832049156E-02 , -1.42415249605179015E-02 )
( 1.18806199392977891E-02 , 4.58249603788904100E-02 )
( -6.77926862613709505E-03 , -1.13991307415264934E-02 )
( -1.58944164462569010E-03 , 1.25453360514261834E-02 )
( -2.11443699174343538E-02 , 3.61758124342259138E-02 )
index: 5
( -4.44882744771933278E-02 , -3.20991480794818942E-02 )
( 2.10729192269278366E-02 , 1.88643388535516925E-02 )
( -1.56215274240811344E-02 , 1.62473830247722092E-02 )
( -1.48867170651092121E-02 , -1.60165363403490246E-02 )
( 1.93432984462899027E-03 , 1.86127126551990894E-02 )
( 5.13669335120806869E-02 , 2.00533940208036943E-02 )
( 3.20004486236229735E-02 , -2.45706764577525993E-03 )
( -4.88680479597643491E-02 , -8.32958471083813413E-03 )
( -1.80438664987869202E-02 , -9.87009810822627592E-03 )
( 2.94127782048176079E-02 , 1.53717895706189552E-02 )
( 1.58168396264255530E-02 , 3.43623253087823981E-03 )
( -1.58321770865417211E-02 , -3.39597764610480093E-02 )
index: 6
( 3.08790961126376422E-03 , 2.90578849353165178E-02 )
( -3.20699390754815572E-02 , 1.37480552179082456E-02 )
( -3.70549176005050621E-02 , -2.36639687585641738E-02 )
( -1.24003550737520583E-02 , -1.27331543338701624E-02 )
( -2.61579235509120829E-02 , 6.51120461041605758E-03 )
( 1.85005115338172689E-02 , 1.73383241070832680E-02 )
( 4.55898956251419019E-02 , 2.65004928188978285E-02 )
( 4.06360250428289098E-03 , -2.14684413327798675E-02 )
( 7.87498726957555802E-03 , -1.34565447623830638E-02 )
( -1.30268297790976373E-02 , -2.92919087929956155E-02 )
( 6.24572376165930757E-03 , -2.98655629747047076E-02 )
( -4.31186442782810660E-03 , -3.13674100482014967E-02 )
index: 7
( -4.73330997682056345E-03 , -1.56686062049073843E-05 )
( -1.93236251109135887E-03 , -4.50567642457743722E-02 )
( 5.22737078854418891E-02 , -6.70719270343393820E-02 )
( 4.91492709872270589E-02 , 5.84720040941280259E-04 )
( -3.52847498470216202E-03 , -2.75147165761065807E-02 )
( -6.17890369083777258E-02 , 2.59305960843929512E-02 )
( -9.20521076716718928E-03 , -2.35443993954682455E-02 )
( 4.69106033966227264E-03 , -6.07252344914413003E-02 )
( 1.45950381546719361E-02 , -2.51820627470743207E-02 )
( -4.55933464524938201E-02 , 2.85261990471065499E-02 )
( 5.81543474237790417E-02 , 2.04325696034944387E-03 )
( 3.84296836112882553E-02 , 8.98853892669739148E-03 )
index: 8
( -1.13547418249645288E-02 , 2.86851331796394993E-03 )
