index: 0
( -6.50224599640144000E-09 , -9.88754745394804151E-09 )
( 6.19346582943066684E-09 , 2.27294774752849877E-08 )
( 1.31819825420507732E-08 , 1.18711816013052125E-08 )
( 4.51891416488370451E-09 , -2.07022748988116581E-08 )
( 5.89065343426455725E-09 , 4.96152325838614838E-10 )
( 5.16008695949948109E-09 , -1.84341595231958858E-08 )
( 2.88717355400412149E-08 , -7.76673571933112435E-09 )
( 2.72428421287969584E-08 , -2.98699566721099975E-09 )
( 3.68489967341161363E-10 , -2.57717774729967461E-08 )
( 1.90877490151806614E-08 , 3.07876490307240371E-09 )
( 1.61099308922310034E-10 , -2.76040858852622813E-08 )
( -1.24011143671727267E-08 , 1.05931679648550230E-08 )
index: 1
( -1.06894774541127087E-08 , -3.21586493235243278E-08 )
( -3.89002285032038882E-09 , -2.21149754654618249E-08 )
( -5.23207034813554587E-09 , -1.34073960531005643E-08 )
( -6.75015657110964874E-09 , 5.53684916170614433E-09 )
( 1.91055602772382689E-08 , -9.61143518763337746E-09 )
( 3.99754243651974877E-09 , -2.75533599610329615E-08 )
( -3.18861806984777509E-08 , 7.45768579324615511E-09 )
( -1.26616880953364493E-09 , -9.70016738204017308E-09 )
( 1.09039676952997042E-08 , 1.71463441468635030E-08 )
( -9.70632545187874029E-09 , -1.65372795306300076E-08 )
( 4.78814494663448943E-09 , -2.39904217538854126E-08 )
( 2.08430477453559148E-08 , -4.06633181717481859E-09 )
index: 2
( -1.41730431833981322E-08 , -2.03494587274774624E-08 )
( -1.35267924516963176E-09 , 2.53142382343805353E-08 )
( 1.27751905642202743E-08 , 3.08329172039760940E-09 )
( -1.33525069773092237E-08 , 1.56517164105200093E-08 )
( -1.29170519880347985E-08 , -4.96394092840518040E-08 )
( 4.27025976069802159E-09 , 1.58229971173421289E-08 )
( -1.63131769129842710E-08 , 7.10352158334034836E-09 )
( 3.50342218451997882E-09 , 8.23701562575277407E-10 )
( -1.25391604993108499E-08 , -4.42599333985104289E-09 )
( 1.83981701204095004E-08 , 1.31104368328553293E-08 )
( -7.69712875232158898E-10 , 4.22496971839668464E-09 )
( 4.44245450558800470E-08 , -8.91637335508949768E-09 )
index: 3
( -4.56321338515887708E-09 , -5.60743026439741938E-09 )
( 2.57584106953919538E-08 , 5.20432303878164192E-09 )
( 3.10842139920903742E-09 , 1.05838206258510085E-08 )
( 6.04580132051205213E-10 , 2.42490420830907966E-08 )
( 7.62597743411367909E-10 , 4.46404106243677481E-09 )
( 4.07202593650676598E-09 , -5.10003937003146180E-09 )
( 7.75003091547027576E-09 , -3.19077240684601938E-09 )
( -1.56417189000647121E-08 , -8.18111149446171783E-09 )
( -2.64688766091923761E-09 , 1.19250540777986775E-08 )
( -1.29701732739596002E-08 , 1.50408928182430261E-09 )
( -1.89891174508060882E-08 , -2.24519986311905765E-09 )
( -1.37521046192265377E-08 , -1.10880563627984498E-08 )
index: 4
( 2.22218416821779764E-09 , -7.53663972914211153E-09 )
( 8.61036401909153954E-09 , -5.87316169779167441E-09 )
( -1.48085752303881282E-08 , 8.02667817446320701E-09 )
( -5.08763689373601420E-09 , 3.13059012088409866E-09 )
( -1.19549276260953433E-08 , -8.02244588028866369E-09 )
( 4.14703970675813270E-09 , 1.90028102767258728E-08 )
( -1.25367635348526652E-08 , 7.75578251801234447E-09 )
( -1.59245643012284331E-08 , 4.72275512826385497E-09 )
( -1.16228616583853042E-08 , 1.79078275456452359E-10 )
( -1.45560402041859915E-08 , 9.76709948689498847E-09 )
( -1.49860590160935515E-08 , -1.33418221155529485E-08 )
( 3.02503555517403743E-08 , -9.56745589086823406E-09 )
index: 5
( -3.36674206744835425E-08 , -4.66527183162571518E-09 )
( -1.33352405283333850E-08 , 1.58775459874708400E-08 )
( -1.79913170447425506E-08 , 1.99652251705086151E-08 )
( -2.07827082612245584E-08 , -1.80154028405348214E-09 )
( -2.24982184869217973E-08 , -8.82283835165175188E-09 )
( 2.10084361819820230E-08 , -5.59391171691625742E-09 )
( -2.11560446077231590E-08 , -1.85534926295237923E-08 )
( 2.08182988025532791E-08 , 6.00103326460273563E-09 )
( 5.48484261209879554E-09 , 7.89546496924673331E-09 )
( 3.19031682902912854E-08 , 4.42178381234844209E-09 )
( 1.42850251598581689E-08 , 2.65789386497188484E-08 )
( 3.32567638253575778E-08 , 7.63577035843501392E-09 )
index: 6
( -1.57504464350782437E-08 , -1.56657763084547348E-08 )
( 1.02638234301723311E-08 , 3.78010236262934327E-10 )
( -5.98640450489623726E-09 , 2.99185966395541906E-09 )
( -1.01297948108339413E-09 , 3.30935936109260207E-09 )
( -3.97102904354806248E-08 , -1.16557498888038424E-08 )
( 2.91718775112034041E-08 , -8.74456268700345348E-09 )
( 4.50620172054642995E-09 , -1.72265533638393885E-08 )
( 1.01819791660809906E-08 , 1.52724514769615866E-08 )
( -1.22600097269266795E-08 , -7.31549481032305049E-10 )
( 1.08965438474336069E-08 , 6.42117241657611756E-09 )
( 3.71923041571990571E-09 , -3.57585088932246117E-09 )
( 1.65532906767123323E-08 , -3.35078590704434465E-09 )
index: 7
( -6.44577676672147702E-09 , -1.23646702717438918E-08 )
( 6.44637441485581276E-09 , -3.04175207707482748E-09 )
( -1.22090535793377488E-08 , -1.08853704143128155E-08 )
( 1.55078730783316795E-08 , -2.22453223601768703E-09 )
( -5.64693891303957137E-09 , -1.43077542266024387E-08 )
( -1.15882259579503383E-08 , -4.43058086693407839E-10 )
( 7.81900816009580110E-10 , 2.03457750192453232E-08 )
( -4.94338406572518237E-09 , -6.41337400899857382E-09 )
( -6.40467568382488278E-09 , 3.37299393606544730E-10 )
( -1.58541007186465915E-08 , -1.77500893727567822E-08 )
( 4.67566972594932475E-09 , 8.60877315682146984E-09 )
( 6.97095295911612583E-09 , 9.79000564500619282E-09 )
index: 8
( 1.44956442664470334E-09 , 9.67542460726353861E-10 )
( -2.69675718516230048E-08 , 2.62895241142242421E-10 )
( -1.44858817943927049E-08 , 9.78745196410696435E-09 )
( -2.12979648283044648E-09 , -1.24217615138127338E-08 )
( 1.26629233058647231E-08 , -2.43458681476432849E-08 )
( -3.87554066455600916E-09 , 7.56083271515308222E-09 )
( -1.64834948110278975E-08 , 4.96347377416619159E-10 )
( 1.37232389022659040E-08 , -4.08860043982297882E-09 )
( 1.78628116940503119E-08 , -6.23045509070614078E-09 )
( 2.19445529713652162E-08 , -7.71323075122537965E-09 )
( -2.84674126672583156E-08 , 2.01564217229017012E-09 )
( -1.07021155894704136E-08 , 1.36529144357246162E-08 )
index: 9
( -3.80883867673889975E-09 , -1.09952314281182194E-08 )
( -8.34934634359502926E-09 , -1.64770443301698959E-08 )
( -5.36093911332808950E-09 , 1.03027734792923525E-08 )
( -2.84005904346506794E-09 , -4.18310596414159142E-09 )
( -4.73866855386182472E-09 , -1.32332020555680546E-08 )
( -1.26942545274426973E-08 , 1.50447485220905540E-08 )
( -3.62394010632433989E-09 , -6.17451241144661047E-09 )
( 5.20329892764260805E-09 , 6.51570612136013858E-09 )
( 6.52725169041996917E-09 , 3.13527245433009821E-08 )
( 4.91509509830958301E-09 , 1.73762165935174905E-08 )
( 5.64984605837358146E-09 , 6.26930325966501780E-09 )
( 3.00194863371034579E-08 , 7.34090641936959802E-09 )
index: 10
( -2.37214230234711046E-09 , 3.89614194221620929E-09 )
( 1.28695011425480666E-08 , 1.71511381510703413E-08 )
