index: 0
( 1.56195486100992291E-09 , -1.63732663300514432E-09 )
( -8.20643627857342076E-10 , 1.82220029327869954E-09 )
( -4.48820214967541612E-09 , 2.41224875647225737E-10 )
( 2.12481975059713551E-09 , 3.54327337691015788E-10 )
( -6.87216336011588723E-09 , -6.02648697413466135E-09 )
( -1.68493784024316801E-11 , -4.90543814015194828E-10 )
( 1.25796720961105071E-09 , 2.44189101516185712E-09 )
( -2.86308546752040469E-09 , -6.17864534961710856E-10 )
( -3.52527888024854133E-10 , -3.36634559627858474E-10 )
( 1.46658396630569601E-09 , 8.08227845064668593E-10 )
( 1.23677485247419870E-09 , 1.04146160250455455E-09 )
( -2.90642723900165170E-09 , 1.14293260283682905E-09 )
index: 1
( 3.67938059096019426E-09 , -2.17122138070509064E-09 )
( 3.55922587414807578E-09 , -3.21493002051278029E-09 )
( 2.78223055744262869E-09 , -3.28511402895294196E-09 )
( -7.03864053203321583E-10 , -5.94024350761573737E-10 )
( 2.06400844595765573E-09 , -1.62430325202165968E-09 )
( -7.35145359346865115E-11 , 1.68934713418062561E-09 )
( -1.80542713455452022E-09 , -6.22514648576889717E-10 )
( 6.64161898196865478E-10 , -6.64490367885114408E-09 )
( 5.81399968071820640E-09 , -4.39383973805448844E-09 )
( 1.76887118700699258E-09 , 8.68002891402458933E-10 )
( 2.04542763287820930E-09 , 1.76585771977056917E-09 )
( -1.15398627363579214E-09 , 3.21135492177681257E-09 )
index: 2
( -9.27640400654084422E-10 , -2.99969735995876610E-10 )
( -3.67719132397670376E-10 , -3.53199795029095662E-09 )
( 5.71979658624530638E-10 , -8.32216247358457124E-10 )
( -2.26622340018958019E-09 , -1.21051083188052643E-09 )
( 1.57478687151509918E-09 , -2.19818913046273134E-09 )
( 6.63942238533550879E-10 , -5.75540588010910505E-09 )
( 3.16297404674104439E-10 , -2.12412125326010686E-09 )
( 2.21809588967298212E-12 , -4.94767581838080430E-10 )
( 1.94047368102571500E-09 , -3.13188311472808926E-09 )
( 5.91550905812244097E-10 , -2.94675371754330875E-11 )
( -2.88245160620086827E-09 , 1.88294619245429842E-09 )
( -4.67719117053469916E-09 , 9.42612950125847284E-10 )
index: 3
( -1.08928703096707368E-09 , 1.12500896742212159E-09 )
( -1.70766592418719072E-09 , 1.64798505326394291E-09 )
( -2.72841831732995356E-09 , -8.91917807639746334E-10 )
( 2.32447038110288164E-10 , 1.32759109513055845E-09 )
( -3.33347339973452374E-09 , -9.38727181019412397E-10 )
( 7.60656668080706464E-10 , 1.00433606948138002E-11 )
( -1.53715494508910040E-09 , 2.22779551140476377E-09 )
( 5.15808418554473645E-10 , -1.23779042311358427E-09 )
( 3.80926923138888971E-09 , -4.16074033251265155E-09 )
( -2.75702107059436574E-09 , -1.47406905500706483E-09 )
( 3.43196928114882564E-10 , 4.59562767610012402E-09 )
( 1.20185104064475629E-09 , -6.51042774265517293E-10 )
index: 4
( 7.93682494841447201E-10 , 7.30590135647659299E-10 )
( 7.62684597809124999E-10 , -2.52835305098401778E-09 )
( 6.89272935594825562E-10 , -1.24980579508133443E-09 )
( -2.13942692573292894E-10 , 5.16096683690790064E-09 )
( 2.68230518043539773E-09 , 1.09638954896179945E-09 )
( 9.00063047983792372E-11 , -4.28899289304095493E-09 )
( 7.00684698968037750E-10 , -7.42769562038389766E-10 )
( -7.02848534221893011E-10 , 2.70051427217150008E-09 )
( 3.10269458721474985E-09 , -9.41557262065266502E-10 )
( -3.64979209890977835E-09 , -8.44673967373341363E-10 )
( -1.26582943783270857E-10 , -2.29449218036520582E-09 )
( -1.03101349031064972E-09 , 4.26201541424192214E-09 )
index: 5
( -5.97977649304843154E-09 , -1.93002241877979149E-09 )
( 9.68585382702095442E-11 , 2.30378735760023716E-10 )
( -1.72444828020923116E-09 , 4.28232791337794137E-10 )
( -2.25712489835150769E-09 , -2.26634622296605818E-09 )
( -2.99527958910977463E-09 , -1.90873309693072487E-09 )
( 4.42523649184331015E-09 , 1.53736230635069866E-09 )
( -3.57013171568930351E-09 , -1.98726350439040865E-09 )
( 1.93772616052489360E-09 , 2.66816396365775987E-09 )
( 4.70051958318648212E-09 , -1.02567711825354929E-09 )
( 3.47915769842666391E-09 , 3.19909523116701153E-09 )
( 1.37769498307489843E-09 , 1.93702294878464804E-09 )
( 1.61954645295979405E-09 , -1.87950487712682474E-09 )
index: 6
( 5.45721843593799227E-09 , 2.33934408477820828E-09 )
( 2.41894472280923591E-10 , 2.66420634773430300E-10 )
( -6.06709131495746570E-10 , 6.14912650281029357E-10 )
