index: 0
( 1.38146732219314095E-11 , 3.62611916346047413E-11 )
( 4.33236736483443812E-14 , 1.30473425961877127E-12 )
( -1.13676538716678957E-11 , -1.95151460801595886E-11 )
( 1.92173448939650209E-11 , 1.96699997523754041E-11 )
( 1.58311702766903206E-11 , -2.83587278845290199E-11 )
( 3.08204253754921635E-13 , 1.17849244953444025E-11 )
( -4.10949244755574782E-12 , 1.98154528758727648E-11 )
( 7.53689317150256528E-14 , -2.41309391349204119E-12 )
( -4.67830923266320722E-12 , 1.63837000738194681E-11 )
( -4.69749179644332394E-14 , 3.07210689793892521E-11 )
( -7.10484295469360287E-12 , -1.70914305161672478E-12 )
( 6.72186933752947228E-12 , -1.56950000991169077E-11 )
index: 1
( 2.39076396418979152E-12 , 1.30495719608582476E-11 )
( -1.04540642185706575E-11 , 6.65759455515928735E-12 )
( 1.46418402083090711E-11 , -7.43183429444283213E-12 )
( 9.33716350650260348E-12 , -4.18483597870091700E-12 )
( -1.29420884040222559E-11 , -8.94132546031849777E-12 )
( -6.48203470198858327E-13 , -2.45506866091782805E-12 )
( -9.18902610931572850E-12 , 2.01051930177916594E-12 )
( 6.21721155558775045E-12 , 1.44888417977956526E-12 )
( 6.27172245094593804E-12 , 4.41985397669911366E-12 )
( 9.56046532609657904E-13 , -7.83920713579936396E-12 )
( 2.71183902503653057E-11 , -9.77661256284400994E-12 )
( -2.06847165178500862E-12 , 8.53164396904709300E-12 )
index: 2
( -1.63356151798648801E-11 , 6.15380639916940681E-12 )
( 1.85390575962262407E-11 , 4.73523663480553590E-12 )
( 6.50060444489369547E-12 , 8.70414493530517331E-13 )
( 2.70808702649306214E-12 , 1.29980556792950788E-12 )
( -1.31497958891529266E-11 , -5.12846595805198686E-12 )
( -6.82597912223955639E-12 , -1.45569205554915184E-12 )
( -1.31080270654051473E-11 , 8.25892161802202334E-12 )
( 1.04022113022437285E-11 , -7.55659325065381567E-12 )
( 8.38711381402764626E-12 , -3.36634919219758457E-12 )
( 2.97826097936370573E-12 , 4.76661788759523132E-12 )
( 4.16614567459987147E-12 , 1.93428932257619747E-12 )
( 1.56748230444611580E-12 , 1.21864282629353729E-11 )
index: 3
( -3.61167223847709072E-12 , 3.79542065369432341E-11 )
( -3.93513418690460106E-11 , -1.73599432603669220E-13 )
( 5.38812907291522966E-12 , -3.42767748796384512E-11 )
( 2.61376911322752640E-11 , 5.07453044461070308E-12 )
( 1.28592501000259510E-11 , 1.53440913890239647E-11 )
( 5.14871179736814960E-12 , 1.14496702763034858E-11 )
( -5.32253590206240695E-12 , 5.23785728323575602E-12 )
( -5.75701773692028124E-12 , -1.27121077427801277E-11 )
( 1.59511376605931052E-12 , 7.58081031945075836E-12 )
( 1.92436831238909241E-11 , 2.17913495033045366E-12 )
( 2.53921443671230856E-13 , -9.14713771480213940E-12 )
( -2.20796334833833613E-11 , 4.88699471844919308E-12 )
index: 4
( 5.00866449066615007E-12 , -4.76333091209208422E-12 )
( -1.15745111409562809E-12 , 3.56316550582820098E-12 )
( -1.57602358273467230E-12 , 7.09393133337762971E-12 )
( -8.54707735623133094E-12 , -3.47555132848212425E-12 )
( 7.41149371641192218E-12 , 6.60698521938635086E-12 )
( -3.38005756948253997E-12 , -8.18173278009270597E-12 )
( 2.56047716889395668E-12 , -8.71366244467242780E-12 )
( 1.36541795157352855E-11 , -7.71163698253033960E-14 )
( -2.10796709039028325E-12 , 5.82255851267485392E-12 )
( -1.68809934462555577E-11 , 3.37882972975769640E-12 )
( 4.54221454421693950E-14 , -1.27621167089649530E-11 )
( -3.67285358280150113E-13 , 4.64611290138000700E-12 )
index: 5
( -1.80824562075924872E-11 , -3.46111750519820155E-12 )
( -1.24791615885160985E-12 , -1.33499798691216329E-11 )
( 6.20478622406721946E-12 , 6.17978783590498881E-12 )
( -9.77483062676086539E-12 , -7.81390123699104034E-13 )
( 1.33453743899961033E-11 , -1.35278961115080254E-11 )
( 1.09630235825464882E-12 , 3.05204136083287682E-12 )
( 4.64079374839222565E-12 , 6.10428866623179188E-12 )
( 1.30956343727596069E-11 , -9.11603169952312235E-12 )
( -1.66006127103872763E-11 , -6.91632711493574098E-12 )
( -1.14896479972155348E-12 , 2.91563527635489315E-12 )
( 9.34546488481706073E-12 , 1.19922573068933925E-12 )
( 1.27481689864334568E-11 , 3.33862025436470807E-12 )
index: 6
( 8.61793990809914941E-13 , 1.40938446398344603E-11 )
( 1.17388506496430394E-11 , 5.71981927065697921E-12 )
( 3.62603719541860501E-12 , -1.07000523650898863E-13 )
( -1.66291258245524891E-11 , -1.80210935073720411E-11 )
( 2.79954038647104199E-11 , -1.10378965653794578E-12 )
( -4.40480914397719255E-11 , 2.26327761557929060E-11 )
( -9.83047241361846854E-12 , 3.94969524393547213E-12 )
( 2.57024254452953151E-11 , -1.02534575962797867E-12 )
( 6.79866573818560925E-12 , 1.91700707562955203E-11 )
( 4.41803439408877794E-12 , 1.56076313082078977E-11 )
( -7.46809929319260654E-12 , 4.76001251574663813E-12 )
( 1.61529724955531310E-12 , 7.02082106264661996E-12 )
index: 7
( 1.68596820327844258E-11 , -9.02032759947054304E-12 )
( -7.37024503373521587E-12 , 2.86344137922676230E-11 )
( -9.98974491173798431E-12 , -1.95548135687702657E-12 )
( 1.51884604313028775E-11 , -1.49128896264337626E-11 )
( -4.95526480938963245E-11 , 2.51552837171792278E-11 )
( -3.20308822534220238E-12 , -9.24256389615903729E-12 )
( 1.55834552338056926E-11 , -1.36162252235721329E-11 )
( -7.48388790780095611E-12 , 5.48287750193798596E-12 )
( 2.49522434211107675E-12 , 9.90046579486122942E-12 )
( 3.80768857726630424E-11 , 8.76438816778924338E-12 )
( -8.00380749361654278E-12 , -7.54593924011812804E-12 )
( -2.84828129714868226E-11 , -2.55904722335165476E-11 )
index: 8
( -2.04108089210402199E-11 , -2.08689220065214413E-12 )
( -1.04893353559436739E-11 , -5.98953037604421984E-13 )
( -1.52621542482951828E-11 , 6.71662006159518613E-12 )
( 4.19280550651036339E-12 , 2.55005187510866889E-11 )
( -6.99118088535598684E-13 , -2.56250807772986713E-11 )
( 1.03545778746617208E-12 , -1.02299883073529712E-11 )
( -1.26419518652684601E-11 , -2.45456542187235730E-12 )
( 7.12043667889667540E-12 , -1.09624341123104780E-11 )
( -2.42608151683704980E-11 , -8.74868765233950488E-12 )
( -5.79085393269611220E-12 , 2.04226265707667690E-12 )
( 6.36778362434124821E-12 , 1.16679982004702212E-11 )
( 9.74549173733146932E-12 , -1.42342270919453397E-11 )
index: 9
( 9.45418100379513553E-12 , 1.19771822327998258E-13 )
( 3.45723386595394557E-12 , 1.48168333745543519E-11 )
( -9.96900171026494164E-13 , 1.92856763746232691E-12 )
( 5.56622321871531024E-12 , -6.08055168039184367E-12 )
( -8.79242455390686775E-12 , 8.67800678161194529E-12 )
( 1.23356796880330343E-11 , 1.14044686578185227E-13 )
( 6.15288140663644777E-12 , -4.23002363434945066E-12 )
( 5.64025962121399335E-13 , 4.62168145085602347E-12 )
( 5.87876980432931054E-12 , -3.58186406677015529E-12 )
( -3.64944444036113331E-12 , -1.78303270756001457E-11 )
( -3.51803770202940858E-12 , 1.56127730086858856E-12 )
( 4.14868853051297433E-12 , 8.05279542868101952E-12 )
index: 10
( -1.28175467263638970E-12 , -2.45260909954668793E-12 )
( 1.53213291649686523E-11 , -1.80493459413909277E-11 )
( -4.74949920787506705E-12 , -3.84426051831948532E-12 )
( -1.06071066998485041E-12 , -2.87417062861752579E-12 )
( 2.32283342390087454E-12 , 1.42299503981047493E-11 )
( -1.85385647709483571E-11 , 9.71208496889569828E-12 )
( 4.26342421886377877E-12 , -1.35198561521828762E-12 )
( -9.23637466869736116E-13 , -8.84389805033981613E-13 )
( -1.68896055536412259E-11 , 6.35640882065860890E-12 )
( 7.26861923422220246E-12 , -8.73769034944640766E-12 )
( -9.35971817976426325E-12 , -5.31063447077775120E-12 )
( 2.31575718153573962E-12 , 8.45497216665175955E-12 )
index: 11
( 3.36171726079835520E-11 , 5.71678140642391917E-12 )
( -1.64067609989626081E-11 , -3.42810573090362153E-12 )
( -1.26179614914132676E-11 , -2.46623026639551484E-12 )
( -4.68043550879993149E-12 , 2.88551489943272201E-11 )
( -7.84748901414657405E-12 , -8.24058448702595016E-12 )
( 4.51020307362472425E-12 , 2.26629872156212814E-11 )
( -1.01312494688177876E-11 , 5.15307028939825282E-12 )
( 4.05853897732770806E-12 , -3.49471603535847844E-11 )
( -4.23197555631844173E-11 , 2.74047928502580832E-12 )
( -2.48807614969113027E-12 , 4.65133513215985795E-12 )
( 7.46664061133320210E-12 , 1.99030334756747058E-11 )
( -1.32147834680885796E-12 , -4.12771348829025474E-12 )
index: 12
( 4.03194014389013296E-12 , 1.79715987854063424E-11 )
( 1.14390091313943522E-11 , -8.47541460741793153E-12 )
( 3.07573479741832549E-12 , -2.13301896453376096E-11 )
( 1.78692671483031753E-11 , -1.44059784093937549E-12 )
( 7.91220888923121231E-12 , -1.82601026171478099E-12 )
( -3.98327901075871231E-12 , 1.48794898265775473E-12 )
( -2.22611541600391081E-12 , -8.06115347192221303E-12 )
( -1.70307876685666632E-12 , -5.24732874994400103E-12 )
( 2.16309823918804651E-11 , -4.15315254536234463E-12 )
( -3.47126221929059177E-12 , -7.94487543328376930E-12 )
( -2.24668768774635397E-11 , -4.58846979626199264E-12 )
( 1.63945425388691164E-11 , -6.78290087932819893E-12 )
index: 13
( 7.46702400960721058E-12 , -1.47453346611905008E-11 )
( 3.28245969842141017E-12 , -1.49210726793364409E-11 )
( -1.11864549252706757E-11 , -9.91045925227442653E-12 )
( 6.39526661666003522E-12 , 6.27825494394206671E-12 )
( 5.56908191960132883E-12 , 1.20284964607219045E-11 )
( -9.61069914933002667E-12 , -1.59384724087374593E-12 )
( -1.18677138765148338E-11 , -1.10176106638041176E-11 )
( 1.13429923007601709E-11 , 1.36819914344440648E-11 )
( -5.88859374365032675E-12 , 1.42233184569305634E-11 )
( 2.67098405988439787E-12 , 8.32249111783973666E-12 )
( -5.24961653669512017E-12 , 1.20471408187529910E-11 )
( -1.19271647579701253E-12 , -1.25551177090038583E-11 )
index: 14
( -3.26760420902471207E-12 , 1.19039941366455657E-11 )
( -1.00976515596680070E-11 , 1.34307014992060029E-12 )
( -1.27787536828322295E-11 , 6.48561263394258636E-12 )
( -6.58053076038182599E-12 , 5.33095648948412288E-12 )
( 2.83558330340083948E-11 , 7.91298708505706355E-12 )
( 2.05858016805386672E-12 , -6.96210816625263920E-12 )
( 2.49371293985332517E-12 , 5.22347139187306575E-12 )
( 2.18161064851971603E-11 , -5.97150916469531532E-12 )
( -7.61319651549464577E-12 , 3.77707093948191012E-12 )
( -6.00768022404247850E-12 , 6.58701269758423130E-12 )
