index: 0
( 3.26534283739567890E-07 , 5.78907233872442621E-07 )
( -2.15842839883625175E-07 , -2.14363362943541519E-06 )
( -1.21772144415232709E-07 , -2.90481762924533104E-07 )
( 4.49493461583543435E-08 , 7.87529016411932017E-07 )
( 5.63989120227171001E-07 , 2.20598170296642779E-06 )
( -1.70213972103628177E-06 , 6.39394294818291447E-07 )
( -1.64832737048898442E-06 , -1.49550157159211436E-07 )
( -8.87649576291508964E-07 , 5.05773603281061469E-07 )
( 4.38237008199780858E-07 , 2.27860207347547293E-08 )
( -2.23367494439361584E-07 , 1.46162545804211356E-06 )
( 6.71321723314554534E-07 , 2.99418765238704403E-07 )
( 2.19421460149995105E-06 , 4.74887942302769371E-07 )
index: 1
( -7.07582270162466494E-07 , 2.90502948807394890E-07 )
( 1.39011241194446107E-06 , 8.79941836249193883E-07 )
( 2.39602292549500866E-06 , -6.81526024110241462E-07 )
( -6.70236912299104506E-07 , 1.24806799287376181E-06 )
( 7.23375212768225748E-07 , -3.05369894077694971E-07 )
( -3.57620398562075986E-07 , -3.95468415854447345E-07 )
( -1.92188608122009472E-06 , 3.70818121180639617E-07 )
( -1.11518423982977850E-06 , 7.59622684868746972E-07 )
( 2.72424740589028977E-07 , 2.05536166190245981E-06 )
( -5.62638642333608702E-07 , 1.50485196313459873E-06 )
( 1.02222564397399608E-06 , 1.03091698671068705E-06 )
( -4.28005617847109513E-07 , -1.31446500097076684E-07 )
index: 2
( -1.40851128559601103E-06 , 4.80259451179194751E-08 )
( 1.17210699158926835E-06 , -5.53512888062484170E-07 )
( -3.80364306360154388E-07 , -7.82324214288347135E-07 )
( 1.78932064610847411E-06 , 1.19871720647182213E-06 )
( 7.30701749506083277E-07 , -1.13851057630731861E-06 )
( 1.40654986356703534E-07 , -1.51765986017706331E-06 )
( -7.79267076300706328E-07 , -2.86824646595460233E-07 )
( 9.88555223990307765E-07 , 1.02525280852854059E-08 )
( -1.66484656574470752E-06 , 2.93917406944052830E-07 )
( 7.12450263299339807E-07 , -1.56083583534591790E-06 )
( 4.82615429987250998E-07 , -5.29738163976951745E-07 )
( 7.35979002547972596E-07 , 7.55248499251768524E-07 )
index: 3
( 1.23543988380331758E-06 , -4.74161795674401656E-07 )
( 5.21368398221415923E-07 , 1.27212688071288300E-06 )
( 1.27972588230333296E-06 , 4.59334440336998818E-07 )
( -8.12904286578594405E-07 , -2.60466648053093230E-06 )
( 1.02565122477423414E-06 , -1.21847041752280717E-06 )
( -2.43576389570360532E-07 , 5.84958461477218251E-08 )
( -3.00216001729102691E-07 , -8.48044803756680546E-07 )
( -2.41723024233961842E-06 , 5.53152658564261010E-07 )
( 3.29881327056978460E-07 , -5.06748679878772576E-08 )
( 2.39407761633141222E-07 , 5.30179731756952559E-07 )
( 5.73051407028805137E-08 , -9.21819490567121574E-07 )
( 1.57717347290547253E-07 , 1.60061332227071916E-06 )
index: 4
( 1.19990204829730852E-06 , -5.81142977547770675E-07 )
( -9.56329204892738963E-07 , -8.06338930057617711E-08 )
( -1.01422807262684688E-06 , 2.48277550234557127E-06 )
( 4.33565235756240290E-07 , -2.35489394217680578E-06 )
( -3.60032380799930589E-07 , -6.03093046180194369E-07 )
( -7.74154872479640796E-08 , 9.89874301511335467E-07 )
( 1.95250296342949843E-07 , -2.64214410718142608E-07 )
( -1.39328261548827045E-06 , -3.11099910648884694E-07 )
( -3.38704893007704291E-07 , -3.82012805264551552E-07 )
( 1.69248280646285161E-06 , 1.34014277057921746E-06 )
( 1.69961227622615765E-06 , 1.47388995975075503E-06 )
( 1.05098853483419541E-06 , 1.28211400080622876E-07 )
index: 5
( 5.43666185973314153E-07 , 1.87796635041221766E-06 )
( -3.97253603690709027E-07 , 5.47895682627585434E-07 )
( -1.28701606392729192E-06 , 3.49423819000966145E-07 )
( 6.86011559118669929E-07 , -3.93792494934691145E-08 )
( -2.63627556498335014E-07 , 1.00726793601032281E-07 )
( 8.72951876430347021E-08 , 5.48803492453033566E-08 )
( 1.64873437818860202E-07 , 2.17583695895334660E-07 )
( -2.46428577917181189E-07 , 1.70395372321476252E-07 )
( -1.20103471108615050E-06 , -4.48032765040910997E-07 )
( 4.26934723685870905E-07 , 6.88651028310260425E-07 )
( -1.06909465417837407E-06 , 9.75116813859971474E-07 )
( -1.19522044846593595E-06 , 4.44190666203768429E-07 )
index: 6
( 2.15969385735058260E-06 , -8.69930192421933227E-07 )
( -1.86844022373477872E-07 , 1.64159098980800962E-07 )
( 1.78973905847317919E-07 , -6.62152844627633868E-07 )
( -6.94157414729197912E-07 , 5.03910849785696565E-07 )
( -1.18740817429545320E-06 , -3.68342975638498220E-07 )
( 5.98457369721378904E-07 , -1.97836504603322828E-07 )
( 1.39540148274675472E-06 , 2.46918965285210345E-06 )
( -2.36599690746947350E-07 , 8.64018438945283557E-08 )
( 1.11570063521282872E-06 , 7.07517270683604579E-07 )
( -4.17583289935914527E-09 , -3.54598216434787676E-08 )
( -1.92463558309735180E-07 , 1.77780344512300639E-06 )
( -4.39701922716669690E-07 , 7.65613254093984271E-08 )
index: 7
( -9.56061290905629013E-07 , 1.48155245341302929E-06 )
( 1.03876286208654419E-07 , -1.76276136062477097E-06 )
( -3.22184161635463278E-07 , 9.54144830899682071E-07 )
( -1.19480794902921111E-07 , 6.53346905642884196E-07 )
( -8.60812832689700011E-07 , 1.24914805024256340E-06 )
( -4.61141038815593750E-08 , 6.42976554302150944E-07 )
( 6.62157479958557125E-07 , 2.88606252159845597E-07 )
( 2.75043123209052767E-07 , -8.41309219090470299E-07 )
( 7.25242393970821095E-07 , 7.75210199864359481E-08 )
( -1.54480500079377209E-07 , 2.94466274794320339E-07 )
( 1.07884962194147188E-06 , 1.36519633806195127E-06 )
( 1.68848772470846212E-06 , -2.54554953631355416E-07 )
index: 8
( 1.00758352041709410E-06 , -4.48220286458172302E-07 )
( -1.00814642576740750E-06 , 3.88619920566059647E-07 )
( -1.10035501546039932E-07 , 2.68101587216052229E-07 )
( 6.83970446933106297E-07 , 4.62052313067459727E-07 )
( 7.33177829826519468E-07 , 1.25122946917089233E-06 )
( -4.36342587057269554E-08 , 1.69364276566581722E-06 )
( -6.42889956720901067E-08 , -6.84900730842335408E-07 )
( 6.38956488798872842E-07 , 4.27382772810916630E-07 )
( 7.59103952945773805E-07 , 7.57613159205590398E-07 )
( -1.27090267877442312E-06 , -1.05318722121552250E-06 )
( 7.89694007661307212E-07 , 3.43428806506274301E-07 )
( -2.71300488033751640E-07 , -7.33214520847242982E-07 )
index: 9
( 1.00448371831909350E-06 , -4.41244958237588862E-07 )
( 5.41114426984778101E-07 , -1.50802851932209933E-06 )
( -1.65133577238607098E-06 , 1.68265669394903893E-06 )
( 6.85101431889809186E-07 , 2.25421945918963280E-07 )
( 7.11301136337217860E-07 , -6.72474895934975939E-07 )
( 8.79804812248047791E-07 , -8.16703078349316701E-08 )
( -4.81516433927052750E-08 , 5.84372599640498034E-08 )
( 4.70072638109248206E-07 , -5.01695415280838846E-07 )
( -1.09337984209840122E-06 , -1.31630598809045562E-06 )
( 8.76791799369196482E-08 , -9.72132795991459302E-07 )
( -4.78883419369592740E-07 , 6.49654141324045249E-07 )
( -5.16176687818833586E-07 , 2.44846091904781347E-06 )
index: 10
( -1.18355789525413935E-06 , -6.20156619937416319E-07 )
( -5.98547163913937064E-08 , 1.43146669073679442E-06 )
( 1.96590392530737623E-06 , 1.64727978596905707E-06 )
( 1.44141452541997476E-06 , -2.00557952512453339E-06 )
( -9.59883973536800462E-07 , -6.15351657590089463E-07 )
( 7.54109627258486706E-07 , 6.17051084808785596E-07 )
( 2.10653301385818528E-06 , 2.31055425262691155E-06 )
( -9.87689515240505330E-08 , 9.62483745052094544E-07 )
( 8.58041233734673655E-07 , -2.63953792614543686E-06 )
( -8.97162993915855194E-07 , -8.26515301655235856E-07 )
( -9.53984151905595634E-07 , 3.68627501899944083E-06 )
( -1.71319834755886090E-06 , 8.99994917737076156E-07 )
index: 11
( -1.18824939235086469E-06 , -1.16072387231539393E-06 )
( -1.23680249241806825E-06 , -7.32638841550040490E-07 )
( -9.06154561337902432E-07 , -6.78322423651187128E-08 )
( -5.04168995983177137E-07 , 1.84941279164227613E-07 )
( 7.55459705160125496E-07 , -7.49410494084605599E-07 )
( 4.41501142478391334E-07 , 8.92156056442830681E-07 )
( 2.06325305643483979E-06 , -1.30115935519527156E-06 )
( -1.40643726272962619E-06 , 1.06210391411554315E-07 )
( -1.50112884642615471E-06 , -1.15058611768787332E-06 )
( -3.90508806883283288E-07 , 9.56006075955936131E-07 )
( 5.03911454595988685E-07 , -2.97870459881294486E-06 )
( 3.01964510824051925E-07 , -6.17274851001668168E-07 )
index: 12
( 2.28110412561931247E-07 , 1.29832950169503934E-06 )
( 2.40303295766813887E-07 , -1.13944249505824467E-06 )
( -2.89053009076956352E-07 , -2.29188374569943474E-06 )
( -6.45917706417651081E-07 , 8.89776032468348256E-07 )
( -8.56337612202755571E-07 , -1.61036836187368163E-06 )
( 4.18070446138556393E-07 , 4.57106054865463935E-08 )
( -1.09091551332302073E-06 , 6.67191904285357147E-07 )
( -1.70577719464380042E-06 , 1.14669884650849062E-06 )
( -2.94180180542861056E-07 , -4.38060711496387543E-07 )
( 4.77414377919952141E-07 , 8.79166189897330237E-07 )
( -9.48716173584467162E-07 , -8.90745089756532643E-07 )
( -1.45279343966523290E-07 , 9.14635741221778265E-08 )
index: 13
( -5.29838432570941143E-07 , 2.54024852187838416E-07 )
( 4.05511555297849460E-07 , -2.07236830131608427E-06 )
( -1.02972562777208087E-06 , 1.66548378154419571E-07 )
( 7.51373162719401142E-08 , 5.04647181611321731E-07 )
( -4.90210159733958801E-07 , 1.60667618169229305E-06 )
( 4.45440414685241359E-07 , -1.04610706044338195E-06 )
( 5.87196438597345488E-07 , -1.02091097189140956E-06 )
( -1.26756282946026552E-06 , -6.19706528997330619E-07 )
( -1.81256812303598948E-08 , -2.39893690388009069E-07 )
( 1.41525905834483998E-06 , 1.22011168362424264E-06 )
( -8.28499167697325204E-07 , -5.52901939393598609E-07 )
( -9.54709254613723490E-07 , 3.72270258919763346E-08 )
index: 14
( 1.25805474740201002E-07 , -1.63478925876742095E-07 )
