index: 0
( -2.84750588679675457E-08 , -2.94772102177827090E-07 )
( 1.73890266561812856E-07 , -3.55403783241748157E-07 )
( 1.84684405099772356E-07 , -1.03381323127341671E-06 )
( -3.18294253853196855E-07 , -5.74434843649347774E-08 )
( 2.95551768642530531E-07 , -3.41427403201771093E-07 )
( -4.36415660393555455E-07 , -1.25607300235692024E-07 )
( -5.56209439946937842E-07 , 2.31154089870822514E-07 )
( 8.31429652378623075E-08 , 4.44425505968850119E-07 )
( -2.80763950220546961E-07 , -6.24286920001514162E-07 )
( -5.28993018154032746E-07 , 1.06359193432082139E-07 )
( -2.56126698278515806E-07 , 2.85346927441903991E-07 )
( 2.00312578443609478E-07 , 1.03627757743978206E-07 )
index: 1
( -5.93780393876455758E-07 , -1.14098422225163793E-07 )
( 3.53455912741423857E-07 , -6.21855319070916508E-08 )
( -3.06999649828438543E-07 , -5.04874349648104977E-07 )
( 1.00619098214067619E-06 , 4.47626570025310288E-07 )
( 4.61416765906076626E-07 , 7.05571196950918873E-07 )
( 3.24016902820954388E-07 , 5.91072688234553132E-07 )
( -4.77877895252239082E-07 , 4.08703268062159298E-07 )
( 7.62706986489075398E-07 , 1.08650538278774777E-06 )
( 1.66023741286307531E-08 , -1.82113189301328379E-07 )
( -8.33236295007310499E-07 , 6.40178423580287769E-07 )
( -2.88922646005606179E-07 , -3.41074086869842931E-07 )
( 1.09010828631253688E-06 , -1.98333726178666320E-07 )
index: 2
( -1.29448279374461248E-06 , -1.59882763906000036E-07 )
( -9.44627532443190670E-07 , 4.20754450031613389E-07 )
( -2.52431004588502326E-07 , -2.39464570466691446E-07 )
( 3.33071576844371838E-07 , -4.46016933562917091E-07 )
( -4.70096144625690476E-07 , -4.77647751771976498E-07 )
( -7.93466096471031684E-09 , 1.36171935631687199E-06 )
( 9.85190301637716471E-07 , 3.88694868935186311E-07 )
( 2.20983067985099919E-08 , -6.44551422659473179E-08 )
( -8.50249359867234615E-08 , -1.46773246515505412E-06 )
( 7.26035250949015379E-07 , 6.62054421849701868E-07 )
( -7.61957243286883792E-07 , 6.88634054410330852E-07 )
( -2.88108541374679312E-07 , -9.14318975651525023E-07 )
index: 3
( 3.68790730355678779E-07 , -1.77834397699274204E-07 )
( -7.17296681778975890E-07 , -7.26891242409998647E-07 )
( 9.05410581528866510E-07 , 2.15331419368607479E-07 )
( -2.99883922518720855E-08 , -1.24536878749641079E-07 )
( 2.77328025106951771E-07 , -2.27357122124760788E-07 )
( -1.47952120372634973E-06 , -7.64020045927256059E-07 )
( -6.34207686161550289E-07 , -4.92824580816016062E-07 )
( -3.35009857375838939E-07 , -2.84250355498487662E-07 )
( -7.15663875180292040E-07 , -1.07707557177431118E-06 )
( 6.16935448312987802E-07 , 5.92254612968496334E-07 )
( -2.50316474925311446E-07 , 7.17741242260606864E-07 )
( -2.31589975807049061E-07 , -2.45527147442389138E-07 )
index: 4
( 5.98222168762953805E-07 , 1.32275607836488843E-06 )
( 4.56668883260660940E-07 , 7.35753501508152431E-08 )
( 3.47797482018745318E-07 , -6.08920452158367501E-07 )
( 1.22613574770152589E-07 , -9.54796558138815314E-07 )
( 9.64133299495013037E-07 , 3.94140577911481656E-07 )
( 1.07767009355752122E-06 , -9.32579279573871263E-08 )
( -9.19775048275212312E-08 , -2.55378705982827696E-07 )
( -9.39653223342553377E-07 , 5.57815662325555672E-07 )
( -3.70997637532920180E-07 , 5.68378978492428014E-07 )
( -9.36180402176759350E-07 , -1.20321418308381716E-06 )
( 7.77337768296850056E-07 , -2.65875023149606342E-07 )
( -4.09651618620461492E-07 , -4.98308209713826939E-07 )
index: 5
( 1.55474682913353184E-07 , -1.02366695612878588E-06 )
( 1.18436877166412672E-06 , 2.36808129840870574E-07 )
( 1.88603534214751112E-07 , 1.31800003964968883E-06 )
( 2.87368286622548875E-07 , 4.79531511834787374E-07 )
( 8.81552552648771964E-07 , 6.09711379936422450E-08 )
( -4.08283016039549010E-07 , -6.69818927581673483E-07 )
( 4.88590707282100862E-07 , -7.07948884439335672E-07 )
( -8.06042918293023458E-08 , 6.49460681474795189E-07 )
( -5.86815507046608799E-07 , -4.50744422423887869E-08 )
( -9.13348459057265070E-07 , -2.00080003816917313E-07 )
( 3.06842130079752080E-07 , 1.05585145526626555E-06 )
( -2.73358799555388007E-07 , 3.70760265425390720E-07 )
index: 6
( 3.21999729299469790E-07 , 1.01711149505172561E-06 )
( 8.91034943645011397E-08 , -7.49472796119845294E-08 )
( 2.09890651725252917E-07 , -2.41934332691283270E-08 )
( 8.64215996704173985E-07 , 4.98012362579374972E-07 )
( 1.05947349178872220E-07 , 8.74627760970161645E-07 )
( 2.95517843539093324E-07 , 4.26513382942403045E-09 )
( -3.97033316477774771E-08 , -1.27334244596013627E-07 )
( -6.05649054537485534E-07 , 5.93452043525863051E-07 )
( -7.69341225007884529E-07 , 9.54547447754692788E-08 )
( 8.60586972551989196E-08 , -1.12238791465143635E-06 )
( 4.17726092198043113E-07 , 4.36082431449313764E-07 )
( -4.68367430727332791E-07 , -1.00675509100407473E-06 )
index: 7
( -1.27174134130425167E-06 , 1.22245103096812581E-06 )
( -1.39197836192203542E-07 , -4.67740412267430368E-07 )
( 2.66253711257860871E-07 , 3.59865521956342560E-07 )
( 4.37287062049133526E-07 , 4.58774290922128634E-07 )
( -2.18980933614213569E-08 , 3.76397454468426357E-08 )
( -2.79976709781628103E-07 , 5.61519969996020175E-07 )
( -5.08383986192914093E-07 , 6.85321114999429596E-07 )
( -4.18327400337402187E-08 , -6.54604528653979699E-07 )
( 5.52177414108655059E-07 , 3.54907830419905423E-07 )
( -3.44599122918663923E-07 , 1.03724759110133092E-06 )
( 4.75565139242226871E-07 , -4.95613596673063124E-07 )
( 5.58085724130845511E-07 , 2.63231254592560061E-07 )
index: 8
( 1.96376085831480789E-07 , 7.43703913478519487E-07 )
( -1.00676332197037818E-07 , -5.82357065136129976E-07 )
( -4.56669537821312514E-07 , -3.49463407244132397E-07 )
( -8.87305628236925219E-07 , 3.14287861024703677E-07 )
( -3.27463522292792039E-07 , 3.09334307073524668E-07 )
( -3.22221198119046418E-09 , 2.50445995269240063E-07 )
( 9.12507962168911262E-08 , -6.22943694643314216E-07 )
( 7.70463247609629998E-07 , 1.05042122097729416E-06 )
( -1.00607149533347881E-07 , -2.18833889362357552E-07 )
( -1.13180658560682708E-06 , 1.37679319793396085E-07 )
( -1.54451859015725514E-07 , 8.46325567406020209E-07 )
( 1.90274039333054900E-07 , 7.32905660356374921E-07 )
index: 9
( -4.46966921160234797E-07 , 2.35020935194501952E-07 )
( 6.85003782076606256E-07 , -2.53438615700789721E-08 )
( -1.35085338904141680E-06 , -5.14600560651224376E-08 )
( 2.63353375515896110E-07 , -8.54755769522102443E-07 )
( -2.82297423257559216E-07 , -7.59307968406014525E-07 )
( -5.57181952359627006E-07 , 2.55020412705661642E-07 )
( -4.74082016700792155E-07 , 6.33532112004899841E-07 )
( 5.08890313993347642E-07 , -7.62048885788506309E-07 )
( -2.59332843654446054E-07 , -3.86553802108862955E-08 )
( -1.04949659121817688E-07 , 7.76055063703681952E-07 )
( 1.03947664324191456E-07 , -2.20867222863982262E-08 )
( 4.78397950073670397E-07 , -9.52249471517784419E-07 )
index: 10
( -8.21711749869516228E-07 , 5.94403594949023221E-07 )
( 7.98716555796632467E-07 , -4.63955771033549379E-07 )
( -1.70117444784773097E-08 , -1.30802100739812633E-06 )
( 1.41157803347115954E-06 , 1.13419798192497720E-06 )
( 1.91301630869315799E-06 , 6.98316718595195257E-07 )
( 1.74830463746102271E-09 , -1.12036701228431792E-06 )
( 2.49968135852960132E-07 , -3.18537441358424718E-08 )
( 4.30787969654642489E-07 , -1.62729753371965393E-07 )
( -9.51098145482027850E-07 , 1.43851826650655943E-06 )
( -1.29994271207679833E-06 , 6.53964659208532974E-07 )
( -4.71367585029515809E-07 , -1.10873289098041835E-06 )
( -7.51583158302701231E-07 , -4.82000613575962077E-07 )
index: 11
( 3.02947149424473757E-07 , -1.62438298348411899E-07 )
( 7.39031563986500601E-07 , -5.09066793381546473E-07 )
( -2.30098868317391344E-08 , 5.13898796787385459E-07 )
( -1.23952336148428917E-07 , -6.51041543996018231E-07 )
( -3.17843399903715691E-07 , 1.28015374972510158E-06 )
( 7.81393753520749549E-07 , 3.95713177189790462E-07 )
( 8.53723476476571660E-07 , 3.53705117624820766E-07 )
( 2.01437292490174638E-07 , -2.46817546859789926E-08 )
( 8.73623879330161901E-07 , 3.82381426395698957E-07 )
( 5.71131203136347452E-07 , 6.04348331459305696E-07 )
( 5.65096256186189246E-07 , -7.56000827893621217E-08 )
( -5.20615060493926868E-07 , -3.72810304909262610E-07 )
index: 12
( -3.02995983474439181E-07 , 1.41756196477724450E-07 )
( 6.63685433812197750E-07 , 5.11590963416135259E-07 )
( 3.68290549743612822E-07 , -2.70032635656081512E-07 )
( -4.29262090644288390E-07 , -1.99304278632432702E-07 )
( 9.67613326651581062E-07 , 5.27482663245183356E-07 )
( 7.18766752846226036E-07 , 4.29154922817152234E-07 )
( 6.67048407863305376E-07 , 6.13460763256705197E-07 )
( -1.30141841226803068E-06 , 2.04306967230274023E-07 )
( -4.46876804926622323E-07 , -1.65411253393854534E-07 )
( -1.07284287043334989E-06 , -6.38961867380376445E-07 )
( 5.32142228082092562E-07 , 6.39972505617153089E-07 )
( 4.50107401274424375E-07 , 1.24054887634000530E-07 )
index: 13
( 5.29116663260047937E-08 , -3.21076335021097374E-07 )
( -3.16516503178224307E-09 , -8.80214110557385582E-07 )
( -8.02596170489596191E-07 , -5.84324858170295472E-07 )
( -4.29348312502457279E-07 , -1.34625251971217890E-08 )
( 1.70902520945020768E-06 , 1.28740104673752507E-06 )
( -1.70127362539094452E-07 , 1.28899583370478466E-07 )
( -5.25573826201561041E-07 , 1.44176664295271748E-08 )
( 6.06967177453803743E-07 , 7.76049044310558162E-08 )
( 1.03846036147222509E-06 , 5.87785859232335484E-07 )
( -9.37878816673171571E-07 , 2.30879752693774419E-07 )
( -8.77359245638383881E-10 , -1.13035092658919811E-06 )
( -3.26702257900883400E-07 , 8.64251222190270241E-08 )
index: 14
( -4.55097525419275711E-07 , 6.02131848588134825E-07 )
