index: 0
( -1.22649264433326657E-07 , 1.74016869255634746E-08 )
( -1.39074790856791189E-07 , -7.82026337558598769E-08 )
( -3.70151196716570908E-08 , -9.43589695956017367E-08 )
( -6.93186035702473056E-08 , -1.61747733527754794E-09 )
( 7.67599941549517987E-08 , 1.98085807446336526E-08 )
( 1.09698911722696997E-07 , -9.59710052638108445E-08 )
( -3.51181083879526888E-08 , 4.00869129312263202E-08 )
( 4.76781436066939405E-08 , 9.47475394283887571E-08 )
( 2.79508528946811999E-08 , -2.58854087086142583E-08 )
( 3.56882984498299135E-08 , -9.68030501788332251E-08 )
( 4.32327935663379721E-08 , -2.43022758831701982E-08 )
( 5.72005872933659913E-08 , -9.72607992584624410E-08 )
index: 1
( 7.68476944565075361E-08 , -3.06857737716787900E-08 )
( -4.23086110566358756E-08 , -8.40740341706096871E-08 )
( 1.33809605579392507E-07 , -5.81530414919753650E-08 )
( 6.97102173174747248E-08 , -1.44318459676506825E-07 )
( 8.23193616989315890E-08 , -3.05983647411447669E-08 )
( -1.17839426691644856E-07 , -5.57286564026746507E-08 )
( 1.20681506785970610E-07 , -1.01046949416690306E-07 )
( -8.35618290887665837E-08 , 6.11875233671713608E-08 )
( -4.55777502969340164E-08 , -2.37350831936581126E-08 )
( -5.22311794331715181E-08 , 5.25838974549293603E-09 )
( 5.47382143905499569E-08 , -7.78873692137668461E-08 )
( 8.01653051802541944E-08 , 3.29991073095478011E-08 )
index: 2
( -3.35655551475314852E-08 , -1.64664468511732363E-07 )
( 1.02993721745049647E-07 , -6.07948842028982049E-08 )
( 2.13288995664240041E-08 , -1.33657498393964106E-08 )
( 5.19230871270641857E-08 , 5.21630664348728129E-08 )
( 2.60853153899021195E-08 , 4.57580656933926877E-09 )
( -1.21504867680330453E-08 , -5.03486574053935118E-09 )
( -1.70661825518980472E-07 , -1.45686623888253391E-07 )
( -1.58010483750650367E-08 , 7.41179422103634949E-08 )
( -1.66178946143820700E-08 , -2.40690946120372074E-08 )
( 1.21190511696757513E-07 , 1.04861373808221016E-08 )
( 5.29961266526160828E-08 , -8.11104067244056648E-08 )
( -1.07879093071667751E-07 , -5.99108100396539916E-08 )
index: 3
( -1.87342184288404068E-07 , -1.28758964994146235E-07 )
( 5.44685093166836642E-08 , -1.00451405947318463E-07 )
( 1.53211640405310268E-07 , -8.35431568150500213E-09 )
( -5.85049916057527011E-08 , 1.28634888280974862E-07 )
( 3.22307735129252908E-08 , -8.31176652954706214E-09 )
( -1.71082283627495630E-07 , 6.85994825414948414E-08 )
( -2.86504530465138454E-09 , 1.42919376032859927E-07 )
( 3.77955719800165330E-08 , -7.35170126209013815E-08 )
( 4.19217489667219143E-08 , 6.70914197408178740E-08 )
( 1.18144216737496412E-08 , -5.82525444669958121E-08 )
( 4.50004400926391867E-08 , -6.67760475196648513E-08 )
( 6.65039102525138513E-08 , -2.34457113853949030E-08 )
index: 4
( -1.69029488806501595E-07 , -6.56097981535630218E-08 )
( 2.28899708244335512E-08 , -2.01667422689978398E-08 )
( 7.56345761278126122E-08 , 8.32232552396807594E-08 )
( 1.37595721441027984E-08 , 4.52273612356441403E-08 )
( 6.97385809651247704E-09 , -3.66549051154856359E-08 )
( 5.75030884273207207E-08 , -6.93939237245641372E-09 )
( 1.82598331942144227E-07 , -2.34627906717296807E-08 )
( 7.49346827320905103E-08 , -1.37988226327005464E-07 )
