index: 0
( 9.25657305110425278E-10 , -6.79112052336751292E-10 )
( -8.73818638053606721E-10 , 2.38166018515327628E-09 )
( -3.19247241186572947E-09 , 2.30268103556841594E-10 )
( 1.16197419139831628E-09 , 5.68646939477586963E-10 )
( -5.26996221253066519E-09 , -4.86531469627116769E-09 )
( -1.23655310534907220E-09 , 9.20324627055117057E-11 )
( -1.11180225812190954E-10 , 3.29425815215964780E-09 )
( -1.62366072120801235E-09 , -1.34542995922841916E-09 )
( 1.35811685369043248E-09 , -4.07647590336407480E-10 )
( 1.24748031902668562E-09 , 4.51655826009221644E-10 )
( -2.04779023913590795E-10 , 1.16654199230107559E-09 )
( -1.81479569812567103E-10 , -6.41124822394155501E-10 )
index: 1
( 2.29293360441731091E-09 , -2.08134178139108601E-09 )
( 2.52124883133270803E-10 , -4.31066672723165694E-09 )
( 3.09569970929881566E-09 , -5.10665598765502521E-10 )
( -1.85338753827723026E-09 , 8.70491048055103872E-10 )
( 2.70723743799047102E-09 , -3.13275640539409268E-09 )
( -2.36560678724814467E-09 , 6.15677472609743860E-10 )
( -6.00434849350325790E-10 , -1.80419958836481372E-09 )
( 3.53504998102135839E-10 , -5.04053415559361021E-09 )
( 2.46500038497172699E-09 , -3.95743799044490682E-09 )
( -2.54906306255764687E-10 , 9.05254947018704048E-10 )
( 7.15163357826519987E-10 , 2.47961445225121966E-09 )
( -7.19425910704508534E-10 , 8.54850287038610740E-10 )
index: 2
( 1.30278536132821819E-09 , 3.37898854881969969E-10 )
( -2.46132006120517133E-09 , -4.06336241759338247E-09 )
( -1.78831287223969921E-09 , -2.03489491255261231E-09 )
( -2.27577313826942382E-09 , -1.41495416886133225E-09 )
( 1.15066601678920019E-09 , -2.04651627446327986E-09 )
( 1.06805917533698643E-10 , -3.10674674968019507E-09 )
( -1.12658211558167471E-09 , -1.41310316476599944E-09 )
( -5.40807830248719528E-10 , -3.02779977361968636E-09 )
( 2.40509801997044336E-09 , -2.42156218686819835E-09 )
( -1.20615923214928239E-09 , 1.44944868256862297E-09 )
( -2.34238101432718039E-09 , -3.21202077186044310E-10 )
( -3.47666892308749909E-09 , -4.77725527725439333E-10 )
index: 3
( -5.45741456770858228E-10 , 2.79072246183496024E-10 )
( -2.94099058932291641E-09 , 4.40872781222092359E-09 )
( -2.59664942395563396E-09 , -7.39909120919006750E-10 )
( 3.15552457659566913E-10 , -1.85209654725922429E-10 )
( -1.91082762503202820E-09 , 1.56121017792164771E-09 )
( 3.12179577842971293E-10 , 4.34955762880963417E-10 )
( 3.17612174589705153E-10 , 2.75408520370715888E-11 )
( 1.41884722994169388E-09 , -2.15837470844339907E-10 )
( 3.62607949477711234E-09 , -2.51144860830116195E-09 )
( -9.33672035715965983E-10 , 2.20589275027161444E-10 )
( 5.15947382520886760E-10 , 3.88969712853703943E-09 )
( -1.26582083584271235E-09 , -2.02482319807292584E-09 )
index: 4
( -3.86908316788303998E-10 , 1.13453607561217598E-09 )
( 3.86836825771266410E-10 , -1.33143988853832412E-09 )
( 1.21314780763485308E-09 , -1.36298177921730707E-09 )
( 4.05151351017506608E-10 , 2.98345733363896009E-09 )
( 2.38117165499114585E-09 , -1.10753166154927139E-10 )
( 9.20316712464645751E-10 , -3.07795175015275694E-09 )
( -1.02891934739807815E-09 , 1.20908889733536305E-09 )
( -1.05328244888118969E-09 , 3.08098228250090786E-09 )
( 2.02084676861989091E-09 , -2.88824353032027208E-09 )
( -2.63030762372809799E-09 , -2.40385009969734843E-10 )
( 1.03266705953283325E-09 , -1.64121108305304983E-09 )
( -1.02784179289857606E-09 , 2.28781393723453499E-09 )
index: 5
( -2.84581771641991534E-09 , -1.37499380783422489E-09 )
( 2.17222545828624689E-09 , -1.55957672004817166E-09 )
( 1.47023655772730148E-09 , 7.72553848490965074E-10 )
( -1.38997154954885030E-10 , -7.81715351897936377E-10 )
( -1.39238046400531305E-09 , -2.31205205860892185E-09 )
( 2.92340476902563336E-09 , 7.32713119160842627E-10 )
( -2.23701039076151632E-09 , -6.60880439371553244E-10 )
( -5.64311431693546890E-10 , 1.19081836940168021E-09 )
( 2.01890566582951164E-09 , -9.32421300638611529E-10 )
( 1.48219169644827955E-09 , 3.20524763868204414E-09 )
( 9.47458264427174095E-10 , 2.08763325439163749E-09 )
( -7.01021394747782121E-10 , -1.59951549229578752E-09 )
index: 6
( 3.30331164762986321E-09 , 2.77104318531565336E-09 )
( -8.60572272187718223E-10 , -9.72497681457706176E-10 )
( -2.51115280279093140E-10 , 6.49725454970425923E-11 )
( 2.57037318037693110E-09 , 2.31543545686315375E-09 )
( 4.32941085505709824E-10 , 2.42702665848318408E-09 )
( -9.25067571366809382E-10 , 2.08938854878788956E-10 )
( -2.14814919290981934E-09 , 5.23821607888419130E-10 )
( -1.54057251075310287E-09 , 5.60687838392845092E-10 )
( -1.91094552321984996E-09 , -1.66669954428000998E-10 )
( -2.18356999698781987E-09 , -2.41612278489971306E-09 )
( -1.35492554665527929E-09 , 2.92247122956663888E-09 )
( -6.55874452382006267E-10 , 2.25846304881059515E-09 )
index: 7
( -1.69856185534356375E-09 , -1.14773320327752772E-09 )
( 7.95685702128664359E-10 , 9.61719316855538388E-10 )
( 2.73439149449950677E-09 , -6.96408995712274935E-10 )
( -5.36969527799777359E-10 , -9.96483505602152389E-10 )
( 2.53297851812915868E-09 , -6.26769188315750163E-10 )
( 5.42188641329279810E-09 , -2.15755707420777029E-09 )
( 4.11141886063149092E-10 , -2.26009884020324436E-09 )
( -5.43911348886138080E-10 , 4.84764162722041924E-10 )
( 6.68170085302320416E-09 , -2.61823948955478932E-09 )
( 1.60886540281544800E-09 , -2.03817365473760802E-09 )
( 3.60923936576448963E-10 , 7.13060673408764468E-10 )
( -1.11440568206101838E-09 , 6.42232571114600064E-10 )
index: 8
( 3.14933892985500412E-09 , 2.10233517049458472E-09 )
( 3.20279472418792920E-10 , 6.05291741393009459E-10 )
( 3.17715973507455376E-09 , 2.27032532398498788E-10 )
( 2.90170976832569370E-09 , 6.77939042412009141E-11 )
( 2.41889120835046695E-09 , -3.01295840187440638E-10 )
( -7.95133963102053633E-10 , 3.78525443262228498E-09 )
( -2.38122031960722068E-09 , -6.69722155979382077E-10 )
( -1.00373185221819811E-09 , 3.25642527026844070E-10 )
( -1.33804116286106953E-10 , -1.65974962639606794E-09 )
( -7.93248741596952510E-10 , 3.44151741396325244E-09 )
( 1.24211104440450168E-09 , 2.76916967476067324E-09 )
( -3.37464595351894759E-09 , -2.81896347113294783E-09 )
index: 9
( -3.05080193029969619E-09 , 2.43943328610643904E-09 )
( 1.49818323460146948E-09 , -4.37379983343113712E-09 )
( 6.08433257517122350E-10 , -7.54689508767505742E-10 )
( -2.39664408402218691E-09 , 2.21845992499085488E-09 )
( -2.35905017858143986E-09 , 2.33628249704054639E-10 )
( -9.25758300513211588E-10 , 1.58717672418813224E-09 )
( -1.31272052928246929E-09 , -2.37159040226698918E-09 )
( 3.13731708959787787E-10 , -4.53188434973243107E-09 )
( -4.39461176591527772E-10 , -2.40894049803540046E-09 )
( 6.48849470963743794E-11 , 4.32250425546567202E-10 )
( -8.06469372711503314E-10 , 1.34209254126601441E-09 )
( -1.40875813600101558E-10 , 4.34349702183659543E-09 )
index: 10
( -1.88157302896258337E-09 , -1.58774251696592529E-09 )
( 1.78981291114466327E-09 , -3.15068951123750407E-10 )
( 5.22836207164375909E-09 , 9.54303594004144740E-10 )
( -2.31998361633837964E-09 , -2.19787156492058345E-09 )
( 1.80352894095368352E-09 , 9.46274555013705561E-10 )
( -3.45028239089848327E-10 , 1.13234455020138130E-09 )
( 7.91024548409215284E-10 , -9.86883478478437247E-10 )
( -1.54540951556946479E-09 , -2.45832343898809493E-09 )
( -1.96490992690087053E-09 , -2.98287469688023032E-09 )
( -7.87246062692992644E-10 , -4.10080578214475633E-10 )
