index: 0
( 4.70335305382285922E-05 , -6.48950404444338479E-05 )
( 1.74889194001347497E-04 , 3.79005300536570803E-05 )
( 9.29027681164627274E-05 , -1.60252233002498531E-04 )
( -2.62349137173508438E-04 , -4.14873063280153602E-05 )
( 1.42588907872916416E-05 , 5.15297963787749651E-05 )
( -9.89203265330967398E-05 , 1.44040159245820831E-04 )
( -1.21707259430320764E-04 , 1.91823032360976810E-04 )
( 1.43477821439913928E-04 , -7.13465460943556260E-05 )
( -2.15367519649257299E-04 , -3.17632410429871442E-04 )
( 1.70188766494712906E-04 , -6.71014890535660293E-05 )
( -3.01535560382871853E-05 , 2.11896191331664046E-04 )
( -5.74204262044151467E-05 , -8.86189788771789104E-05 )
index: 1
( -2.01331754334902905E-04 , 1.30595336551979569E-04 )
( -2.91855863408686049E-05 , 1.69224726527243224E-04 )
( 9.32925209724620432E-05 , 1.28749769287584098E-04 )
( 1.78756013596130075E-04 , 7.14408393032630728E-05 )
( -7.39113335712587676E-05 , 2.06691498562416046E-04 )
( 1.69442180383276954E-04 , 1.57924062904791227E-04 )
( -6.29155736942302405E-05 , -2.05204911994000185E-04 )
( -1.01693625926470055E-04 , 1.64942570998548961E-04 )
( -1.31946861170005939E-04 , -4.03864077028613828E-05 )
( 1.16581263952831828E-04 , 8.94558070537934810E-06 )
( 2.81835042587210208E-04 , 2.43573819379187026E-04 )
( -6.02551123713648698E-05 , -9.31062872808288179E-05 )
index: 2
( 3.84559332480871707E-05 , 3.52668462507481578E-04 )
( 2.67248062883936001E-04 , 1.59910126442400636E-04 )
( -3.85459068731033015E-04 , -1.26825639485258807E-04 )
( -3.02913828071807824E-05 , 2.04791313240905773E-04 )
( -1.53143551777626581E-04 , -1.46757936191947334E-04 )
( -2.48640752225760418E-04 , 5.44110775204905198E-05 )
( 1.58813453397716993E-04 , 2.31704037345047142E-04 )
( 5.57814444304922453E-05 , -4.81823077778215669E-05 )
( 8.65589149144974585E-06 , 1.10448310852524653E-04 )
( -1.73840955698193031E-04 , -2.30726014972384904E-05 )
( -1.96488029347328095E-04 , -2.63319007617209683E-04 )
( 2.63877562289503676E-04 , -8.24678039100055897E-05 )
index: 3
( -6.06854545578660849E-05 , -5.81999073805875131E-05 )
( -7.73247245720436746E-05 , -1.50537745815478344E-04 )
