index: 0
( 1.06797018443766670E-05 , 1.09159287358924053E-04 )
( -8.86468135197612651E-06 , 1.26936349529819766E-04 )
( 8.21922810577076809E-05 , 1.01775056495311583E-05 )
( 4.07845989416516202E-05 , 2.81344652800745838E-06 )
( -5.97682596986432200E-05 , 4.63719556137248364E-05 )
( 5.84197841495897002E-06 , -1.14192819934376478E-05 )
( -4.09099682648846638E-05 , 4.89151030173539129E-05 )
( -3.67202465063010019E-05 , -6.28272850681934703E-05 )
( -7.82173104942082118E-05 , 3.66619674930687058E-05 )
( 6.54717976816298936E-05 , 1.34975308363614633E-05 )
( 7.16780490525772946E-05 , 3.69364872942937563E-05 )
( -1.00059080498483095E-04 , 5.38677066462839118E-05 )
index: 1
( 1.01743797821847464E-05 , -4.18371298937863663E-05 )
( -2.45487965683941140E-05 , -1.23282835308333952E-04 )
( -5.74707923281311822E-06 , 1.15545671421455346E-04 )
( 7.04467114340502713E-06 , -9.24796361355857292E-05 )
( 7.05042500541747010E-05 , -1.00522825300310457E-05 )
( 9.87556717032712911E-05 , -9.13935158757624340E-05 )
( -2.68628623127275822E-05 , -2.64314563053211766E-05 )
( -7.78502894231671087E-06 , -1.15079169748222437E-04 )
( 1.41065504624629848E-04 , 1.75338364243919702E-05 )
( -6.21400916903760606E-05 , -3.62868749873667727E-05 )
( 1.66104623301876144E-05 , -1.95639577165648013E-05 )
( 6.14358886941173028E-05 , -2.85680564643128005E-05 )
index: 2
( 5.79429088324190665E-05 , -2.07032769655847660E-05 )
( 1.99822755496780179E-05 , 8.53098293403949218E-05 )
( -6.89847857424437546E-05 , 6.73534339934027019E-05 )
( 4.65015715671615753E-05 , 5.53422455316576137E-05 )
( 1.74339742522893105E-05 , -6.16033698873259952E-05 )
( 2.03964085042037703E-06 , -4.54889467062829156E-05 )
( -1.28375007903685210E-04 , 2.53185454111994030E-05 )
( 7.53494924874322777E-05 , 8.95074785621539166E-05 )
( 6.13522969584048383E-05 , 1.35258439845043605E-04 )
( -6.78434495908193202E-05 , 2.73970369633536481E-05 )
( -1.48991055381602662E-04 , -3.41013009983357981E-05 )
( 8.42070636749185978E-06 , -9.16986610560796154E-05 )
index: 3
