index: 0
( -4.49675889088825850E-06 , -3.70940395294649362E-06 )
( -4.57338133779777171E-06 , 3.94978243699305559E-06 )
( -1.87671772647183680E-05 , 1.07083335187436317E-05 )
( -1.41465977689206255E-05 , 5.85301162529315709E-06 )
( -1.47953925662166483E-05 , -7.49714968961457483E-06 )
( -5.68558249624433710E-06 , -1.40147453214513223E-05 )
( 1.44947088522225255E-05 , 1.07005169426206957E-05 )
( 5.02329764903796411E-06 , 1.68518565502735295E-06 )
( 2.34280616338179698E-06 , -1.97946751037278041E-05 )
( 2.68944012154305420E-05 , 7.61464061994698620E-06 )
( 1.55620234644468546E-05 , -1.12954387807189115E-06 )
( -1.20591902157467140E-05 , 1.47397391162668600E-05 )
index: 1
( -9.91929008945752230E-06 , 1.06738257268243161E-05 )
( 1.48943341727295577E-05 , -1.32893786664604680E-05 )
( 3.90626820696784806E-06 , 1.22699050858078185E-05 )
( 1.28319991968503289E-06 , -2.74634896819561112E-05 )
( -1.59019610848481352E-05 , -1.22882059455823616E-06 )
( 3.45716685575427803E-07 , 6.04519423493053790E-06 )
( 1.02954596586569968E-05 , 1.32094582596255031E-05 )
( 7.03187827500745435E-06 , 6.14750827209527887E-06 )
( 3.53188153267046251E-06 , 5.34251549715111733E-06 )
( -1.05599406414532937E-05 , -3.42726347496741925E-07 )
( -9.99332944679081535E-08 , -1.82281853489263661E-06 )
( -1.40507041603482685E-05 , 8.84637329707716103E-07 )
index: 2
( 1.45418964102737263E-05 , 8.74978949677790709E-06 )
( 9.06460378533498720E-06 , 5.12312732013536955E-06 )
( -6.63222291429483915E-06 , 5.97781039650981535E-06 )
( 2.85890285251358228E-05 , 5.78375860879184472E-06 )
( 1.40836597951443898E-06 , -1.81598902633603053E-06 )
( 5.85031946198121133E-06 , 1.00879759149350561E-05 )
( -1.28054370363334315E-05 , 1.31680320106344182E-05 )
( 1.03559689112441225E-05 , -4.93527078452785981E-06 )
( -1.99531303270367435E-05 , 7.46304534754586934E-06 )
( -1.00872710587448298E-05 , 8.73088219417038249E-06 )
( -1.95483620530446371E-06 , -5.53867292188725127E-07 )
( -6.64120211314107205E-06 , 4.05699316305468545E-06 )
index: 3
( 1.21578751998072178E-05 , -5.07871568199729129E-06 )
( 1.39940421956041903E-05 , -2.91735655118632761E-06 )
( -1.07176755638746194E-05 , -1.10387845158066353E-05 )
( -2.18206348528487013E-06 , -7.37912540632148145E-06 )
( 2.07419100310677923E-05 , 2.38675021235387087E-05 )
( -4.81298356345385730E-06 , 2.12235630505825037E-05 )
( 9.17859894507805787E-06 , -4.51264650218836586E-07 )
( -2.20939951117586437E-05 , -1.08561814570999841E-05 )
( 5.09839803700168194E-06 , 1.69013005990325595E-05 )
( -1.87097931682074949E-05 , 7.60371892516647382E-06 )
( 4.79757318736244779E-06 , -7.07612807211452656E-06 )
( 4.98881642941079719E-06 , 3.96669709886794780E-06 )
index: 4
( -1.09090670189213134E-05 , -1.98499819592532722E-05 )
( 1.26518052101070478E-05 , -2.29506917479269744E-05 )
( -5.26270488944314040E-06 , 1.67700685168609407E-05 )
( -4.60855662328592794E-06 , 4.25017152822006301E-06 )
( 2.58562498095413096E-05 , 9.45540481779592990E-06 )
( 2.59521033871746165E-05 , 1.58594241866267184E-06 )
( 1.09176732325497565E-05 , -2.83959296422523896E-06 )
( 1.50619658592721160E-05 , -1.29687262614026798E-05 )
( -4.26785878403033292E-06 , 8.85428250504482629E-06 )
( -6.62593266720802322E-06 , -3.73590574598473263E-06 )
( 5.92278062584210384E-06 , 5.24890369063482524E-07 )
( 7.44025902241585882E-06 , -1.84754157907115247E-05 )
index: 5
( 1.25647691650018065E-06 , 4.50633764702245509E-06 )
( 1.21381760224397403E-05 , 2.51354745121944085E-06 )
( -5.92608078869593167E-06 , -1.01986591850466011E-06 )
( 8.70085018369025669E-06 , 7.23140170518561929E-06 )
( 2.70851378229438228E-06 , -1.17435018266566953E-05 )
( -3.60103210249430863E-06 , 2.35024277197124800E-06 )
( 1.57364046268664193E-05 , -4.37008661841653051E-07 )
( -4.70406989330358798E-06 , 1.45878731490485583E-05 )
( -8.10651068985854194E-06 , 1.25623094131464640E-05 )
( 1.46826899263016167E-05 , -1.76601973165126132E-05 )
( -3.35588791561739959E-06 , 5.45422617995939653E-06 )
( -3.50996894230756915E-06 , 1.38474736743595943E-05 )
index: 6
( 1.09868445847997799E-05 , -4.55105254815351515E-06 )
( 7.34097690475534647E-06 , 2.13937502152828950E-05 )
( -5.87603810214909610E-06 , -2.00539590153186511E-05 )
( 3.60004837520787807E-06 , -2.35169166757531263E-07 )
( -7.38725104894744857E-06 , 1.08032949707832198E-05 )
( -1.16639165282240733E-05 , 5.64604965746743667E-06 )
( 1.95800918031444021E-07 , 1.17299412936149314E-06 )
( -2.41069352821935769E-05 , -5.21333981973141744E-06 )
( 1.05694751132216872E-05 , 2.39000355866302814E-06 )
( -1.62839262582701572E-05 , 8.89455798045020307E-06 )
( 5.21894795150666896E-06 , 1.90281151219177340E-05 )
( 1.71162035893248760E-05 , -7.57275628939583617E-06 )
index: 7
( 1.27709258481616661E-05 , -2.50615721170138281E-06 )
( -1.58581218881634550E-05 , -5.25719407649521478E-06 )
( -1.69449165804001872E-05 , 1.60433579846139460E-05 )
( 1.11931166278821627E-05 , -9.09056851427161866E-06 )
( 1.32253996121598939E-05 , -9.74759054279532525E-06 )
( 2.18424302229514162E-06 , 6.41085809588075675E-08 )
( 6.05384016812367314E-06 , 2.76218525121497735E-06 )
( 5.53194239735104421E-06 , 1.09773213455994594E-06 )
( 2.01278781278591599E-05 , 5.60720952149045113E-06 )
( 1.12605429455255029E-05 , 1.33009459343031090E-06 )
( -3.83628817359102676E-06 , 1.38490867931538804E-05 )
( -1.51079095161492803E-06 , 4.43833378997780212E-06 )
index: 8
( -1.42844201384566354E-05 , 1.14192633593818220E-05 )
( 2.35560537229343842E-06 , -1.42639429091504089E-05 )
( 9.09325715406882909E-06 , 8.10239310581568553E-06 )
( -4.10731982302946749E-07 , 1.68867829788819499E-05 )
( 7.06999296693201255E-06 , -1.84547964017566637E-06 )
( -8.38911238333288691E-06 , 1.96175166909963394E-05 )
( 2.05650672012137816E-05 , 2.86846239497661829E-06 )
( 5.13984142171105337E-06 , 1.03151064788871431E-05 )
( -1.71339576462859605E-05 , -2.29838271824179411E-06 )
( -3.57173291122368160E-06 , -1.96915743146492112E-06 )
( 5.63365545857739351E-06 , -1.62422439417294785E-06 )
( -3.25134216965809428E-06 , -1.09362252369769340E-05 )
index: 9
( -1.10945405842005512E-05 , 1.37100748593792130E-06 )
( 3.43639497023458747E-05 , -1.29860038715812247E-05 )
( 1.11965929343480548E-05 , -1.10010693893162586E-05 )
( -1.34737438550965014E-06 , 7.68407080281187219E-06 )
( 1.49506698247872605E-07 , 9.25109810416431522E-07 )
( -3.29319913296826867E-06 , 1.27503996886590091E-05 )
( 1.07191583305792317E-05 , -2.43658407279660264E-06 )
( 1.28504931909682731E-05 , -1.12265239020731020E-05 )
( -1.53135400398018116E-05 , 1.63914572228563941E-05 )
( -2.89768391796313174E-06 , -7.29801294088897990E-06 )
( -4.59952693466159059E-06 , 1.59519949163297318E-05 )
( -1.58830510120566752E-06 , 7.16740885738166693E-07 )
index: 10
( 3.16315300259649809E-05 , 1.31411572299295842E-06 )
( -2.01754622467451186E-05 , -2.68669340369357643E-05 )
( -2.77980385884751053E-06 , -1.64764256674953681E-05 )
( 2.58665295568115953E-05 , -6.89753634536062645E-06 )
( 2.31784499206833926E-06 , -2.87204432099983646E-06 )
( -2.33103136777565823E-05 , -1.02459877767852668E-05 )
( -2.04199713199444070E-05 , -7.68861502035070406E-06 )
( -2.80877148564330449E-07 , -1.68805314101767264E-06 )
( 2.44262564544308755E-05 , 3.01896239046879280E-05 )
( 1.12776162611413341E-06 , 3.29053440302462102E-05 )
( -1.74968107246951170E-05 , -1.23028260090532826E-05 )
( -6.59425437594839812E-06 , 6.39104160944306593E-06 )
index: 11
( 8.87680801537696464E-06 , 7.30545894159840062E-07 )
( 6.88355203852108315E-06 , 5.09669250324935407E-06 )
( -2.47499219252287986E-05 , -3.22232020810916061E-07 )
( 2.65800882074870176E-06 , 1.68416405707068941E-05 )
( 2.45994390340833966E-05 , 8.79211339131683187E-06 )
( 4.19016362411276920E-06 , 4.89870787548965628E-06 )
( -2.45558683731349224E-06 , -9.69801192526119796E-07 )
( -1.05680768589716131E-05 , -1.42623731885610066E-05 )
( -6.00372365178645838E-06 , -2.07625992312647930E-06 )
( 1.50403352065335459E-06 , -1.42437438539961864E-05 )
( -1.35002062782901707E-05 , 1.27150975284018883E-05 )
( 1.14872511063778483E-07 , 1.12918326652814744E-05 )
index: 12
( -3.74930302317041233E-06 , 3.43901545601586511E-06 )
( -3.07613485386485048E-06 , 7.66681029587127480E-06 )
( -1.09075483197849257E-05 , -4.45870638894103419E-06 )
( -1.00093229855734607E-05 , -7.29369244072059617E-06 )
( 1.17163482975513152E-05 , 5.73893997335027043E-06 )
( -5.39446881885507293E-07 , 1.87928425370146489E-05 )
( 6.83000229272515263E-06 , 1.51743205865344368E-06 )
