index: 0
( -7.15226404565936438E-11 , 2.81879672549323799E-10 )
( -1.36489568488738186E-10 , -1.92281424349728553E-10 )
( 1.52483660476913922E-10 , -2.42323206282769727E-10 )
( -5.19652007798534519E-11 , 1.04890178388459252E-10 )
( -4.09948867015098698E-10 , -9.81544917500690065E-11 )
( 4.60007149568519605E-11 , -3.26172132301663398E-11 )
( -8.36747443513936707E-11 , -1.70995446609733181E-11 )
( -2.49020762777806406E-10 , 7.57018281602304451E-11 )
( 2.50924258815927842E-11 , 1.85514363822736901E-10 )
( 1.97384131077318880E-10 , -6.74399456241581680E-11 )
( 2.47089349206225460E-10 , 7.80078232187111172E-11 )
( -3.12046025889588750E-10 , 9.88108554055622487E-11 )
index: 1
( -1.80904528652816904E-10 , -2.26691850619983233E-12 )
( -1.50084439101081003E-10 , -8.94374023130511457E-11 )
( -9.99627173561676037E-11 , 1.36599273066420134E-10 )
( -2.57663942537754542E-10 , 3.01345371586634935E-10 )
( -1.27297406377740691E-10 , 2.37629535095466654E-11 )
( -4.53688692394191428E-10 , 3.10409110372623276E-11 )
( 2.13948502976628881E-10 , 3.62745903609243318E-11 )
( 2.14161987065537368E-10 , 1.71341836315504392E-10 )
( -3.85730165953275437E-10 , -8.95515386265096328E-11 )
( -9.42302100558066179E-11 , -1.17519549203297669E-10 )
( -1.25956502584895644E-10 , 6.29989654255690117E-11 )
( 1.17470872751464734E-11 , -1.81085785135375224E-10 )
index: 2
( -3.98500612647304694E-11 , -3.30567298020211803E-10 )
( -1.79343841366014922E-10 , -9.01862343401242067E-11 )
( 2.85500776265239475E-10 , -1.67729499920802879E-10 )
( -2.67720653663222109E-10 , -2.98991469802192114E-10 )
( 2.15839787787973687E-10 , 2.41194597923230919E-10 )
( -9.00342407285356958E-11 , -1.53823904077872899E-10 )
( 1.44195922087466687E-10 , 5.56441297351191794E-10 )
( 8.38082682127042483E-11 , -5.88059268343214711E-12 )
( 2.76102867852275426E-12 , 6.74601435477282835E-11 )
( 2.36472863962450147E-11 , -5.13728601966007840E-10 )
( 5.34138457950383670E-11 , -2.49450451676481731E-10 )
( 2.92041980307687755E-10 , 3.81804082275745808E-10 )
index: 3
( 3.48264380834745970E-10 , 7.98276342885285479E-11 )
( 9.02535246717560157E-11 , -3.11662517739080564E-10 )
( -2.42097868301698884E-10 , -5.31150537878914519E-10 )
( 1.95863913037024565E-10 , 1.19328414290790839E-10 )
( 1.42527824455326591E-10 , 3.93313737964218632E-10 )
( 1.25364203698884897E-10 , -3.79870995497838330E-10 )
( -1.90270171204020021E-10 , -5.57347247183869804E-10 )
( -3.74711361667481448E-10 , 3.43550482480519066E-10 )
( 1.78171953624366499E-10 , -5.66033432464714643E-10 )
( -2.05404437335795035E-10 , 1.89147622307685001E-11 )
( -2.86319904573682580E-10 , 2.81677716946973119E-10 )
( -1.95803858652325025E-10 , -6.03730703232767995E-10 )
index: 4
( 1.15060088090147630E-10 , -1.21356992498956331E-10 )
( -1.86400115672954486E-10 , 1.64603539219400778E-10 )
( 1.15062245382187207E-10 , -1.72867126149790649E-10 )
( 5.63145008094399831E-11 , 3.35778828368634537E-11 )
( 4.48046630753428827E-10 , -4.14888122243167722E-10 )
( 1.40403887585505685E-10 , 7.63934057506967031E-11 )
( 6.05649409599568954E-11 , 1.64081357151498173E-10 )
( 4.76710309306679401E-11 , -5.33403093708366338E-11 )
( 1.78944444573838854E-10 , -5.17883183785152582E-11 )
( 4.21226940620789001E-11 , -5.54432707087998741E-10 )
( 9.16588811214438822E-11 , 1.67411071937478631E-11 )
( -1.86151323737101335E-10 , 1.43910386697746932E-10 )
index: 5
( -1.38720354295315600E-10 , 1.33805181614554306E-10 )
( 1.04294968421641741E-10 , -1.46116622219507352E-10 )
( 4.29314524239453474E-10 , -3.33776985525521254E-10 )
( -3.21870120107840429E-10 , 2.39633728913301654E-10 )
( -2.33507264492032491E-10 , 4.20273618381630032E-12 )
( 6.28342746674512766E-11 , -1.82952761760996764E-10 )
( 9.36004451317986260E-11 , 1.65856816434298935E-10 )
( 4.80516208128875418E-11 , -8.77962771027676392E-11 )
( 1.88897580848976861E-10 , -1.63172919423729966E-10 )
( 2.75458625474860323E-11 , -1.73482680990404235E-10 )
( 3.31811938545633545E-10 , 2.05381537767164311E-10 )
( 1.31333033634768463E-10 , -2.58032687980292823E-10 )
index: 6
( -6.19914385825508777E-11 , 1.38576515698215490E-11 )
( 2.43005576106994935E-10 , 4.23344757748364448E-10 )
( 4.51886665644136048E-11 , -1.14228984772023987E-10 )
( 2.09862322847189901E-10 , -1.93526176713719950E-11 )
( -1.56622841214092802E-11 , -4.48403131031346476E-10 )
( -2.18961006132431498E-10 , 2.62614224318498237E-10 )
( -2.94152532636844494E-10 , 6.01692643879906939E-11 )
( 9.31316665084515191E-11 , -2.06620507495556585E-10 )
( 1.41764508099616561E-10 , 7.64467008390098379E-11 )
( -1.00833503314246421E-10 , 1.25456418431799459E-10 )
( -9.84031892420879803E-11 , -2.00083840065046112E-10 )
( 2.33594085737769281E-10 , -1.43326445206496561E-10 )
index: 7
( -1.35197656651259459E-10 , 1.42095977360334405E-10 )
( -7.84054208889357552E-11 , 3.96708925097908754E-10 )
( 1.63127787786157810E-10 , 2.78669308544388415E-10 )
( -2.81532865052196236E-10 , -6.88466568694395931E-10 )
( 7.50323912315387123E-11 , 4.09898185881002031E-11 )
( 3.48438595315319373E-10 , 8.40811013997826240E-11 )
( 1.22075039312101235E-10 , -1.94152559915641149E-10 )
( -3.88138634891554228E-10 , -1.83608001888792982E-11 )
( 3.37685562850987552E-10 , 2.05508442683294860E-10 )
( 2.06415609223179418E-10 , 3.04060867313721118E-10 )
( -5.37141546642285344E-11 , -3.94716253155951809E-10 )
( -2.01027987615623779E-10 , -3.08527441351955821E-10 )
index: 8
