x=0,y=0,z=0,t=0
( 2.18000316192569001E-05 , -1.81571088651361886E-04 )
( -1.35766315811380628E-05 , 1.05332812394250396E-04 )
( -1.71143439762294570E-08 , -2.83925344044479351E-05 )
( -2.62320985575919510E-04 , 1.54181195181146100E-04 )
( -3.32157989800094667E-04 , 1.50963569238625798E-04 )
( 1.06250663632496538E-04 , 2.01442756498227193E-05 )
( -3.26421129534088992E-04 , -7.20018622720850773E-05 )
( -1.20296388482520690E-04 , 6.49515034023092264E-05 )
( 4.85435521432563607E-05 , 2.28049311159711005E-04 )
( -3.03861867458010476E-04 , -1.35234381518500114E-04 )
( 1.33839996003891576E-04 , 4.00325522336159175E-05 )
( -9.50041939927912730E-06 , -6.72146256396725125E-05 )
x=1,y=0,z=0,t=0
( -3.84963609717572214E-04 , 1.16125289015279106E-04 )
( 6.62335147397224858E-05 , -1.12276175075856163E-04 )
( 5.91953083251349867E-05 , 1.85618115013273615E-04 )
( 6.64898195003390012E-06 , 1.27634140286705163E-04 )
( 1.15129192349313454E-04 , 5.82995655082055357E-05 )
( 1.35145409973767806E-04 , -1.18886245333959162E-04 )
( 1.49987738857775064E-04 , -1.82401738051428028E-04 )
( -1.36002943436885204E-05 , 1.73507885251828267E-04 )
( 1.06013234173491961E-04 , 2.48019906287688598E-04 )
( -2.90254659235969243E-04 , 1.03717831287766823E-04 )
( -2.88872709433533209E-04 , -8.19563288658185015E-05 )
( 6.64192119685453795E-05 , 1.95418172403442100E-04 )
x=2,y=0,z=0,t=0
( -1.83568697236542429E-04 , -2.35329458081900967E-04 )
( -3.02267273748246454E-04 , 1.87405916140215121E-04 )
( -2.51475751937295605E-04 , -2.52229132696401041E-04 )
( -4.60067314563881817E-05 , 6.14330043864330904E-05 )
( 3.73092636489248742E-05 , -4.29559782457131787E-05 )
( -2.99854556938715150E-04 , -1.28590015766290065E-05 )
( 1.44244849771425803E-04 , 2.68144545619442151E-04 )
( -1.69338568058674641E-04 , 3.50092125097936060E-05 )
( 9.91015365140733876E-05 , 2.08997055431899513E-04 )
( 8.27802649283021594E-05 , 3.17163918659966917E-04 )
( 1.11768593034759190E-05 , 5.57436982245392465E-05 )
( -1.64847162664479707E-04 , 1.22157240738620353E-04 )
x=3,y=0,z=0,t=0
( -1.19667613299498797E-04 , -1.96555093706777260E-04 )
( -1.18293019035379474E-04 , 1.59477635946364516E-04 )
( 1.55358458812444227E-04 , 2.09049122268527223E-04 )
( 9.45298332771947925E-05 , -2.13775833353221640E-04 )
( 6.16760593297689457E-05 , 1.97074849190860253E-04 )
( 1.78335214078253123E-04 , -3.48365253355184843E-05 )
( 1.07592012895997241E-05 , -3.56775469089256247E-04 )
( -2.14492833780355406E-04 , 2.67939568097677757E-04 )
( 2.23770523319089676E-04 , -1.56491888339271124E-04 )
( 1.51513068200250661E-05 , 1.92219370103708731E-04 )
( -4.14206082865615165E-04 , -2.29633087081044471E-04 )
( 1.65955250891340980E-04 , -2.41365705718124134E-04 )
x=0,y=1,z=0,t=0
( 7.98647237976867364E-05 , -7.74300453421072508E-04 )
( -8.59698053753753342E-05 , -1.57760343669423087E-04 )
( -2.14352984745498317E-04 , 4.44654018988528254E-04 )
( 1.55691102945747776E-04 , -2.38485650553802185E-04 )
( 3.66110052314736124E-05 , 1.40440528515524914E-04 )
( 2.59624186307166600E-04 , 8.33864298678077900E-05 )
( -1.84643642731147995E-04 , -3.04713934332843158E-04 )
( -2.20599408422388716E-04 , -4.88829567876826419E-05 )
( 8.45460432929286902E-05 , 2.72691576780739904E-04 )
( -4.89274323337390870E-04 , -1.12734434181231273E-04 )
( -6.24048155650056197E-05 , -7.54376709234811900E-05 )
( 5.90455245763641735E-05 , -1.20056893534410149E-04 )
x=1,y=1,z=0,t=0
( 2.26127447676050810E-04 , 2.18619113928118392E-05 )
( -7.50737678242515717E-05 , -2.20624892646292163E-04 )
( 3.02337901296195679E-04 , 1.06713042709850908E-04 )
( 5.88914126529699363E-05 , 1.28298991342336722E-04 )
( 1.39647313136925284E-04 , 9.89929986353835646E-05 )
( -8.38731754635185128E-05 , -7.55060945279411032E-05 )
( -9.95376019861047017E-05 , -2.57975863802609000E-04 )
( -1.61910030180382553E-04 , 1.35085726175367734E-04 )
( 1.28930303719315052E-04 , -1.68744052290067508E-04 )
( -2.46829981968588614E-05 , -3.24746644183839298E-04 )
( -5.15115489341610544E-05 , -3.02428190181663155E-06 )
( 2.31203103837556204E-04 , -2.59057088420736590E-04 )
x=2,y=1,z=0,t=0
( 5.82055066743855285E-05 , -2.70412356096802475E-04 )
( -1.18487824377871108E-04 , -7.06827133654889525E-05 )
( 1.00817892697795466E-04 , 1.24101960543439543E-04 )
( -1.19806150969361196E-04 , -1.46540774036053748E-04 )
( -4.51407027137734398E-05 , -8.48226954477102518E-05 )
( 5.44376377531237291E-06 , -2.47099145779609603E-04 )
( -9.05494379514037290E-05 , -1.27158746057721940E-04 )
