x=0,y=0,z=0,t=0
( 1.49802544284842054E-05 , 1.74265288431520149E-05 )
( -2.33630326342737689E-05 , -2.07989525973552110E-06 )
( -4.50177161722066819E-05 , 2.06110032400982698E-05 )
( -4.15565352581818867E-05 , 3.83201261471357592E-05 )
( -6.95783780905645435E-05 , 2.52550625076142389E-05 )
( 2.75961012133641513E-05 , -3.00220716088284842E-05 )
( -2.93289187371696423E-05 , -8.93536947653751238E-05 )
( -5.02566856254708751E-05 , 1.67209280593666430E-05 )
( -3.36369349294456712E-05 , 5.97889883783914508E-05 )
( -4.39308712600294218E-05 , -5.00657900442633095E-05 )
( 3.74718358387219193E-05 , -4.08407347432617650E-05 )
( 5.05439022520378734E-05 , -3.53399527536875100E-05 )
x=1,y=0,z=0,t=0
( -2.48278461353806480E-05 , 8.46996532701227672E-05 )
( 2.64563863009974011E-05 , 9.23913909424363861E-05 )
( 3.72361024915009368E-05 , 5.21664257339171970E-05 )
( 2.64231948997606787E-05 , -1.07814043559427070E-04 )
( 7.19688885344250045E-05 , 4.14915561405696719E-05 )
( 2.35421572534107114E-05 , -6.81376400265964880E-05 )
( -6.36348295070168481E-05 , -6.22637890393376348E-05 )
( 2.81591401997711169E-05 , 8.34522845526741480E-05 )
( 3.81428358348930940E-05 , 3.37180968574107211E-05 )
( -3.83399780409289051E-05 , 5.52140118331103145E-05 )
( 2.65970757079090509E-05 , -7.79635447092454136E-07 )
( 2.52022840470834348E-05 , -4.17897931079234275E-05 )
x=2,y=0,z=0,t=0
( 5.40843885569856783E-05 , -5.47937118998850252E-05 )
( -1.02922203925409750E-04 , -6.54303433169552026E-05 )
( -1.18248905143605640E-04 , -7.39415807897191767E-05 )
( -4.14273817646636998E-05 , 5.83164921703340240E-05 )
( -3.54675526275533625E-05 , -2.95748484239680047E-05 )
( -7.03396315233088452E-05 , 4.47121143743031072E-05 )
( -7.98994132463975526E-05 , -3.69959748731566072E-05 )
( -4.78777672745746210E-05 , -8.65423204523012768E-05 )
