x=0,y=0,z=0,t=0
( -9.15961681116366777E-02 , -8.98022056692443504E-02 )
( 1.88101644155988616E-02 , -1.92408009796357582E-01 )
( -5.71496454846281698E-02 , 1.02591602701161619E-02 )
( -7.65264655370841151E-02 , 2.77045005241703668E-02 )
( 2.28615690023889484E-01 , 6.43216316484252065E-02 )
( 6.16788123134933211E-02 , -7.71224480023510739E-02 )
( -1.08335428783308957E-02 , 4.44506189328847390E-02 )
( 1.17993881371671119E-02 , -2.59504838612077682E-03 )
( 8.04110476459438950E-02 , 1.74119659091244439E-03 )
( 1.85373914035119880E-02 , -1.96445637099859557E-02 )
( 2.10912972261205964E-02 , -1.52487783517550990E-01 )
( 8.34606993125246027E-02 , 3.13592398662494512E-02 )
x=1,y=0,z=0,t=0
( 1.01673520375348686E-01 , -4.60222070037060171E-02 )
( -1.25039186803353936E-01 , 3.93568605721988582E-04 )
( -1.85920794131700068E-01 , 4.98641656858401366E-02 )
( 2.98134531294322547E-01 , 2.08823592571548353E-02 )
( -1.21904693624309474E-01 , -1.94245746524169954E-01 )
( 2.58538133799181696E-02 , -1.42409915217689420E-02 )
( -1.42823407937499897E-01 , -1.75996972548331937E-01 )
( -6.25926074492673679E-02 , 1.47281980218713110E-01 )
( -1.30378594525295377E-01 , 5.95980454487406094E-02 )
( 4.48194347510727717E-02 , 6.47845525673828998E-02 )
( 2.73080361557322182E-01 , 1.10937842324971309E-01 )
( 6.63585690776900133E-03 , 1.29813912942550458E-01 )
x=2,y=0,z=0,t=0
( 3.80048343549725803E-02 , 5.71719417728731721E-02 )
( -4.72633481393506874E-02 , -4.34243643525460618E-02 )
( 1.01720049643946167E-01 , -6.44343660153376407E-02 )
( -4.83963125176514672E-02 , -1.01428003313067644E-01 )
( -1.46530017140125590E-01 , -7.30600344132829455E-02 )
( 9.20938926092952220E-02 , -1.38085287982548988E-01 )
( -1.35357616421722948E-02 , -1.28456255498161975E-01 )
( 1.18315618140843140E-01 , 5.02494834923920899E-02 )
( 1.77204991321704350E-02 , -2.89970109027179353E-02 )
( -1.75424641150121602E-02 , -9.84975710800781029E-02 )
( -2.66331538619817565E-02 , -8.40291461357390579E-02 )
( 2.54503870440242683E-02 , 6.96491494834639152E-02 )
x=3,y=0,z=0,t=0
( 6.66249819687548817E-02 , 1.12091646845877607E-01 )
( 1.58610801968522341E-01 , -1.89719230187898436E-01 )
( -4.86774837802329413E-02 , -2.21494307767633763E-01 )
( 3.79257460039225669E-03 , -7.82329039626362688E-02 )
( -2.11793671036287698E-02 , -7.25820227897042147E-02 )
( -1.43553674114998947E-01 , 2.11447314377150863E-01 )
( -1.25493810894410335E-01 , 2.38946315077032054E-02 )
( -5.74181937103077911E-02 , -8.24859009409364963E-02 )
( 3.17286264695887388E-03 , -1.21761496728114788E-01 )
( -4.75666325672177183E-03 , -4.61061969492090259E-02 )
( 3.46788417833957530E-01 , -4.14346803184591286E-02 )
( -3.20706646263067829E-02 , 9.72167850211525797E-02 )
x=0,y=1,z=0,t=0
( -2.30756221554425461E-01 , 3.84153320114185515E-01 )
( 1.42126677957698122E-01 , -4.36145799730105338E-02 )
( 1.21307905347689343E-01 , -1.86611988431555520E-01 )
( 6.19315022940285509E-02 , 6.93540361258280780E-02 )
( 1.39734000669540670E-01 , -1.28908956794824864E-01 )
( -1.44351224615956231E-01 , -9.38214726884011169E-02 )
( 1.14742865327949362E-01 , 1.48369627589420822E-01 )
( -1.10557029123808839E-01 , 2.40862889024072102E-01 )
( -9.38636414674388908E-02 , -5.70676612138241307E-02 )
( -2.76916559009508789E-03 , 2.72906250224682345E-02 )
( 4.50714815831964322E-02 , 1.44053619988736892E-01 )
( -1.17961533014237549E-01 , 2.47915613867216472E-01 )
x=1,y=1,z=0,t=0
( 9.58965840294886546E-02 , 1.97821402911260817E-02 )
( 1.81958930123728102E-01 , 8.17364891702991037E-02 )
( 5.41075843367669340E-03 , 4.74058207835395123E-02 )
( -5.80447478324294872E-02 , -6.23159872726409270E-02 )
( -1.18040497031889277E-01 , -8.80268156688394782E-02 )
( 8.30586058821293494E-02 , 6.94635945771329699E-02 )
( 9.54104508934682377E-02 , 9.06474348941441327E-02 )
( 5.06046741683444309E-02 , -1.11753516121440494E-01 )
( -2.80287927097749578E-02 , -3.81910679331874392E-02 )
( 1.04039779547829780E-01 , -4.00572191056355748E-02 )
( -4.57992957031270742E-02 , -1.99885183411648598E-01 )
( -1.41899521069086432E-01 , -1.10672341153174023E-01 )
x=2,y=1,z=0,t=0
( -8.88235250231413087E-03 , -2.79283039312040321E-02 )
( 9.30711864159765589E-02 , -1.68235345962311184E-01 )
( 1.42411514418103402E-01 , 1.51358124293621329E-02 )
( -6.59204821734550583E-02 , -1.53802654699591590E-02 )
( 1.33276659629106120E-01 , -1.25377204316713398E-01 )
( -2.21842100235832979E-02 , 1.84205101908472835E-02 )
( -1.54040351406004639E-01 , 3.94189484288566955E-02 )
( 2.24335652299018307E-01 , -1.52064123400240891E-01 )
( -5.39096370120741367E-02 , -3.81317840920968668E-02 )
( 2.17967019502438089E-02 , 3.20143750060615032E-02 )
( 1.04181924027753198E-01 , 1.29415642807159476E-01 )
( 1.42935255091844848E-01 , -2.89439816108797883E-02 )
x=3,y=1,z=0,t=0
( -1.99232533895809805E-02 , -8.53776684498020327E-02 )
( -9.12709270454905436E-02 , 1.00623468673302754E-01 )
( -2.66594319005708069E-01 , 1.31323904824292431E-01 )
( -1.21439426401310155E-01 , 3.71228811209147885E-02 )
( 2.64708128247885845E-02 , 9.42563152501443152E-02 )
( 1.11419850893471534E-01 , 7.23366997826340868E-02 )
( 2.25615610190503350E-02 , 1.23354759373847239E-02 )
( -2.71379555698446698E-02 , 5.44539994809810496E-02 )
( -7.02134203870560802E-02 , -3.94525034561981347E-02 )
( -1.18238236784758796E-01 , -1.16083234029169258E-01 )
( -8.22629072462475325E-03 , -2.29681276739194723E-01 )
( 3.34321752012952805E-02 , 2.40557443040578037E-02 )
x=0,y=2,z=0,t=0
( 2.25482688328733083E-02 , 2.06385607655561604E-01 )
( 1.42557373889477812E-02 , -3.43832210339767019E-02 )
( 8.88571943327024771E-02 , -1.98122942991280332E-01 )
( 6.14238136825493164E-02 , -1.62425136243761897E-01 )
( 1.24970585609702034E-01 , -1.02242978535458773E-01 )
( 1.96535590054682380E-02 , -2.84299681304009261E-02 )
( -2.38520045872469555E-01 , 4.96249363990339046E-02 )
( -1.66481226689082107E-01 , -1.26246179923704016E-01 )
( 2.32447564715322699E-02 , -1.99477051092056684E-02 )
( 1.55572973017905208E-01 , 2.93244217183293888E-02 )
( -4.77454189110541952E-02 , 1.75628530101023250E-01 )
( -1.04802397760743488E-01 , 5.96293311577134333E-02 )
x=1,y=2,z=0,t=0
( -2.93695361580777803E-01 , -3.19863799870618304E-02 )
( -8.48134810383170956E-02 , 9.86046224148663386E-02 )
( 1.29678975137403091E-01 , -4.94802702910784320E-02 )
( 1.47752517800900721E-02 , -2.54607195345776416E-01 )
( -2.43765011034639156E-01 , 1.30393835231302796E-01 )
( -7.64824200603234083E-02 , -5.83386604362014852E-02 )
( 1.29924874936247436E-01 , -1.90313696444180808E-01 )
( -5.58405288878035394E-03 , -6.95067507280711788E-02 )
( 1.48984078677800835E-01 , 8.00282943850505329E-02 )
( -1.59387379430025206E-01 , -5.87155261601971790E-02 )
( -6.27949386084225153E-02 , -8.86134114609509888E-02 )
( 1.61389788698863196E-01 , 1.71792958149599134E-01 )
x=2,y=2,z=0,t=0
( 5.38075238596291694E-02 , 2.50696358736647529E-01 )
( 3.57721669141255402E-02 , 3.96130410819583445E-02 )
( -1.32227756669054092E-01 , 6.86696354630491890E-02 )
( -1.91496965820200579E-02 , 5.26803571461179759E-02 )
( 2.67892597114426853E-02 , -6.74874245235527609E-02 )
( 2.28940965751937876E-02 , -2.81814991241223278E-01 )
( 3.27328752207918516E-02 , 7.04018214658648361E-02 )
( -9.70516499246523376E-03 , 1.46811483472390980E-01 )
( 6.21841801328144733E-02 , -6.61434265411357247E-02 )
( 8.30612542485616862E-02 , 1.28284304664136650E-01 )
( -1.04273812712069577E-01 , 1.88698120319407345E-02 )
( -4.41675094101602467E-02 , -1.67861314006133910E-01 )
x=3,y=2,z=0,t=0
( -8.72723148376668145E-02 , -6.77262174270293858E-03 )
( -1.07382645267392468E-02 , -1.81995176123258620E-02 )
( -1.72047176825543796E-01 , 3.36888206781483027E-02 )
( -1.27514945078879449E-01 , -4.37078195448830434E-02 )
( -8.38587656822985250E-03 , 6.30136508503669757E-02 )
( 6.91678592177666640E-02 , -1.79931991833975125E-01 )
( 1.42253714562251832E-01 , -1.82603976585655470E-01 )
( -6.00154848418159859E-02 , -7.13351624248850791E-02 )
( 4.26521340698713530E-02 , -8.99927292271028578E-03 )
( -3.01229685703858843E-02 , -1.50140692937360654E-01 )
( 1.78322133884227907E-01 , 1.28393400752388143E-01 )
( -4.49704581966657510E-02 , 2.55441140848680970E-01 )
x=0,y=3,z=0,t=0
( 5.99301127727729921E-02 , 1.82498410091653185E-01 )
( 2.37840795708121444E-01 , 1.68985615345563292E-02 )
( -9.05659555965799279E-02 , 3.21486330970557760E-02 )
( -1.15099913344989480E-01 , -3.97964459838867149E-02 )
( 1.32716986244478738E-02 , 7.10840387383004785E-02 )
( -1.30801036211132288E-01 , 3.79536031747146133E-02 )
( -5.02330989253007218E-02 , 6.76015791169524566E-02 )
( 3.54824556221702905E-02 , 9.62839349793092880E-02 )
( -1.40141252050720061E-01 , -5.53344719426380055E-02 )
( 8.63837209296949571E-02 , -1.33903683348157276E-01 )
( 3.35238415336261350E-02 , -1.49579654788762562E-01 )
( -1.48581817581375425E-01 , 6.49344594514400103E-02 )
x=1,y=3,z=0,t=0
( -2.94726152107943395E-01 , 2.62994274428984764E-01 )
( -1.12570609448800096E-01 , 1.63366712612045606E-01 )
( 2.42328066984395463E-01 , -1.49410320952326398E-01 )
( 3.42987496141861983E-02 , -2.53460525220100208E-01 )
( 2.48012123100195186E-01 , 7.60291636504955709E-02 )
( -1.86791667662477651E-01 , 1.16887226259174137E-03 )
( -2.87254117727415992E-01 , 1.95299333883803661E-01 )
( 3.25865913720059464E-01 , 2.14758621818068346E-01 )
( -2.53303778159567783E-01 , 6.14359233628053378E-02 )
( 6.01006939517488431E-02 , -1.47959888403661532E-01 )
( -4.49989696011017654E-02 , -4.45338476268585595E-02 )
( -1.29086547291537956E-01 , 1.38179723973202273E-01 )
x=2,y=3,z=0,t=0
( -1.63574624562163422E-02 , 3.16193655710360483E-02 )
( 8.71989720520057188E-02 , -2.03061893610000044E-01 )
( -1.85516115157700300E-02 , -8.64155991868365975E-02 )
( 1.12324732434864100E-01 , 6.36040347269212908E-02 )
