x=0,y=0,z=0,t=0
( -6.28420355646789868E-09 , 1.26847745981777079E-08 )
( 6.22886464698312814E-09 , 1.05070794328101172E-08 )
( 6.64941709350584749E-09 , 4.97755391202813921E-09 )
( 1.38877806488256918E-08 , 1.13430447849984332E-08 )
( -8.97192598828788893E-09 , 9.84339635712673568E-09 )
( 5.03607436226772552E-09 , -9.10534522501620522E-09 )
( 5.15084083841280169E-11 , 7.63955970766581644E-09 )
( -1.76234410104838757E-08 , 1.98134759114538397E-09 )
( 1.07296505481021179E-08 , 9.73570232993344756E-09 )
( -2.30833312285536199E-09 , 5.20766718409302152E-09 )
( 6.32599559730136142E-09 , -4.67357249390567859E-09 )
( -2.20423226762825018E-09 , -2.00273969239836887E-08 )
x=1,y=0,z=0,t=0
( 1.14976268332642427E-08 , 7.11223329429397266E-09 )
( 1.36806240119086292E-08 , -6.95782135786809182E-10 )
( 1.46433103406840203E-08 , 3.22388169492099437E-09 )
( 2.53653902176375730E-10 , -6.14421420755309610E-09 )
( -6.46213945671747338E-09 , -2.29938748922541306E-08 )
( 1.20815809712282006E-08 , -7.49762897178257096E-09 )
( -3.74264702955276030E-09 , -3.55570316460138660E-09 )
( 4.20472375834346301E-09 , 2.16590569919298966E-09 )
( 1.35221829775484213E-08 , -5.10579071338649611E-09 )
( 7.85637591595820335E-09 , 8.82165352494430791E-09 )
( 2.51227594173161663E-09 , 1.32913251958197873E-08 )
( -1.00331772777778125E-08 , 3.83899345599568059E-09 )
x=2,y=0,z=0,t=0
( 1.66855167749158070E-08 , -3.42341675526202256E-09 )
( 1.27786658309929637E-09 , -6.53545968277907613E-09 )
( 1.09446652266591450E-08 , -5.58358539450396378E-09 )
( -2.52606891923737286E-09 , -2.36416915035618547E-09 )
( -7.90705204312769924E-09 , 5.52907619744634014E-09 )
( 8.51147453217326764E-09 , -6.25645229157979783E-09 )
( -4.60932913521692090E-09 , 1.35025194056529970E-09 )
( 9.32264524267864300E-09 , 1.53529922440619643E-09 )
( -1.70830138213388437E-10 , -1.37853688403000616E-08 )
( -9.38614272657182355E-09 , -1.32935964032306666E-08 )
( -5.24613823003645304E-09 , -3.75580924906548965E-09 )
( 2.14612600717365301E-10 , 9.14582040206022596E-09 )
x=3,y=0,z=0,t=0
( -1.82944791425326018E-08 , 2.56724921503586916E-09 )
( 8.60354590782505711E-09 , 1.23585219347273895E-08 )
( 9.08339321828367496E-09 , 3.25917611250452066E-09 )
( -1.14798659053625188E-08 , -6.66418184280049479E-09 )
( -4.19653034379245731E-09 , 3.06794644178169679E-09 )
( 1.09449504263370110E-08 , -2.39204518385617608E-08 )
( -1.61339981442181102E-09 , -6.86645601442059102E-09 )
( -2.55859530900383366E-09 , 6.84593939266744201E-09 )
( 1.10999033758170513E-08 , -3.08127215805330421E-09 )
( 3.51551788629946296E-09 , 1.17940028380371681E-08 )
( -1.66360504518671762E-08 , 4.65355148719869262E-09 )
( -1.09294376522997171E-08 , -2.05601256285282091E-08 )
x=0,y=1,z=0,t=0
