index: 0
( 7.87354529098757927E-06 , -2.07755738664814286E-06 )
( 3.07888464712754471E-06 , 3.81368398323993609E-06 )
( -1.02181680270762592E-05 , -2.89452865169488491E-06 )
( 4.19786239537815631E-06 , -5.26662570296484164E-06 )
( -3.54180652736436327E-06 , 5.32235563487810790E-06 )
( -5.22802277348624020E-06 , 2.53751114347124650E-06 )
( 2.47510603143261423E-06 , -9.91529949762128759E-07 )
( -3.62512140151639221E-06 , 1.29513612396367705E-05 )
( 3.41883481683467036E-06 , 6.29557439062379993E-06 )
( -1.15891813787843253E-05 , -2.40058698852972272E-06 )
( -4.11031243271861476E-06 , -2.98916253079150986E-07 )
( 5.74916400776907239E-06 , -2.60244700533209028E-06 )
index: 1
( 1.74611831221790697E-05 , -2.73204355930867701E-06 )
( 7.94541075083731029E-06 , -6.92339678947767382E-06 )
( 2.94005257645248579E-06 , -7.25749374782959831E-06 )
( -4.58831878531309856E-06 , -1.35041731970747510E-05 )
( 6.64261171645549057E-06 , -6.32808695311507538E-06 )
( 4.79736066090236540E-06 , -4.64217450515478209E-06 )
( -1.32276185615371613E-06 , -4.89937414028860006E-06 )
( 2.78814553266575692E-06 , -8.32550814917930245E-06 )
( 1.09252493260704668E-05 , 2.81977360887425284E-06 )
( 1.60149147586295201E-06 , 8.22230109540966779E-06 )
( 1.17458315068254336E-05 , 2.13264647687493607E-06 )
( -1.17515104414429586E-05 , 2.90024426733092365E-07 )
index: 2
( -1.16566283749950563E-05 , -1.32474185110552438E-05 )
( -4.69514886596843296E-06 , -1.93378692589349584E-05 )
( 4.51004863275933818E-06 , -1.29885525028064451E-05 )
( 5.27953955955856831E-06 , -1.99051824570055860E-05 )
( 1.10953192142987281E-06 , 2.54991708083328379E-05 )
( -5.56209214084033074E-06 , 2.64584969679358686E-06 )
( -2.74601154500242029E-06 , 1.62882582529141579E-05 )
( -1.47871499812942832E-05 , 3.72114165548434938E-06 )
( 7.55886310396993938E-06 , -2.12636329108951276E-06 )
( -5.83432961349761655E-06 , 9.09286070985725695E-07 )
( 2.00821523581989400E-06 , 5.94539301437114986E-07 )
( -1.03142448464713684E-05 , -9.40178310458891664E-06 )
index: 3
( -9.29089236327922673E-06 , -1.75700933588855361E-06 )
( -6.58626356731879400E-06 , -1.56127628582576890E-05 )
( -7.49463878192697863E-06 , -6.62864013128121614E-06 )
( 1.23168845321828659E-05 , 3.68332345535048997E-06 )
( -8.26270181532003956E-06 , -1.24243498590761427E-05 )
( 9.66815055335057139E-06 , -1.04221543916112285E-05 )
( -1.33629827258278025E-05 , -3.06060585946171612E-06 )
( -4.55973071621795490E-06 , 2.12697084034164183E-05 )
( 2.45822449835547660E-06 , -4.28137641528076251E-06 )
( -6.78279415648825019E-07 , -3.49392927258097355E-06 )
( 2.49022633848842454E-06 , 1.28763093836249999E-05 )
( -4.37411419886518848E-06 , 4.79184910310483594E-06 )
index: 4
( 6.86153494396811810E-07 , -1.24587449584810517E-05 )
( -6.00844481229010737E-06 , 1.01000487900538552E-06 )
( -1.63385523640432310E-06 , 1.62486534551225574E-06 )
( -6.41914961138570212E-06 , -8.34619924763283880E-06 )
( -3.84766183334980042E-06 , 1.61030720369229193E-06 )
( -2.93867366011110540E-06 , 4.78088494919102771E-06 )
( -2.67711327912503726E-07 , -1.26855357376966383E-05 )
( -1.57467427632380355E-06 , 2.33235600849206979E-07 )
( 1.29505629003988926E-06 , -4.84894557096861626E-06 )
( -1.13559832454948234E-05 , 7.06383851069179062E-06 )
( -1.77788065879278723E-05 , -4.52192611982544149E-06 )
( 1.68959964983482994E-06 , -3.07783147193515943E-06 )
index: 5
( 1.33207291924531180E-05 , -4.46880662388258322E-06 )
( -3.47031843920052289E-06 , 1.74116492193052167E-06 )
( 3.77704933968102121E-06 , -5.27508631745271870E-06 )
( 6.43508507725731208E-06 , 2.92255712509429000E-06 )
( -3.93729880312226368E-06 , -5.30089893262415346E-06 )
( -4.32562407007991332E-06 , 1.89271351282057078E-06 )
( -2.48886779098430168E-06 , -1.23528074891791526E-05 )
( -5.22078071775235699E-06 , 1.12215042426349647E-06 )
( 1.25580264160172422E-05 , -2.02758724830940481E-06 )
( 1.01302747611428907E-05 , 7.20205758779507831E-07 )
( 1.64229939421590791E-06 , -9.49063459725644966E-06 )
( 8.55274007424897154E-06 , -3.36040692827896922E-06 )
index: 6
( -4.21024592724128516E-06 , 4.46862788278696815E-06 )
( -3.56625384763844858E-07 , -8.96933123950324871E-06 )
( 1.30040426994741599E-07 , 1.12491203881979180E-06 )
( 6.37735639661741326E-06 , -9.91961578857591883E-06 )
( 2.37191058061509833E-06 , -1.78965394808600118E-06 )
( 3.16721595091299350E-06 , -4.90817660180543262E-06 )
( 4.74046267410708920E-06 , 1.53245653560079510E-05 )
( 1.96568461588311362E-05 , -4.08010150641598833E-06 )
( 1.00874682970194386E-05 , -9.95053998280760721E-07 )
( 2.02448940465487966E-06 , -1.12316981714147969E-05 )
( -1.63025028367360292E-05 , -7.56333366411279875E-06 )
( -1.36588437014448494E-06 , -8.83900989171808148E-07 )
index: 7
( 1.03349470389832313E-05 , -2.59776127075586281E-06 )
( -2.54760976416931789E-06 , 5.92835028558977870E-06 )
( -1.42036186607043216E-05 , -4.95571087719242493E-06 )
( 8.43822520227079526E-06 , 4.45264762596220212E-06 )
( 5.24292548742526628E-07 , 2.04482062538291951E-06 )
( 6.10000759089050251E-06 , -8.13840521879007586E-06 )
( -5.27230640077353826E-06 , -1.25503726016025938E-05 )
( 1.23852275433252133E-05 , -5.40233757147094773E-07 )
( -2.05727726309999222E-06 , 5.33819909424539506E-06 )
( 4.40542699107688642E-06 , 6.09898527283348964E-07 )
( -3.21637838952622947E-06 , -2.91173997138368036E-06 )
( -1.19203437862487950E-05 , 2.94531599516843641E-06 )
index: 8
( 1.28914310248237927E-06 , 5.49056710492196370E-06 )
( -7.24757953745908726E-07 , 4.58786126622272016E-06 )
( 6.06727861714925415E-06 , 9.22241973334507646E-06 )
( 6.50070928289423118E-06 , -1.94970732592345262E-06 )
