index: 0
( 4.34071578366964089E-09 , 1.00233545002711965E-08 )
( -3.20526653795611315E-09 , 3.56466582957994744E-09 )
( 1.50551205371037011E-08 , -5.11559966578527363E-09 )
( -1.23621086209007067E-09 , 1.52690167987658735E-09 )
( 2.70399782934529256E-09 , 3.92188786900685616E-09 )
( -2.43325452510318111E-09 , 1.20573225447044802E-09 )
( -7.82813363422145977E-09 , -2.27449195737128217E-09 )
( -1.24382517728643279E-08 , 5.93869699762743802E-09 )
( -1.16598597111317672E-09 , -1.45479048975502034E-09 )
( 7.75737005205076694E-09 , -1.61672715820261121E-09 )
( 5.13549480405353148E-09 , 1.97429123115946828E-09 )
( 2.42454684336773254E-09 , -7.01075350120639731E-09 )
index: 1
( -1.73265194686274590E-09 , -1.12691799000238105E-09 )
( 6.08749273123215211E-09 , -1.87519433476572797E-09 )
( -6.80255314951573912E-09 , -7.04054845099059177E-09 )
( 7.61024807575272367E-09 , 4.49302680139133677E-10 )
( 7.15786151358244214E-09 , 6.28350914975338446E-09 )
( 6.37911259586590754E-09 , -1.20643061033499902E-08 )
( -3.09065591820961572E-09 , -1.09275836688340207E-09 )
( -6.37336326066518975E-09 , -2.39668538898299949E-09 )
( 3.53932071216209523E-09 , 3.17295436956701863E-09 )
( 4.08931018504579780E-09 , -2.96858453681581048E-09 )
( 5.72562233581097375E-09 , -4.77347801230767919E-09 )
( 2.81262907609542965E-09 , 4.51634597834029550E-09 )
index: 2
( 5.55897297252338030E-09 , -1.91727889014482696E-09 )
( 8.61469504652409537E-09 , 1.17547968954937333E-08 )
( 9.37631773565731709E-09 , 6.17425373124771192E-10 )
( -4.16655731332553360E-09 , -7.64234023571577201E-09 )
( 2.85273757508081706E-09 , -4.79180660073197582E-09 )
( 1.90614962534467330E-10 , 4.72229551804180171E-09 )
( -2.96603370715156647E-09 , 1.03522079706459855E-09 )
( 1.50011285561577011E-09 , 1.83982641202568796E-09 )
( 2.82608391798728833E-09 , 2.83990969884296982E-09 )
( -8.17933085736691064E-09 , 2.34007330429909503E-09 )
( -2.92628387019754606E-09 , -2.77327070846378202E-09 )
( 1.38563889505706579E-08 , 3.37905901959470124E-09 )
index: 3
( -5.37186750915659905E-09 , 3.05802684436498042E-09 )
( -3.91444351651814280E-09 , -7.33346622418644155E-10 )
( 8.61125701128876147E-09 , 1.24257802116375752E-08 )
( -1.08440107491923015E-08 , 4.19265158609440206E-09 )
( -1.06728108285124309E-08 , -1.21903358510743494E-08 )
( -9.53186609722702019E-09 , 1.16447174970767110E-08 )
( 3.72406977200224356E-09 , -9.10456207124811955E-10 )
( -4.86376576374491152E-10 , -1.00179397349565250E-08 )
( -4.96236142000213571E-09 , 5.11495093916353847E-09 )
( -8.32601511722884562E-10 , -7.26666334586229786E-09 )
( 2.92252331251306778E-09 , -1.15602811343198949E-08 )
( 2.27543410077383070E-09 , 1.04577002192008295E-08 )
index: 4
( -1.16038496069787120E-08 , -1.06104166994748487E-08 )
( 2.76148432698470572E-09 , 1.16513385667447999E-08 )
( 2.21028739205860478E-09 , 1.14750852546519480E-08 )
( -8.76796326096142709E-09 , 9.46645549773055825E-10 )
( -5.90376601806971927E-09 , 4.33229753658870325E-09 )
( -8.32301667669838651E-09 , -3.21091755792915148E-09 )
( 2.64763531973113694E-09 , -1.10555428664831591E-08 )
( 5.08968607280268737E-09 , -4.05222109801931668E-09 )
( 3.27363945571623463E-10 , 5.24807901398344238E-09 )
( 5.48729132640825389E-09 , 5.59003648833783613E-09 )
( -9.11169447048814891E-09 , 2.16076991492628322E-09 )
( 3.76007312911639813E-09 , -4.71209276824127810E-09 )
index: 5
( -4.92400992604125766E-09 , -3.35524665865961790E-09 )
( -1.31331057234301074E-09 , -3.78335077192723207E-09 )
( -6.72564714695028616E-09 , 9.96540385271780191E-09 )
( -4.57151912841049263E-10 , 6.82111393527098652E-09 )
( 7.54797271445748299E-10 , 7.39459746710667668E-09 )
( -1.57640038717593418E-09 , 5.36064120417029121E-09 )
( -5.13501381988211031E-09 , -2.14679167433322491E-09 )
( -1.76397721757463486E-09 , -2.11528268517432379E-09 )
( -2.34978571575877738E-09 , -5.20482926682933892E-09 )
( 2.93015018066518704E-10 , -1.00770157537434372E-09 )
( 8.31973815091903187E-10 , 1.14067299801481525E-08 )
( -1.14297708248967569E-08 , 2.34709517918315948E-09 )
index: 6
( -4.35031372692370322E-10 , -1.22447789852994004E-09 )
( -1.09326017959526100E-08 , -2.88110253129572488E-09 )
( 4.42437176360487428E-09 , 1.17544464029727918E-08 )
( -2.73660340696087177E-09 , -5.34476871145569786E-09 )
( 8.93223814422482265E-09 , 8.25784266925673375E-09 )
( 7.89273061527044055E-10 , -1.25903261349175455E-09 )
( 2.66824893179139006E-09 , 7.13924846806144158E-09 )
( 5.63532890075295302E-09 , -6.89581631843541850E-09 )
( -6.54420476508188120E-09 , -1.48962207719532319E-10 )
( -7.56494997137635874E-10 , 5.68577042027167559E-10 )
( -5.36359090068643290E-09 , 5.29223776747157161E-10 )
( -6.36186814390614006E-09 , -4.93225245591932531E-09 )
index: 7
( -4.76250160850798350E-10 , 5.06122440915559751E-09 )
( 6.54987763959743680E-09 , -2.63189414320240982E-09 )
( 6.50845494327045943E-11 , 7.05197355133198732E-09 )
( -1.03640467072186821E-08 , -4.36326529038159359E-09 )
( 6.72298689052096927E-09 , 1.09348020865808770E-08 )
( -5.92939405552004877E-09 , -1.26181293991412322E-09 )
( -1.00340633573789062E-08 , 8.12444802768130740E-09 )
( -1.57621166191485801E-09 , 2.93391019174316369E-09 )
( -1.16748258410789070E-08 , 1.77208624224612833E-09 )
( 6.14172794238681308E-09 , -7.45024182540763902E-09 )
( -7.39400116216406920E-09 , 1.98877115545204716E-08 )
( 5.69938312909146649E-09 , 5.87662213281703068E-09 )
index: 8
( 2.12709286704410576E-09 , -2.78687095465823971E-09 )
( -3.54406845155787316E-09 , -3.82425898074329973E-09 )
( 1.49481501642499380E-09 , -8.71297720271351903E-09 )
( 4.54502280557511642E-09 , -7.59496764800941463E-09 )
( -7.60342837178794764E-09 , -5.27830698327946997E-09 )
( -3.69245825715101005E-10 , -4.66219279056264104E-09 )
( 2.31789834993937213E-09 , -4.15098192474235874E-09 )
( -7.72595018053698927E-09 , -3.63865247053200254E-09 )
( -3.40222292489671902E-09 , 7.96330741769571631E-09 )
( -5.45208354736732725E-09 , -6.89138187693886671E-09 )
( 4.18166563554982281E-10 , -3.34917817080656699E-09 )
( 1.97635417310447901E-10 , -1.15698826356498616E-10 )
index: 9
( -2.73329686278501097E-09 , -1.04264178858486431E-09 )
( -5.52523853243840117E-09 , 8.13663472833341887E-09 )
( 8.56307767528866272E-10 , 9.42187142778401769E-10 )
( 2.58253427533349016E-09 , 4.12558167888356691E-09 )
( 4.38459827323771384E-09 , -3.22250339377365792E-09 )
( 1.30880775179348153E-08 , -2.87985949288590249E-09 )
( -5.58717234526567992E-09 , 6.65629754058278603E-09 )
( -3.98574953315031818E-09 , -1.72817648923833519E-09 )
( -6.13864701246328866E-09 , 4.23181530473538331E-09 )
( -9.14670547150013674E-09 , 4.93695508755503002E-09 )
( -1.60021663654595433E-09 , 7.73997137673078002E-09 )
( -5.34686616742841114E-09 , -6.03909971774210914E-10 )
index: 10
( -2.72183658637729808E-09 , -1.85652621276821128E-09 )
( 1.69473689156184865E-08 , 1.67502382213511315E-09 )
( 8.62511526633239729E-09 , -5.00918659017815450E-09 )
( -3.42485819749270342E-09 , 3.74574223792474196E-09 )
( 9.11706471452785313E-09 , -8.61387654666537663E-09 )
( -3.06543767074876624E-09 , 1.38497067053130050E-09 )
( -9.14031751629780039E-10 , -9.96312430533320021E-09 )
( 1.14719937692574468E-08 , 4.87769074836720562E-09 )
( -2.98424433305520574E-09 , -8.51547914512178524E-09 )
( -2.34244603246273238E-10 , -5.05778222305404041E-09 )
( 8.29888694813964261E-09 , 4.13037973210538166E-09 )
( -1.27716357206476521E-08 , -5.22759610198205960E-09 )
index: 11
( -4.87256943420486718E-09 , -3.03505672391279501E-09 )
( -8.01770827259591730E-09 , 7.33977322481516646E-09 )
( 1.08131462731174880E-08 , 4.17637667187168500E-09 )
( 1.63297758251230164E-12 , 9.79702926857730382E-09 )
( 9.77191073255550560E-09 , 7.97444502413619841E-10 )
( -7.59209824152250397E-09 , -2.00817233786030439E-09 )
( 2.39407090076675513E-09 , 5.29345219007449526E-09 )
( -8.81935034505686405E-09 , -4.81569127176296468E-09 )
( 7.45119786500628655E-09 , -3.43271939814753473E-09 )
( 5.20744550986682340E-09 , -1.04459312442115838E-08 )
( 3.29285439114440373E-09 , -1.99241421689287711E-09 )
( -2.90841702925476608E-09 , 1.43006150600925041E-08 )
index: 12
( 5.13088590086957836E-09 , -6.25906880375821282E-09 )
( 4.02798744346809868E-09 , -1.72740183479237028E-09 )
( 1.22511564997762090E-09 , -4.85344974771782435E-09 )
( -1.32978716435550088E-10 , 8.04635008643023653E-09 )
( 6.54827337114759408E-09 , -6.28103540920623384E-09 )
( 9.82417584043498695E-10 , -8.64568300944321298E-09 )
( -5.92818343096838063E-09 , -7.31860088281675071E-09 )
( -1.78191280546765782E-09 , 8.35932566643672333E-09 )
( 1.87033635266841316E-10 , 1.48000246546645726E-10 )
( -3.38041642421350374E-09 , 6.44102444311755779E-09 )
( -1.32323727259840293E-09 , -6.47058447924041566E-09 )
( 3.62988914234007747E-09 , 4.88809478169091394E-09 )
index: 13
( 5.20058731870557503E-09 , 2.54718994568730833E-09 )
( 3.50855349421832901E-09 , -2.00535749303809085E-09 )
( 1.31754381946609549E-09 , -3.84090526629572097E-09 )
( -4.21624380634092285E-09 , -6.98151524686483125E-10 )
( -8.18982130307686967E-10 , -1.63597352741278573E-09 )
( 1.93948806235116404E-09 , -1.61585123362592229E-09 )
( 3.38451672172794399E-09 , -1.61909003790991085E-10 )
( 2.48347550573876154E-09 , -7.39387134601546711E-10 )
( -4.63398744116518213E-09 , 1.03341121855741764E-08 )
( -6.90269257553205815E-09 , 6.27768048271646635E-09 )
( -1.97691198705423729E-09 , 7.80305643743303646E-09 )
( -8.57940822312804406E-09 , 1.62728301743657555E-09 )
index: 14
( 2.61774388153163866E-09 , 2.24472868464679491E-09 )
( -3.10534402410242507E-09 , 1.63592014873043815E-09 )
( 1.13290719995164251E-09 , 1.51263621335483708E-09 )
( 4.50862139731819372E-09 , -8.14552650998538171E-10 )
( 2.52684710861753135E-09 , -3.91208339032297019E-09 )
( -4.52492756385576997E-09 , 1.26856791834850865E-08 )
( -5.68946977709532142E-09 , -7.86666837631649888E-10 )
( -5.21592203067550346E-09 , -9.74998156725007531E-09 )
( 4.49278977399352683E-09 , 7.02449514499375528E-09 )
( -7.07114062645088621E-09 , 5.73248245341964530E-10 )
( 1.44295142357264731E-08 , 3.65424664316318022E-09 )
( 3.61147735284553440E-09 , -2.00807995651190942E-09 )
index: 15
( 4.30859888150651982E-09 , 1.46819597656135047E-09 )
( -1.20948538916626777E-09 , 5.43813100443644510E-09 )
( 7.16645515399909958E-09 , -1.82186852442508629E-09 )
( 1.77165537919945518E-09 , -8.31573989282808398E-09 )
( -1.01116023153904501E-08 , -7.71083354584655681E-09 )
( 1.50755537518874285E-09 , -7.77652175466137749E-09 )
( 3.17713606094982862E-09 , 5.81136901306279245E-10 )
( -6.61070302870253287E-09 , -8.37757243428650403E-09 )
( 4.72548653800934258E-09 , 9.37206643744928740E-10 )
( 4.19276277952888081E-09 , -9.13648894554963537E-09 )
( 3.60605882171479708E-09 , 7.62153695488306304E-09 )
( 2.10582089450936943E-09 , -1.88703412309827364E-09 )
index: 16
( 1.03642871677282978E-08 , -9.29573573951614612E-09 )
( -9.30794826693597603E-09 , 4.45569650791191426E-09 )
( 1.03241816204229639E-08 , -4.10511968486172986E-09 )
( 5.20503684073190971E-09 , 8.77762996460236287E-10 )
( 8.57684780898102327E-09 , 7.20411942353631048E-09 )
( -9.57139914892578933E-09 , -1.41353436881674006E-09 )
( -5.58230148634159218E-09 , 4.87940110237234806E-09 )
( -1.02820042903705742E-08 , -4.17771412852625246E-09 )
( 3.66006808547949076E-09 , -3.28736853669599672E-09 )
( 1.50939506384004527E-09 , 2.50110486783515497E-09 )
( 6.77580158633248585E-10 , -1.93038167003515714E-09 )
( -5.71003565667347493E-09 , -9.96193826127755164E-09 )
index: 17
( 1.14500410705807059E-08 , -7.80782761971257506E-09 )
( -2.93267866154569417E-09 , 4.41142143212692911E-09 )
( 5.66048698362203608E-09 , -1.06650113282386129E-08 )
( -7.07746637046690595E-09 , -4.62713326085877723E-09 )
( -6.23579941331363670E-09 , -7.49944295863431267E-09 )
( 6.84853207800200302E-09 , -8.58161266703488156E-09 )
( -7.52587382199235203E-09 , 7.25098375974629576E-09 )
( 1.96651232478000964E-09 , -5.05788417590954671E-09 )
( -1.13973837828436911E-08 , 1.07498076275316167E-08 )
( 1.26967171563068645E-08 , -6.22851877191294534E-09 )
( -1.82317323613166234E-09 , 5.65520423835902084E-09 )
( 1.73970374742920709E-09 , -1.05719889974012120E-08 )
index: 18
( 1.30724011831579791E-08 , 2.39890742630956169E-09 )
( 3.81447818868654704E-09 , -1.28165888673993376E-08 )
( 1.88129784403409946E-09 , -4.37257055984106711E-09 )
( -1.17910456083915120E-09 , 1.00376923702411896E-09 )
( 4.10991452599973268E-09 , 5.88927511954669958E-09 )
( 7.51522910245685218E-09 , 3.74519447714314406E-09 )
( 8.40749230442236418E-09 , -7.41083534064102356E-09 )
( -2.33231148063755955E-09 , 5.34528510009360949E-09 )
( -5.96233826977257150E-09 , 2.42718030928469166E-10 )
( 5.35159874924560882E-09 , -6.03245645619328961E-09 )
( 4.38055838634354538E-09 , 2.04598238455014380E-09 )
( 2.36114129990083674E-09 , -8.13854940490555781E-09 )
index: 19
( -3.87170770188274347E-09 , -9.85307800996038517E-09 )
( -2.18712097759302272E-09 , 1.05825014726245319E-09 )
( 5.76047019946232611E-09 , -3.95838847123868480E-09 )
( 3.85128906339735505E-09 , 4.09570182880463418E-09 )
( 9.96445844306282049E-09 , 5.43485140112759373E-09 )
( -7.08652776982355630E-09 , -7.37335034145148303E-09 )
( 3.22110325122268314E-09 , 1.18783964069680466E-08 )
( 5.42066347354823934E-09 , -3.64106631883144057E-09 )
( -1.51112464779693212E-09 , 4.97187197161916387E-11 )
( 9.81945068008493674E-09 , 2.57112889119753027E-09 )
( -3.90545118513252281E-09 , 1.29293257353339404E-08 )
( -2.74484067688961140E-09 , 2.76975429920768091E-09 )
index: 20
( -1.02543608837166300E-08 , 3.11740125822065906E-09 )
( -4.52696162312627994E-09 , 5.28344519328956150E-09 )
( -7.44662816245492485E-09 , -4.62542379623891844E-09 )
( -5.50634366751228310E-10 , 2.15624468195881638E-09 )
( -5.64847835964362211E-09 , -1.33657933430411560E-08 )
( -1.19286707230626902E-08 , -2.97753119447622821E-09 )
( 1.13651920035136841E-09 , -9.85213318252530391E-09 )
( 5.21869420870104875E-09 , -1.75117207379166625E-10 )
( 8.52373246379062680E-09 , -3.58896768823304348E-09 )
( 4.55749634219349218E-09 , -8.22224689421607280E-10 )
( 6.66613510286512161E-10 , -5.51995776125146180E-09 )
( -7.80217169078295213E-10 , 2.78726139286579529E-09 )
index: 21
( 2.25319581262576138E-09 , -2.33596661487083499E-09 )
( -2.49087424279243888E-09 , 1.05911922969390831E-08 )
( 1.18004777925369911E-08 , 4.48294103415841154E-09 )
( -1.15064335691593830E-09 , 2.22162812904815009E-11 )
( -8.20125367617218391E-09 , -5.93830128783771040E-09 )
( -2.40350463779179319E-09 , -1.02397517756011544E-09 )
( 6.66890018895404151E-09 , 6.25576989846126225E-09 )
( 9.02937733138456468E-09 , -8.53182762442941905E-09 )
