index: 0
( -2.74034544893052552E-09 , -3.30159200548075748E-09 )
( 1.19148303468505334E-09 , 1.49307182455620050E-09 )
( -2.89467233769729004E-09 , -1.96992626848278849E-10 )
( -1.35724742666422334E-09 , 5.57522574039681098E-10 )
( -5.57946049675575901E-09 , -5.58023033949036176E-09 )
( -8.45693517895608027E-10 , 3.85614214743661469E-10 )
( -4.13355404276386030E-10 , 1.02174808758610291E-10 )
( 3.36204704622943064E-10 , -3.02991295862394688E-09 )
( 1.88047482502687397E-09 , -1.85959487160392282E-09 )
( -1.57415800412017800E-09 , 1.85389043734904495E-10 )
( -4.70208497399787947E-10 , -2.20714524796497595E-10 )
( -4.20797720222690061E-10 , 1.58383120478016578E-11 )
index: 1
( 3.56489709369042704E-09 , -2.17457946890751038E-09 )
( -3.04047290413754216E-11 , -3.78411560202042484E-09 )
( 2.52368740883489361E-09 , -1.05515674311252602E-09 )
( -2.22252417957140288E-09 , 9.94135835514419485E-10 )
( 1.00410309157440428E-09 , -1.82125314507027079E-09 )
( -2.23806217207616499E-09 , 1.38917329323529574E-09 )
( -2.40009129207855753E-09 , -1.65063638686547501E-09 )
( -2.66456469930267092E-10 , -3.31323650135464117E-09 )
( 1.08616822862274920E-09 , -2.95460433701765697E-09 )
( 3.83462989932491949E-10 , 1.63627575486330124E-10 )
( 4.02019544227357332E-10 , 1.24894871102799582E-09 )
( -1.94703419213715666E-09 , 6.46081680161851064E-10 )
index: 2
( -6.25154270948322716E-10 , -3.03311563684403825E-10 )
( -4.91287935257750792E-10 , -2.47500858443345937E-09 )
( -2.07227399741187837E-09 , -1.04915459836534579E-09 )
( -2.71890022468339772E-09 , -5.43142640630101442E-10 )
( 1.78232107520881889E-09 , -1.11659865564063211E-09 )
( 7.65696542846509636E-11 , -2.94130488125759287E-09 )
( -1.60815806447450572E-09 , -1.49265328763594819E-09 )
( 4.29814036037653795E-10 , -2.02233576478116267E-09 )
( 1.27479585547166606E-10 , -7.11571005443363312E-10 )
( -7.48755954622981293E-10 , 9.06028992966942042E-10 )
( -2.40373110429453797E-09 , -3.30180460618956891E-10 )
( -2.27795775012055906E-09 , -1.36708330177543980E-09 )
index: 3
( -1.99367644123052375E-09 , -8.06961075238331419E-10 )
( -2.12124316829505199E-09 , 4.41438619224702608E-09 )
( -3.18421369331372793E-09 , -2.02562618594414233E-09 )
( -1.26326724560163105E-10 , 3.39042241173031806E-10 )
( -2.22800872138569020E-09 , 2.74070461069790750E-09 )
( 9.00385320030551572E-10 , 1.47188700971369882E-09 )
( 1.30542708229405549E-11 , 1.12397450811639314E-09 )
( -1.58630960433217839E-10 , -1.95109342737320598E-09 )
( 2.22632915009818742E-09 , -2.82941365916385339E-09 )
( -2.37592938663854153E-09 , -2.02913968133521805E-10 )
( -1.29704720651278962E-10 , 4.03949112712875553E-09 )
( -4.05816772369377217E-10 , -2.85577025038223895E-09 )
index: 4
( -4.59205631896440162E-10 , -1.15370965498734636E-10 )
( 6.33092803675623680E-10 , -5.23135108228128719E-10 )
( 6.21968102902823981E-10 , -3.08022018516927490E-09 )
( -1.13359781629753038E-09 , 3.86796728116357110E-09 )
( 5.51482927632351695E-10 , 1.83124907530272161E-09 )
( 2.08800751089569359E-10 , -4.49567127142354652E-09 )
( -8.63792083346370370E-10 , -4.59765495666861477E-10 )
( -2.84044200327565547E-09 , 4.01952483335639039E-09 )
( 1.44653282427561792E-09 , -1.78175135343749399E-09 )
( -2.42520287084539846E-09 , -4.24623683432916880E-10 )
( 1.33905498040512339E-09 , -2.23879002078270018E-09 )
( 4.29753990891700990E-10 , 1.52765203067640207E-09 )
index: 5
( -3.05009499934549800E-09 , -2.24351506270599238E-09 )
( 3.27733952329520478E-09 , -1.38678408007811048E-09 )
( 1.28978342859489191E-09 , 1.61062399968708254E-09 )
( -4.92567761168879654E-10 , -1.43326034578848475E-09 )
( -2.52480778289337245E-09 , -1.03637956009137595E-09 )
( 2.38933919065327277E-09 , 4.35128012890745659E-10 )
( -5.92396263670255622E-10 , 4.44713010902692251E-10 )
( -2.39121181850039051E-09 , 6.60740530780644691E-10 )
( 1.93318314515075986E-09 , -2.58754835637577759E-09 )
( -9.49653765393527707E-10 , 3.67737081304989079E-09 )
( 1.24955967838590158E-09 , 2.23558350816909276E-09 )
( 6.43978274424921240E-12 , -1.99262042275320935E-09 )
index: 6
( 2.35867745033052770E-09 , 5.21507096168387317E-10 )
