index: 0
( -9.27669129908054255E-04 , 7.32023871905125080E-04 )
( 1.72079778446897853E-03 , -1.54890025039567183E-05 )
( -9.89771134680220935E-04 , 9.52300166830410163E-04 )
( 1.34426976571545712E-03 , -1.48915562206145197E-04 )
( -8.19496474956678982E-04 , 1.91601715632900443E-04 )
( 1.29494590018029270E-04 , 3.59272683488555844E-04 )
( 1.76510400180360748E-04 , -9.33756270681086699E-04 )
( 2.97135016390918591E-04 , 3.28099746200022878E-05 )
( -4.23730010487647626E-04 , 2.17738019861434418E-03 )
( -2.39946015439139676E-03 , -1.76108277115177847E-03 )
( 6.55235212180583322E-04 , 4.97197827379452281E-04 )
( -5.67412894955893025E-07 , 5.24988077254139279E-04 )
index: 1
( -9.88729226543723708E-04 , 1.36456953892731396E-03 )
( 9.20735846527974021E-04 , 2.31040807904376103E-03 )
( -9.14635300098833601E-04 , 9.02250399584404142E-04 )
( -1.24413387805722732E-03 , -1.05670939673961650E-03 )
( 5.13544439467536473E-04 , -3.91797664168965745E-04 )
( 1.71608899954463830E-04 , -6.04641225819238688E-04 )
( 1.53352438981383451E-03 , 1.62162855010339075E-03 )
( -1.15702786840145310E-03 , -7.51279819826805822E-04 )
( -2.13052327706771312E-04 , 1.78595851009384567E-03 )
( -2.25600695552620500E-04 , -9.04435155814062699E-04 )
( -2.17958669727455132E-03 , 1.28901488094999503E-03 )
( 4.96586675303909396E-05 , 2.70253504675793969E-04 )
index: 2
( -1.64073825750339587E-03 , 6.08426866471214025E-04 )
( -7.61751229395529121E-04 , 8.32433988008141491E-04 )
( 1.01097798405915115E-03 , 6.06600374023912427E-04 )
( -3.62463804675069784E-04 , 6.56242930101828370E-04 )
( -1.84490878198928726E-03 , -1.34799811260802142E-03 )
( -4.80145485358613507E-06 , 1.52062684692018304E-03 )
( -7.51422251590370895E-04 , 4.46176001803632336E-04 )
( 1.10787816367399620E-04 , 1.90530656466882353E-04 )
( -1.87543910986301074E-04 , -1.14544140999080506E-03 )
( 1.51542222272724441E-03 , 8.99218837395925844E-04 )
( 4.33077955155207342E-04 , -1.76922219425858489E-04 )
( -2.08953434628873693E-03 , -4.69819576800880180E-04 )
index: 3
( -2.17207083474838187E-03 , 2.26492293133144642E-04 )
( -1.76813882139478112E-04 , -2.71642485161819409E-04 )
( -1.27555067210382515E-03 , 6.53735721045603773E-04 )
( -6.46866237327359977E-04 , 1.74027168594660252E-04 )
( 2.14673376499237707E-04 , 2.08425562495592439E-03 )
( 1.59473893916353389E-03 , -5.48345494049781008E-04 )
( 2.35239497178292437E-03 , -1.51342499401931063E-03 )
( 1.38167319786626323E-03 , -7.10579230153231788E-04 )
( 1.12743028689436765E-03 , 3.38735584732270689E-04 )
( 2.94806064609256417E-04 , -1.45712589304095009E-03 )
( -2.06804185780070792E-05 , -1.75646886438537769E-03 )
( 1.56285228884012715E-03 , 3.38190810087048589E-04 )
index: 4
( 2.26753709780569499E-04 , -1.81359558804037083E-04 )
( 8.13423920385972481E-04 , 4.65072515900513846E-04 )
( -4.42113995743154218E-04 , 1.03033508461441601E-03 )
( -5.51295770538741360E-04 , -4.30158039534851396E-04 )
( -1.25524940281080116E-03 , -1.94766685058909744E-04 )
( 1.04037134120643984E-03 , 4.02871012176847976E-04 )
( 1.33542556296194735E-03 , 7.18640093635871183E-04 )
( -1.56487042906323795E-03 , 6.72049209088874662E-05 )
( 1.81323992095420625E-03 , 5.63761168836922387E-04 )
( 1.60600492899710696E-03 , -1.29732121380989789E-03 )
( 9.61089454328896051E-04 , -3.88696583521305555E-04 )
