index: 0
( -3.00197903714588155E-01 , -9.72603490561796069E-01 )
( 1.69103773289576431E-01 , -1.18160519502610001E-01 )
( -1.38037518757049171E-01 , 1.01493255534945126E+00 )
( 8.60422594625660786E-02 , 5.94760034869479259E-01 )
( 9.45406786108403896E-01 , 8.31367561003229505E-02 )
( 7.83604446142613709E-01 , 2.08734119454590306E-01 )
( 8.92916297368625267E-02 , -8.38296158621859022E-02 )
( -1.01145304889942134E+00 , 1.77290964424175385E-01 )
( -4.27042312764246590E-01 , 1.75851467891895707E-01 )
( 1.01312349415015390E+00 , -3.21625632887022062E-01 )
( -1.90463844414473754E-01 , 2.48766476601492093E-01 )
( 7.70179374387683469E-01 , 6.02253328569908097E-01 )
index: 1
( 7.19191979786085844E-01 , -1.05219539720330646E+00 )
( 4.96733524983082486E-01 , -9.10718153130665509E-01 )
( -5.26250832359722032E-01 , -4.19689636237716490E-01 )
( -1.48753061259562197E-01 , -6.15245389710899260E-01 )
( -2.95981264835776692E-01 , -8.30971322114863353E-01 )
( 1.54046890342854070E-02 , 2.36282411063919090E-01 )
( -1.55165980333680831E+00 , 5.82551674096508432E-01 )
( -6.05280628156922740E-01 , 5.51464406890861403E-01 )
( -9.50606777549477200E-01 , -1.73596070630065102E-01 )
( -5.69780783823047726E-02 , -7.21736516875641221E-01 )
( -1.12519546151596317E+00 , 3.56449628508920813E-01 )
( -1.31509487289809435E-01 , -1.45486808583775828E-01 )
index: 2
( 2.97889961697123506E-01 , -6.23178886176321445E-01 )
( -4.68549736960806151E-01 , -3.80918969365869539E-02 )
( -4.91229513401668025E-03 , -6.35532059604398736E-01 )
( -9.24369135066877678E-01 , -3.34347783360404049E-01 )
( -9.42897886262131446E-01 , -5.52810630424962257E-01 )
( -2.05556417173909989E-01 , -2.39795905539465282E-01 )
( 1.31771547313395326E-01 , -4.69799558482077717E-01 )
( -3.33209337979400055E-01 , -4.11727662571078623E-01 )
( -7.01029442163880634E-01 , 3.42693273595157388E-02 )
( -4.30810805776929151E-01 , 3.70081381967338474E-01 )
( -2.75035316867676460E-01 , -8.60597779009136699E-01 )
( 2.49363400153773535E-02 , -8.90003658667107289E-01 )
index: 3
( 4.25989508938584782E-01 , -5.74117205538493214E-01 )
( 3.88826784598299113E-01 , -4.09659148218836422E-01 )
( 5.58448056378910040E-01 , -5.69288749437752983E-01 )
( -7.80520055732664364E-01 , 4.69518713064465576E-01 )
( -1.28256973993239043E-01 , 1.12807687607139565E-01 )
( -1.04910668510187355E+00 , 1.18412558811230606E+00 )
( -3.48319667918171483E-01 , -1.19019197271029786E+00 )
( -1.24004122782230289E-01 , 1.19103343061142342E-01 )
( 6.60704699562721709E-01 , -1.12047549459095452E+00 )
( -9.12026074408887388E-01 , 5.11000728875787291E-01 )
( -9.46645811727625297E-01 , -7.28560633875908747E-01 )
( -8.32319021849427937E-02 , 7.23013639129605590E-01 )
index: 4
( 7.81041151161894209E-01 , -9.57994799855573786E-01 )
( 8.09018302454959093E-01 , -1.65572841364452872E+00 )
( 8.77511748548662485E-02 , -5.75083080880892661E-01 )
( -1.16242192672726910E-01 , 5.93473799428775595E-02 )
( 4.95416195887448618E-01 , -1.10271804117354849E-01 )
( 5.18358934757342960E-01 , 5.90720845705868025E-01 )
( -4.59484562077181302E-01 , -6.99844852816405516E-01 )
( 1.34415539547709073E-01 , -6.35150151222281245E-01 )
( -1.29761391512986979E+00 , -4.92422445846518342E-01 )
( -1.20411721802991134E+00 , 1.19642166952562201E+00 )
( -2.61508392186296901E-01 , -3.68354539310977003E-01 )
( -2.70774657020526943E-01 , 9.85828896179261061E-01 )
index: 5
