index: 0
( -3.20255467341638178E-01 , -1.13725742217528447E+00 )
( 3.54270649114061142E-01 , -2.69236971426742133E-01 )
( -8.25390637344381728E-02 , 1.24601588950903963E+00 )
( 3.52208699064954292E-02 , 8.47270579235861132E-01 )
( 1.18389910665165354E+00 , 6.24923369564239287E-02 )
( 1.08230354985945731E+00 , -9.06484316927622623E-03 )
( -2.47355535524105483E-02 , -1.43988040760682945E-01 )
( -1.03136452950239899E+00 , -3.07738747617310453E-04 )
( -4.40797555547318309E-01 , -7.97222935981407692E-03 )
( 8.49308377505751277E-01 , -2.45327830053833101E-01 )
( -1.56368196140097920E-01 , 1.92788416252600292E-01 )
( 9.15232151674219785E-01 , 4.59139121064440048E-01 )
index: 1
( 5.25730262889758437E-01 , -8.50398321851006278E-01 )
( 4.45069943047840588E-01 , -1.05312649481465859E+00 )
( -6.00769849879992157E-01 , -5.01393177500187304E-01 )
( 6.52248838148395682E-02 , -8.20460607531155905E-01 )
( -2.96181210981002585E-01 , -7.92723302447848166E-01 )
( -1.91413484794063837E-01 , 8.77451141755200420E-02 )
( -1.72322146954128330E+00 , 6.89563734104917669E-01 )
( -6.98464046533262217E-01 , 3.30818182601136879E-01 )
( -9.25146168066720453E-01 , -2.90535570738981730E-01 )
( 6.40972528464240909E-02 , -7.58462077734653572E-01 )
( -9.94841153872106809E-01 , 2.52422618687812517E-01 )
( -1.71215459851518204E-01 , -4.31127430220621555E-01 )
index: 2
( 2.73617186327723638E-01 , -7.11604910668401036E-01 )
( -4.20273137823491405E-01 , -7.34792102888511683E-02 )
( 1.90904822547433545E-01 , -6.14166202103744396E-01 )
( -8.46250269195466531E-01 , -1.15670565677928397E-01 )
( -1.12295519205113936E+00 , -7.94379527938288477E-01 )
( -1.07264689806022398E-01 , -2.73299190288046889E-01 )
( 1.19479343058410209E-01 , -5.94704905364049630E-01 )
( -5.48597334805188019E-01 , -3.48897985623540463E-01 )
( -5.57263296964508048E-01 , -1.21316696293247456E-01 )
( -3.79630044545987033E-01 , 3.83898508118685866E-01 )
( -3.28611293624224088E-01 , -8.55255182182641960E-01 )
( -1.16261934246273679E-01 , -9.53996622782459225E-01 )
index: 3
( 5.88928043089169462E-01 , -6.40075136599052019E-01 )
( 3.84427138693358594E-01 , -3.40372918490564114E-01 )
