index: 0
( 5.30576395310095733E-03 , -5.70311969927820711E-02 )
( 1.04254580443369493E-02 , 1.06931119751249706E-01 )
( -3.32931792733676291E-01 , -2.05243053073305148E-02 )
( 1.30808860758242523E-01 , 9.83553037328065427E-02 )
( -4.68116802335921733E-01 , -6.58544472901606559E-02 )
( 1.42118612938803901E-01 , 2.53224507034914059E-01 )
( 1.56395790640253968E-01 , 5.15257938699774543E-01 )
( 1.21468697796053404E-01 , 5.50999631474022089E-01 )
( 3.07817205006913008E-01 , 1.17746714593978147E-01 )
( -1.55070856250907746E-01 , 5.09115789386592299E-01 )
( -1.98381941541224072E-01 , 2.69992708855864405E-01 )
( -2.50419610673577875E-01 , -6.03722137519640212E-01 )
index: 1
( -2.90551914246902632E-01 , -8.96000722758149681E-01 )
( 1.32657541645560262E-02 , 2.81965150708224199E-01 )
( -1.25801354062789854E-02 , 3.94191128929267387E-02 )
( 1.61722389471060934E-02 , 8.21535790460228843E-02 )
( -3.46954914752361065E-01 , -8.70962945629458196E-03 )
( -1.80156701079341258E-01 , -3.53751242883224293E-01 )
( 2.21695967203328320E-01 , 6.85341376883128461E-01 )
( 1.30707854127456669E-01 , 4.26682630112416195E-01 )
( -9.20506166026705402E-02 , 2.92811235345699750E-01 )
( 8.52115579887452596E-02 , -1.61919773229297764E-01 )
( -2.94644952896108869E-01 , 4.63129076192875966E-01 )
( 6.90216654276091135E-01 , 5.02910735051997126E-01 )
index: 2
( 2.37136772332716961E-01 , -1.84223216329290201E-01 )
( -1.67055207989991156E-01 , -8.76452204070117535E-02 )
( -8.13781980666178351E-03 , -5.57461933465988602E-03 )
( -4.97567032094456407E-02 , 5.83833703852719932E-01 )
( -4.95976739161036684E-01 , 4.74130500708800695E-01 )
( -1.02519850440058721E-01 , 6.36413623559022867E-01 )
( 1.45799429124040120E-02 , 9.16009549499268300E-02 )
( 1.82468277454740313E-01 , -1.76286766344085688E-01 )
( -1.89277928009887603E-01 , -5.33170513522805867E-01 )
( 1.27924529634746154E-01 , -6.10620898017118080E-02 )
( -6.46508385785704021E-01 , -4.09106467670289353E-02 )
( 2.57107117685446362E-01 , 7.72204663577307771E-02 )
index: 3
( 3.42047008580234069E-01 , -8.81385275995029416E-02 )
( 2.41999973904451549E-01 , -2.42939085891695550E-01 )
( 5.27388056403521821E-01 , -6.49861651195855761E-02 )
( -5.07208308597499602E-03 , -1.90471798151244584E-02 )
( 4.48735912424341854E-01 , -2.16130494042352794E-01 )
( 1.78189650264337640E-04 , 1.06722984627281511E-01 )
( 2.06316420675433654E-02 , 1.16271251202292869E-01 )
( 5.65489857680042951E-02 , 3.89991297394426228E-01 )
( -5.75081520525855261E-01 , -3.13208728395679759E-01 )
( 2.40939685098714856E-01 , 2.09502993869604748E-01 )
( -2.83963475506616603E-01 , -1.17273027309949346E-01 )
( 1.66883120712138150E-01 , -3.86141134496101213E-01 )
index: 4
( 2.51696826485550140E-01 , -5.91075910665457060E-01 )
( -3.25486189686121807E-01 , 1.95832188692901282E-01 )
( 3.18016267255170848E-01 , -2.01305082320834883E-01 )
( 1.82298708058773073E-01 , -2.57351726969549111E-01 )
( 1.21010780203882062E-02 , -5.79872522570899607E-01 )
( -1.60604249555284073E-01 , 8.02966452734470537E-01 )
( 7.44863288120913430E-02 , 4.72029437962508291E-01 )
( 5.99375712874938182E-01 , 4.00747428228429181E-01 )
( 8.03384150295709087E-01 , -7.16268651740240903E-01 )
( 1.38648359741401855E-01 , -5.14139543379771857E-02 )
( 7.47782857936127643E-01 , -1.14822731890249885E-01 )
( 5.60901425599488190E-01 , 4.52261574553194268E-01 )
