index: 0
( -3.25361847877502441E-01 , -8.72469663619995117E-01 )
( 8.49742367863655090E-02 , -1.42228990793228149E-01 )
( 5.45340776443481445E-03 , 9.45192217826843262E-01 )
( 3.57224270701408386E-02 , 5.27740120887756348E-01 )
( 1.11720645427703857E+00 , 1.28055259585380554E-01 )
( 6.18165314197540283E-01 , 1.54569938778877258E-01 )
( 5.49506358802318573E-02 , -2.93928802013397217E-01 )
( -1.07277619838714600E+00 , -2.51638758927583694E-02 )
( -5.34662067890167236E-01 , 1.82098492980003357E-01 )
( 1.09506094455718994E+00 , -5.69113254547119141E-01 )
( -1.38415560126304626E-01 , 1.31853401660919189E-01 )
( 8.20166528224945068E-01 , 9.05848681926727295E-01 )
index: 1
( 8.86363267898559570E-01 , -7.38336682319641113E-01 )
( 4.73177611827850342E-01 , -1.00929045677185059E+00 )
( -5.20936548709869385E-01 , -4.46441173553466797E-01 )
( -2.15602234005928040E-01 , -6.42631053924560547E-01 )
( -1.46867915987968445E-01 , -8.67462098598480225E-01 )
( 1.37919768691062927E-01 , 4.26305979490280151E-01 )
( -1.58902239799499512E+00 , 2.90417671203613281E-01 )
( -6.30940496921539307E-01 , 4.04632747173309326E-01 )
( -9.36447858810424805E-01 , -2.73111283779144287E-01 )
( -1.47672042250633240E-01 , -6.50281965732574463E-01 )
( -1.04250085353851318E+00 , 1.78591951727867126E-01 )
( -4.36777979135513306E-01 , -3.06834846735000610E-01 )
index: 2
( 1.91637381911277771E-01 , -4.88327831029891968E-01 )
( -4.05532360076904297E-01 , -2.54122284241020679E-03 )
( -1.32801178842782974E-02 , -5.74818909168243408E-01 )
( -8.70183348655700684E-01 , -6.68166339397430420E-01 )
( -6.64863228797912598E-01 , -6.89683914184570312E-01 )
( -1.63977861404418945E-01 , -5.15094697475433350E-01 )
( 1.49025306105613708E-01 , -4.81641948223114014E-01 )
( -3.42590153217315674E-01 , -3.77650290727615356E-01 )
( -6.60142302513122559E-01 , 2.57284283638000488E-01 )
( -4.90052729845046997E-01 , 4.43033814430236816E-01 )
( 1.60763040184974670E-02 , -8.36655795574188232E-01 )
( -8.83136242628097534E-02 , -8.88673782348632812E-01 )
index: 3
( 2.57694661617279053E-01 , -5.10046124458312988E-01 )
( 3.10913950204849243E-01 , -2.88224220275878906E-01 )
( 2.77940362691879272E-01 , -5.40972173213958740E-01 )
( -7.53722012042999268E-01 , 4.17983740568161011E-01 )
( -2.85860896110534668E-01 , 1.65693670511245728E-01 )
( -1.03970801830291748E+00 , 1.10501325130462646E+00 )
( -3.06505411863327026E-01 , -1.19315648078918457E+00 )
( -1.22838571667671204E-01 , -7.59813562035560608E-02 )
( 8.74487459659576416E-01 , -9.57832038402557373E-01 )
( -9.90216732025146484E-01 , 3.93061876296997070E-01 )
( -8.17479372024536133E-01 , -6.76865577697753906E-01 )
( -1.05496615171432495E-01 , 8.47443938255310059E-01 )
index: 4
( 6.98319494724273682E-01 , -7.05986678600311279E-01 )
( 8.97861957550048828E-01 , -1.68194675445556641E+00 )
( 1.88341476023197174E-02 , -4.20077413320541382E-01 )
( -6.65940269827842712E-02 , 1.75329416990280151E-01 )
( 3.85256171226501465E-01 , 9.19255241751670837E-02 )
( 4.82305914163589478E-01 , 2.42210030555725098E-01 )
( -4.36561316251754761E-01 , -8.59772980213165283E-01 )
( -1.46786645054817200E-01 , -7.59336233139038086E-01 )
( -1.60822963714599609E+00 , -1.98899522423744202E-01 )
( -1.20202302932739258E+00 , 1.17729806900024414E+00 )
( -5.91996192932128906E-01 , -2.32919141650199890E-01 )
( -5.46249151229858398E-01 , 7.62110292911529541E-01 )
index: 5
( 9.05264675617218018E-01 , 7.89711594581604004E-01 )
( 7.96286702156066895E-01 , 5.21447777748107910E-01 )
( -8.46866726875305176E-01 , -6.71913266181945801E-01 )
( 8.47737371921539307E-01 , 9.36174809932708740E-01 )
( -8.21216285228729248E-01 , 1.40180671215057373E+00 )
( -1.20187795162200928E+00 , -4.90267425775527954E-01 )
( 2.37177610397338867E-01 , -3.39114516973495483E-02 )
( -1.00258493423461914E+00 , 4.66492861509323120E-01 )
( 6.09411835670471191E-01 , 3.48386853933334351E-01 )
( -1.14767670631408691E-01 , 1.48448240756988525E+00 )
( 1.18870878219604492E+00 , 6.10319614410400391E-01 )
( -1.83510351181030273E+00 , -7.66479015350341797E-01 )
index: 6
( -2.39740803837776184E-01 , 5.28675436973571777E-01 )
( -8.68581175804138184E-01 , -3.45578253269195557E-01 )
( -1.32756125926971436E+00 , -9.35787558555603027E-01 )
( 3.03747206926345825E-01 , 5.68082273006439209E-01 )
( -1.51703907176852226E-02 , 1.36166179180145264E+00 )
( -1.36129766702651978E-01 , -4.66011106967926025E-01 )
( -5.34207940101623535E-01 , 7.48046576976776123E-01 )
( -6.28838166594505310E-02 , 4.70179691910743713E-02 )
( 8.36301624774932861E-01 , 6.90468013286590576E-01 )
( -2.25474625825881958E-01 , -8.25594291090965271E-02 )
( -4.68592256307601929E-01 , 1.09198965132236481E-01 )
( 3.95010828971862793E-01 , -9.75123107433319092E-01 )
index: 7
( -1.21446233242750168E-02 , 5.84991693496704102E-01 )
( 1.18321883678436279E+00 , -1.22249096632003784E-01 )
( 1.32489395141601562E+00 , -1.56978797912597656E+00 )
( -7.23543226718902588E-01 , -3.37406575679779053E-01 )
( 9.17857289314270020E-01 , 4.36933875083923340E-01 )
( -1.02061343193054199E+00 , -3.90351623296737671E-01 )
( 9.13240015506744385E-01 , 3.79787757992744446E-02 )
